	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.53302	0.05366	-0.30524	0.02077	0.01965	0.02386	0.61774	0.08600	-0.26903	0.03106	0.02505	0.01301	0.54503	-0.23145	0.01774	0.45838	-0.27680	-0.00957	0.58514	-0.31466	0.04813	0.55957	-0.27521	0.04788	0.67483	-0.28697	0.01898	0.74104	-0.30736	0.01709	0.55128	-0.30436	0.01542	0.56824	-0.24419	0.02354	0.53730	-0.32514	0.02463
2	0.60288	0.05185	-0.30120	0.02369	0.03944	0.03957	0.70639	0.11037	-0.27638	0.04228	0.05534	0.01728	0.58915	-0.22539	0.03996	0.52763	-0.26834	-0.00959	0.64445	-0.30535	0.08718	0.64390	-0.28429	0.08265	0.77813	-0.29811	0.04752	0.86064	-0.33057	0.04482	0.62706	-0.30621	0.03755	0.66013	-0.24352	0.06175	0.61239	-0.32489	0.04261
3	0.67554	0.04834	-0.26901	0.02892	0.05539	0.06233	0.78710	0.13895	-0.26080	0.05374	0.08632	0.02367	0.62153	-0.20053	0.06597	0.60393	-0.22941	-0.02126	0.70488	-0.26682	0.13142	0.72004	-0.26927	0.11964	0.88576	-0.28997	0.07299	0.96941	-0.33016	0.07006	0.70466	-0.28428	0.05652	0.73874	-0.21406	0.10292	0.68869	-0.29551	0.05488
4	0.74524	0.04419	-0.19915	0.03553	0.06911	0.09269	0.83493	0.15824	-0.20381	0.06091	0.11736	0.03317	0.63607	-0.14991	0.09812	0.67999	-0.15184	-0.04301	0.76565	-0.19179	0.18383	0.77572	-0.21980	0.15966	0.92157	-0.21402	0.09009	1.05275	-0.29245	0.09216	0.77709	-0.22586	0.07223	0.78852	-0.14286	0.14675	0.75824	-0.22710	0.06340
5	0.81061	0.04053	-0.08912	0.04202	0.08674	0.12935	0.96135	0.32097	-0.16241	0.13441	0.15478	0.04433	0.63517	-0.07141	0.14060	0.75167	-0.03316	-0.06677	0.82724	-0.08059	0.24944	0.80979	-0.13206	0.20606	1.45104	-0.36970	0.11297	1.10176	-0.21002	0.11669	0.84366	-0.12414	0.08977	0.80897	-0.02889	0.19758	0.81987	-0.11857	0.07452
6	0.86541	0.04405	0.06269	0.05149	0.11520	0.17099	0.86474	0.18590	0.02375	0.07660	0.20445	0.05658	0.62201	0.03642	0.19682	0.80171	0.13426	-0.08453	0.88405	0.06571	0.33298	0.82162	-0.00535	0.26465	0.97616	0.03949	0.14821	1.10981	-0.08131	0.15173	0.90207	0.02091	0.11684	0.79412	0.12949	0.26085	0.87379	0.02987	0.09550
