	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.26102	0.05171	0.01919	0.03249	0.00545	0.00524	-0.03535	0.05855	0.02179	0.04016	-0.00064	0.01797	-0.04759	0.02372	0.01231	-0.20408	0.00752	0.01287	-0.27496	0.04813	0.00376	-0.02659	-0.02308	-0.02976	-0.11081	-0.00671	-0.00207	0.05247	0.08065	0.01589	-0.23975	0.04253	0.00454	-0.04423	0.03438	0.00043	-0.32530	-0.02142	0.00061
2	-0.27519	0.06312	0.02593	0.03302	0.01102	0.00689	0.02019	0.06793	0.03612	0.04694	0.00663	0.02059	-0.02542	0.01667	0.01216	-0.19649	0.01742	0.01968	-0.29930	0.04451	0.00916	0.03409	-0.00828	-0.02644	-0.05512	0.01068	0.01162	0.12261	0.11103	0.03000	-0.25953	0.05833	0.01214	0.02480	0.05049	0.00584	-0.34543	-0.01654	0.00309
3	-0.27836	0.07540	0.02771	0.03593	0.01173	0.00856	0.08677	0.08032	0.03988	0.05617	0.00603	0.02461	0.00485	-0.00214	0.00605	-0.17735	0.02198	0.02113	-0.31245	0.03350	0.01144	0.10157	-0.00486	-0.03066	0.01800	0.02281	0.01963	0.20428	0.13161	0.03525	-0.27027	0.07132	0.01386	0.10512	0.05200	-0.00014	-0.35336	-0.01595	0.00047
4	-0.26440	0.08868	0.02202	0.04256	0.00491	0.01036	0.16157	0.09832	0.02264	0.06760	-0.00696	0.02879	0.04983	-0.03580	-0.00746	-0.14095	0.01808	0.01473	-0.30822	0.01497	0.00883	0.17505	-0.02168	-0.04652	0.08827	0.00641	0.01479	0.30172	0.13486	0.02575	-0.26383	0.07904	0.00564	0.19296	0.02941	-0.02136	-0.34458	-0.02400	-0.00956
5	-0.22887	0.10226	0.00879	0.05139	-0.00994	0.01319	0.28447	0.11240	0.00840	0.08857	-0.03007	0.03365	0.11417	-0.08416	-0.02631	-0.08345	0.00442	-0.00015	-0.28141	-0.00890	0.00132	0.25819	-0.05805	-0.07229	0.34358	0.08868	0.00440	0.41604	0.11429	-0.00036	-0.23559	0.08043	-0.01424	0.29036	-0.01879	-0.05579	-0.31502	-0.04081	-0.02669
6	-0.16996	0.11647	-0.01184	0.06031	-0.03095	0.01814	0.35167	0.12998	-0.07478	0.08235	-0.06196	0.03586	0.19607	-0.14467	-0.04616	-0.00185	-0.01947	-0.02188	-0.22616	-0.03524	-0.00996	0.34857	-0.11166	-0.10321	0.27774	-0.09356	-0.02448	0.54158	0.06751	-0.03867	-0.18709	0.07375	-0.04360	0.39439	-0.09153	-0.09726	-0.26476	-0.06642	-0.04838
