	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.04240	0.01102	0.01708	0.01156	-0.00401	0.00307	-0.07128	0.03205	0.04338	0.02262	-0.00863	0.03001	-0.02121	0.04620	-0.00050	-0.04470	0.01792	-0.00572	-0.03364	0.01972	-0.00107	-0.11077	0.00771	-0.06118	-0.07612	0.06961	-0.00219	-0.07313	0.04140	0.00784	-0.03420	0.00142	-0.00181	-0.07518	0.05200	0.01285	-0.05707	0.02925	-0.00745
2	-0.03559	0.01189	0.01579	0.01240	-0.00196	0.00331	-0.06221	0.03058	0.04416	0.01919	-0.00459	0.02772	-0.01113	0.04829	-0.00098	-0.03997	0.01494	-0.00446	-0.02561	0.01739	-0.00115	-0.09354	0.01499	-0.05218	-0.07177	0.06706	0.00053	-0.06923	0.03898	0.01207	-0.02634	0.00029	0.00238	-0.06538	0.05148	0.01760	-0.05042	0.03053	-0.00462
3	-0.02218	0.01252	0.01434	0.01384	0.00088	0.00456	-0.04481	0.02812	0.04605	0.01542	0.00117	0.02436	0.00382	0.05120	-0.00121	-0.02940	0.01230	-0.00177	-0.01156	0.01373	-0.00190	-0.06687	0.02556	-0.03912	-0.05808	0.06595	0.00612	-0.05634	0.03674	0.01791	-0.01164	-0.00115	0.00765	-0.04658	0.05079	0.02216	-0.03611	0.03250	-0.00045
4	-0.00125	0.01341	0.01238	0.01616	0.00373	0.00725	-0.01777	0.02472	0.04775	0.01250	0.00709	0.02135	0.02460	0.05373	-0.00201	-0.01081	0.00924	0.00150	0.00940	0.00845	-0.00394	-0.03126	0.03690	-0.02554	-0.03591	0.06436	0.01310	-0.02951	0.03393	0.02470	0.01112	-0.00323	0.01342	-0.01676	0.04982	0.02523	-0.01472	0.03505	0.00395
5	0.02781	0.01396	0.00906	0.01925	0.00558	0.01112	0.02607	0.01467	0.05232	0.01984	0.01405	0.02087	0.04940	0.05370	-0.00480	0.01764	0.00465	0.00439	0.03785	0.00079	-0.00829	0.01437	0.04775	-0.01204	0.02906	0.08399	0.03208	0.01313	0.02963	0.03065	0.04167	-0.00631	0.01875	0.02437	0.04655	0.02434	0.01407	0.03713	0.00748
6	0.06363	0.01340	0.00301	0.02297	0.00486	0.01592	0.06391	0.01466	0.04508	0.01574	0.01151	0.01807	0.07384	0.04804	-0.01123	0.05627	-0.00320	0.00587	0.07393	-0.01112	-0.01663	0.06461	0.05419	-0.00256	0.03871	0.06297	0.02149	0.06810	0.02199	0.03304	0.07584	-0.01068	0.02174	0.07428	0.03822	0.01682	0.04849	0.03703	0.00846
