	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	6.73246	0.91625	34.52911	2.03890	36.44104	1.59585	4.59344	1.65813	12.25022	1.74273	44.00216	1.43981	16.40475	2.34228	-2.47579	2.38052	5.65269	7.68431	7.15270	34.62202	31.41230	33.43302	37.47661	34.54187	33.90777	6.56137	6.24790	5.32429	12.20895	14.75254	42.28988	42.80127	13.46983	14.17374	-0.56345	-3.19442	6.77718	5.26508	35.61048	34.24746	37.11284	35.86288	3.52417	3.91251	11.68275	14.06040	43.11401	44.16274	17.82191	13.76020	-2.15880	-3.41180	6.36849	5.90489	34.90136	31.42365	34.91441	35.38180	3.55337	5.49474	11.36900	14.25902	43.76847	44.37199	18.01316	14.33196	-1.47662	-4.79003	6.57247	7.99870	33.71325	37.87499	35.48185	39.24099	4.91432	2.97245	13.26406	11.50797	44.64271	43.27236	13.35247	16.28830	-1.56161	-3.20086	5.75791	8.04015	5.97500	35.57277	33.96051	33.61111	34.20435	37.18956	35.91423	1.45576	5.79613	2.98614	7.69722	5.85850	36.86229	30.87567	37.29575	36.88392	4.02293	7.19402	13.14506	9.86095	14.80757	45.74292	43.24544	47.68776	19.59291	19.09002	19.13064	3.27425	-3.40217	-1.43472	6.51827	37.48272	36.78855	2.20376	9.39667	43.02875	16.86406	-0.56036	11.81445	10.78366	42.62767	44.67053	13.20525	17.42394	-4.45992	-6.84784	7.45046	7.77775	36.01628	35.37497	38.70047	38.59981	6.27300	5.65154	13.09075	9.99980	45.73938	42.86868	19.03709	16.92054	-0.67261	-5.15173
2	6.54133	0.93789	33.65600	2.07990	35.73054	1.72846	5.33712	1.80713	12.44226	1.78925	43.60899	1.49243	15.57881	2.02466	-3.66957	2.25274	5.61058	7.58281	7.15870	34.66173	30.23419	32.19196	39.52440	33.22455	32.44191	8.66725	6.96626	6.19644	12.48960	14.75816	42.43901	42.29067	13.44221	13.86198	-2.20405	-4.50476	6.56059	5.08114	34.75762	33.27533	35.49369	34.35441	3.20002	3.59025	11.78058	14.21710	42.85146	43.87745	16.71834	13.36318	-3.28703	-4.11283	6.16247	5.80918	34.40212	30.28375	35.56659	34.26489	4.93360	6.25546	11.47933	14.47529	43.34363	43.89595	16.97503	13.32580	-2.95358	-5.85681	6.28063	7.90486	33.37902	36.56137	36.34084	37.43723	6.63941	3.26138	13.54874	11.71022	44.38407	42.78579	13.06669	15.55107	-2.73798	-3.96178	5.48422	7.84314	5.31878	34.82563	32.87900	33.14975	34.16945	35.97250	36.99610	2.47081	6.55157	4.29034	7.30590	5.89292	36.00139	29.85814	36.90629	35.06553	4.93575	7.47356	13.55638	9.81633	15.13803	45.74018	42.48917	47.33590	18.59796	17.85813	18.19124	2.21734	-4.63445	-2.63280	6.31497	36.56025	35.75908	2.87824	9.46679	42.38423	14.43692	-3.21072	12.19614	10.90229	42.38000	43.93724	13.68021	16.60049	-5.77018	-7.42702	7.40541	7.48635	34.95637	34.17442	36.98079	36.92088	6.37870	6.04199	13.29627	10.24496	45.43938	42.16962	18.27593	15.31573	-1.44784	-6.18858
3	6.38789	0.98645	32.87635	2.17159	35.56778	2.55059	6.49835	2.04432	12.67303	1.83153	43.33361	1.51790	15.53575	1.86481	-4.94673	2.16559	5.52038	7.51825	7.20389	34.72367	29.15455	31.14695	41.85752	32.29939	31.65208	10.45979	8.14259	7.45407	12.75794	14.84881	42.57370	42.00250	14.21859	14.44873	-4.30977	-5.73399	6.38951	4.95865	33.93443	32.22255	34.35014	32.85779	3.23505	3.43780	11.93128	14.40314	42.80501	43.57189	16.78393	13.34120	-4.22187	-4.98193	6.02223	5.75708	34.08387	29.27915	36.91722	33.60883	6.76601	7.49074	11.63534	14.73112	43.03774	43.51122	16.88139	13.03525	-4.43789	-6.99616	6.04029	7.87930	33.27138	35.35744	38.07222	36.08115	8.75819	3.97801	13.90800	11.92630	44.22760	42.54012	13.27046	15.72376	-4.23318	-4.60863	5.27518	7.66305	4.71552	34.23408	31.87847	32.79695	34.93029	35.33133	38.77319	4.39331	7.71775	6.54814	6.92349	5.95471	35.19645	28.91834	37.35629	33.70435	6.25331	8.23808	13.89933	9.88829	15.45462	45.69374	41.90095	47.00294	18.23519	17.52776	17.79324	0.96161	-5.91356	-3.98120	6.13120	35.66813	35.41032	4.07391	9.56256	41.94574	13.42564	-6.09194	12.65573	11.08438	42.32102	43.36792	14.62434	16.51344	-7.03303	-8.06441	7.39809	7.24331	33.98205	33.04947	35.65895	35.79115	6.73665	6.78863	13.56446	10.51712	45.18890	41.64682	18.05447	14.69459	-2.35547	-7.14623
4	6.25771	1.05307	32.22419	2.27662	35.97059	3.49815	7.86855	2.29164	12.97639	1.86174	43.22298	1.49441	16.15005	1.83385	-6.17670	2.15702	5.35376	7.47479	7.25398	34.46231	28.25716	30.41716	43.70853	31.85687	31.71628	11.57352	9.56954	8.79842	13.08913	15.05593	42.65499	42.03530	15.42042	15.85399	-6.52389	-6.60866	6.25298	4.90153	33.22049	31.12651	33.87678	31.47212	3.82644	3.58738	12.16046	14.65216	43.00464	43.24381	17.93221	13.53482	-4.82345	-6.04897	5.92652	5.73268	33.88863	28.50564	38.74465	33.58295	8.72496	9.05083	11.87174	15.05552	42.89405	43.22544	17.62069	13.31444	-5.72717	-8.11832	5.81753	7.91018	33.27212	34.40324	40.29770	35.42110	10.80254	5.18035	14.36021	12.19589	44.19537	42.58319	13.83026	16.66046	-5.98617	-5.11012	5.12178	7.50727	4.18085	33.85660	31.04390	32.55368	36.50141	35.34610	41.03799	7.25063	9.20638	8.61737	6.54765	6.01806	34.50346	28.12930	38.67120	32.98317	7.90126	9.43255	14.18478	10.12793	15.80683	45.62053	41.57811	46.77170	18.45578	18.01276	17.82509	-0.43842	-7.08513	-5.37784	5.95013	34.90907	35.89251	4.95969	9.74539	41.81593	13.73615	-8.83908	13.19408	11.36560	42.50493	43.04223	15.93891	17.05205	-8.06186	-8.72736	7.39863	7.03267	33.18102	32.08092	35.00023	35.39038	7.35511	7.92840	13.91627	10.84034	45.02603	41.37137	18.22974	14.98307	-3.38972	-7.96109
5	6.13665	1.12077	31.70177	2.32974	36.86153	4.21319	9.28049	2.32897	13.37474	1.87534	43.31640	1.42815	17.27848	1.95958	-7.18071	2.19301	5.13382	7.41889	7.26865	33.61037	27.61658	30.03030	44.49417	31.96517	32.60973	11.99948	10.92398	9.88229	13.54695	15.37659	42.71691	42.43890	16.74514	17.89831	-8.34528	-6.94793	6.13358	4.90847	32.68537	30.04630	34.21468	30.33113	5.03865	4.14277	12.48677	14.99193	43.42988	42.92506	19.89500	13.84992	-5.07363	-7.23749	5.85133	5.71407	33.68288	28.04092	40.65679	34.28154	10.45680	10.64525	12.21256	15.46762	42.91983	43.06926	18.99132	14.03207	-6.63261	-9.05797	5.58956	7.97611	33.19350	33.80824	42.46018	35.63132	12.37042	6.74917	14.90878	12.54817	44.32302	42.91623	14.67083	18.17645	-7.77423	-5.49884	5.01676	7.37965	3.73834	33.67226	30.42726	32.34637	38.64810	35.99176	43.42332	9.40095	10.82392	10.29731	6.17943	6.04990	33.92482	27.56086	40.66275	33.04209	9.72225	10.87229	14.43940	10.55416	16.23924	45.54137	41.61496	46.74178	19.16469	19.24065	18.23166	-1.84946	-7.88927	-6.62639	5.75821	34.35674	37.25253	7.09314	10.07146	42.03062	15.10920	-10.97142	13.79708	11.76317	42.97205	43.04475	17.54591	18.15529	-8.74355	-9.26264	7.37131	6.83488	32.60506	31.32225	35.19021	35.79056	7.94651	9.40320	14.36024	11.23173	44.98474	41.39304	18.67253	16.07678	-4.49662	-8.48399
6	6.01535	1.16919	31.26616	2.30143	38.05502	4.55138	10.50871	2.17626	13.86794	1.87449	43.63142	1.36212	18.75886	2.24134	-7.84180	2.20003	4.92912	7.31179	7.21664	32.10270	27.25847	29.87869	44.03062	32.61121	34.03433	11.94574	11.85740	10.45499	14.15217	15.77985	42.82636	43.14956	17.94818	20.22276	-9.49288	-6.83446	6.01348	4.97088	32.36608	29.05945	35.37816	29.58714	6.70357	5.11905	12.91906	15.43472	44.00710	42.68957	22.19846	14.27959	-5.12578	-8.37567	5.77852	5.68098	33.28947	27.89318	42.19055	35.63343	11.71603	11.95170	12.66292	15.96665	43.09161	43.10664	20.69008	15.12185	-7.11615	-9.63710	5.35497	8.04615	32.82320	33.59932	44.00156	36.72770	13.29994	8.41791	15.53340	12.99023	44.66241	43.49760	15.79855	20.06838	-9.28811	-5.87966	4.95462	7.27977	3.41106	33.54278	30.02384	32.03079	40.87346	37.12274	45.47180	10.05293	12.32038	11.62218	5.82839	6.01841	33.38420	27.24602	42.91410	33.90094	11.50366	12.27944	14.70015	11.12737	16.77233	45.47688	42.07165	47.01469	20.22450	21.13601	19.04074	-3.09319	-8.16820	-7.55659	5.54930	34.00387	39.32668	9.26252	10.56938	42.54092	17.10843	-12.20358	14.44172	12.26154	43.68767	43.44984	19.31522	19.82961	-9.06061	-9.46699	7.28395	6.63294	32.24171	30.78100	36.22711	36.90375	9.10379	11.03678	14.88648	11.68913	45.09891	41.73130	19.32167	17.83764	-5.58935	-8.58043
