	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0002_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_2.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_1.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d	2014_05_30_PC016_BAREFOOT_GAIT0005_3.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	2.20496	1.02664	-5.66366	1.96923	-2.39845	2.02928	-6.03444	2.31980	-1.88702	2.51450	-3.55071	1.81392	2.15475	4.84888	1.02415	-5.74155	-1.34615	-4.64341	-5.48744	-0.61066	-1.73965	-8.66571	-5.14589	-1.87445	-3.23382	-4.85009	-3.90330	2.99774	3.15589	-6.31808	-2.30024	-0.63753	-1.14577	-9.38048	-6.04041	-3.15630	-0.29179	-4.75362	-2.80395	2.46612	0.85317	-5.90229	-4.10780	-4.68284	-2.28237	-7.99082	-3.77430	-2.07432	-2.14214	-5.65589	-2.94928	2.33896	2.42798	-6.34407	-8.51544	-5.34330	-1.44118	-5.99846	-6.77526	-1.41963	-6.35322	-3.63185	0.03234	1.73911	2.67779	1.84402	-4.63564	-5.37295	-6.90707	-4.33746	-4.23551	0.17551	0.84586	1.72794	-8.70200	-5.27921	-4.45004	-0.17420	-7.65362	-6.27559	-2.62389	2.37962	-5.67587	-0.31568	-5.46695	-1.91521	-3.39924	2.04063	-7.24538	-3.65284	-7.92806	0.33185	-6.60584	-7.45765	-2.79119	2.51741	-2.05512	-5.23615	-1.06542	1.09691	3.24436	-7.82169	-5.09930	-0.84315	0.11485	-1.39724	-6.65246	-1.90436	-4.92443	-2.48557	-2.12128
2	1.97496	0.98604	-4.99909	1.86677	-3.32250	2.13796	-5.91162	2.22690	-1.96110	2.69583	-3.67906	1.78132	1.93955	4.32077	0.83574	-5.11114	-1.30478	-3.87624	-6.83606	-1.01148	-2.71431	-8.37192	-5.04071	-2.22829	-3.75416	-4.55102	-4.07316	2.73684	3.12231	-5.84569	-1.50395	-1.19258	-1.42350	-9.25696	-5.78881	-3.26805	-0.26420	-5.29942	-2.73298	2.31634	0.61265	-5.09123	-3.49209	-5.43809	-2.62961	-7.65098	-3.82487	-2.08025	-2.31012	-5.68718	-3.44432	1.96881	2.19898	-5.78761	-7.96137	-6.88008	-1.79722	-5.82417	-6.68832	-1.59722	-6.13932	-3.48840	-0.36471	1.55687	2.39647	1.47411	-3.61110	-4.98511	-5.92455	-5.36443	-4.78555	-1.82551	0.64910	1.44685	-7.80440	-4.85005	-5.57153	-0.48482	-7.25224	-6.46475	-2.68698	2.72720	-6.26521	0.32960	-5.64013	-1.96433	-3.18330	1.90229	-6.18202	-4.41720	-7.81411	0.00672	-6.66970	-7.13268	-2.74787	2.71228	-2.55317	-5.58930	-1.47847	1.00458	3.09201	-7.00623	-4.64699	-2.73538	-1.37523	-1.41239	-6.62815	-1.37739	-5.31605	-2.50351	-2.19509
3	1.75284	0.94265	-4.30599	1.79067	-4.37112	2.18796	-5.77723	2.12422	-1.97300	2.85238	-3.83974	1.64786	1.87184	3.73366	0.62716	-4.48967	-1.22492	-3.11572	-7.43649	-1.59684	-4.00655	-8.03896	-4.96639	-2.66407	-4.18554	-3.90323	-4.17338	2.47066	3.04989	-5.33361	-0.66558	-1.97621	-1.78538	-9.09520	-5.50751	-3.38814	-0.24433	-5.80742	-2.61794	2.20910	0.37600	-4.27116	-2.82525	-6.09669	-3.24661	-7.29669	-3.83436	-2.02934	-2.47953	-5.72182	-3.77624	1.69242	1.92296	-5.14587	-7.33777	-8.04313	-2.54231	-5.68443	-6.58402	-1.82412	-5.64082	-3.25163	-1.14796	1.41210	2.09242	1.15883	-2.56319	-4.61701	-5.00476	-6.67350	-5.50615	-4.22571	0.47239	1.15576	-6.85076	-4.37908	-6.71142	-1.20302	-6.79536	-6.68122	-2.76651	3.03328	-6.57471	0.89978	-5.75136	-2.48428	-2.95023	1.76167	-5.04232	-5.57873	-7.65342	-0.26312	-6.66162	-6.71601	-2.72215	3.02708	-2.95458	-5.81651	-2.11209	0.88150	2.90989	-6.12428	-4.21094	-4.77036	-2.91001	-1.45399	-6.63945	-0.70680	-5.57294	-2.78645	-2.47364
4	1.56201	0.90190	-3.61510	1.74655	-5.40507	2.12293	-5.60616	2.02792	-1.87945	2.98000	-4.01031	1.44843	1.97519	3.12887	0.43475	-3.84194	-1.10497	-2.41471	-7.08291	-2.41177	-5.36392	-7.65211	-4.86770	-2.99602	-4.41735	-3.13381	-4.15650	2.21128	2.94791	-4.78622	0.19426	-2.98706	-2.26514	-8.87426	-5.19381	-3.51749	-0.17446	-6.10533	-2.52681	2.17688	0.16638	-3.47034	-2.14405	-6.43289	-4.12165	-6.91947	-3.75583	-1.95576	-2.53900	-5.62767	-3.97207	1.54750	1.61585	-4.42705	-6.66577	-8.47835	-3.65304	-5.55360	-6.42941	-1.93094	-4.90356	-3.03556	-2.21819	1.33188	1.78293	0.94263	-1.57965	-4.28383	-4.20094	-7.99059	-6.34666	-6.59538	0.33936	0.87714	-5.89683	-3.88037	-7.67302	-2.29951	-6.28594	-6.87739	-2.83560	3.33120	-6.59938	1.41369	-5.79523	-3.37325	-2.76578	1.63112	-3.89668	-7.05779	-7.44591	-0.51530	-6.50337	-6.19956	-2.66343	3.45587	-3.18418	-5.77646	-2.87562	0.73694	2.70747	-5.24335	-3.81429	-6.75716	-4.36943	-1.48189	-6.66259	0.09902	-5.63751	-3.33207	-2.96732
5	1.42492	0.87711	-2.96242	1.72877	-6.24250	2.00563	-5.36896	1.95128	-1.67083	3.07570	-4.11328	1.21244	2.21739	2.56648	0.29767	-3.19372	-0.96049	-1.80899	-6.03991	-3.36837	-6.37201	-7.20511	-4.68423	-3.15321	-4.40979	-2.46301	-3.88834	1.97782	2.83122	-4.21617	1.04570	-4.13925	-2.87759	-8.57472	-4.84309	-3.66063	-0.01780	-5.92704	-2.50437	2.24106	0.01307	-2.71206	-1.49298	-6.24739	-5.07712	-6.50245	-3.54753	-1.92345	-2.39718	-5.20978	-4.04263	1.54547	1.30593	-3.63273	-5.96902	-7.99008	-4.99915	-5.39450	-6.19117	-1.76115	-4.01062	-2.95446	-3.38946	1.33624	1.49278	0.86062	-0.74742	-3.98777	-3.54363	-8.90535	-7.16236	-8.40926	0.27651	0.64256	-5.00118	-3.39683	-8.19681	-3.62409	-5.73021	-6.97335	-2.86068	3.62984	-6.40893	1.88246	-5.72886	-4.37509	-2.68827	1.52803	-2.84120	-8.61394	-7.17498	-0.76649	-6.02947	-5.59609	-2.51746	3.94240	-3.19622	-5.31413	-3.62677	0.58776	2.50306	-4.43492	-3.46782	-8.48232	-5.61751	-1.45194	-6.65579	0.99584	-5.47833	-4.06938	-3.60141
6	1.35967	0.87784	-2.38230	1.72662	-6.69024	1.95580	-5.04457	1.90118	-1.37690	3.14128	-4.02911	1.04757	2.52765	2.11772	0.24508	-2.66387	-0.81418	-1.28733	-4.81728	-4.19415	-6.61012	-6.71910	-4.38428	-3.21670	-4.18164	-1.94996	-3.24961	1.79811	2.72039	-3.63713	1.85089	-5.21001	-3.60507	-8.19299	-4.44942	-3.80537	0.21511	-5.05987	-2.53453	2.40199	-0.05366	-2.02368	-0.90750	-5.51635	-5.77694	-6.03399	-3.18626	-1.98313	-2.03455	-4.32012	-3.96098	1.66525	1.03127	-2.79716	-5.26864	-6.73262	-6.30427	-5.16563	-5.84813	-1.24995	-3.05850	-3.03539	-4.40167	1.42899	1.25079	0.92753	-0.12136	-3.71216	-3.03843	-9.04884	-7.72902	-9.25420	0.30604	0.49236	-4.20512	-2.98802	-8.06097	-4.86978	-5.13591	-6.88569	-2.80654	3.91876	-6.11054	2.27752	-5.48018	-5.13291	-2.70705	1.47186	-1.97012	-9.84973	-6.82245	-1.01534	-5.09461	-4.94859	-2.24155	4.40303	-2.99179	-4.33642	-4.14724	0.45898	2.32399	-3.75590	-3.15933	-9.68145	-6.47335	-1.32217	-6.57036	1.91110	-5.10844	-4.84863	-4.20653
