	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	32.16839	2.48106	59.33773	5.44745	27.07227	5.23650	1.50012	3.25012	28.92792	1.20638	52.38306	1.55770	29.38097	1.82064	1.02425	1.03621	31.25624	51.61439	18.94847	-1.86589	27.76271	30.90868	52.45917	50.93395	28.37931	26.41993	0.48552	2.09417	30.22636	30.25333	56.71737	56.65570	26.70902	22.88138	3.80402	0.25816	27.47939	51.15767	29.39610	2.53404	30.73792	29.51330	55.44072	59.24796	21.79358	29.37752	-3.54958	3.81295	29.21782	28.17898	53.59468	50.84349	30.98399	28.21606	0.20951	-0.33084	31.57416	31.57988	57.00858	57.00325	25.84283	25.26357	0.49728	0.96943	29.23775	29.71011	52.65644	55.03605	31.00878	31.26261	1.42000	0.75738	34.51371	63.93487	34.90078	7.54843	34.95403	68.27379	34.06298	3.76729	37.07497	67.48061	30.94256	-0.24085
2	31.95605	2.49818	58.87221	5.38568	26.95556	4.93271	1.19365	3.02003	28.41783	1.20036	51.61386	1.56751	28.45418	1.76746	0.76387	1.06163	31.17133	51.53297	20.50049	-1.15702	27.25792	30.38526	51.35387	50.26732	27.49443	25.85733	0.18394	1.94227	29.95065	29.96886	56.30668	55.76444	25.97166	21.70897	2.90672	-0.87504	27.16438	50.24747	28.20104	2.07383	30.43335	29.36051	54.99396	59.01477	21.93282	29.81241	-3.58979	3.41461	28.47276	27.56808	52.71494	50.31082	29.61408	27.13988	-0.14449	-0.69811	31.30425	31.36126	56.39769	56.76039	26.63623	24.48162	1.13920	0.31858	28.61214	29.46426	51.96756	54.43508	30.23052	30.64198	1.34995	0.63968	34.32810	63.02662	33.47371	7.03343	34.85780	67.94358	34.07182	3.18889	36.82443	66.98100	30.96586	-0.44311
3	31.74286	2.52820	58.36269	5.23289	27.17525	4.62598	1.06366	2.96520	27.93718	1.22524	50.76483	1.54837	27.84615	1.69073	0.82538	1.11416	31.01696	51.69263	22.55720	-0.22145	26.79624	29.88763	50.14942	49.58533	26.90268	25.63034	0.29493	2.11945	29.62241	29.64057	55.76956	54.87444	25.67174	21.14565	2.22370	-1.70399	26.83382	49.29026	27.46564	1.94216	30.19056	29.22751	54.61282	58.59880	22.53952	30.43319	-4.02143	3.22004	27.75183	26.98848	51.73904	49.78415	28.57893	26.48690	-0.21682	-0.79115	31.02897	31.16799	55.82675	56.46962	27.74013	24.08208	2.09679	-0.06899	28.04699	29.25528	51.14511	53.66052	29.66156	30.19698	1.56285	0.86628	34.17609	62.04207	32.33904	6.60701	34.78339	67.43726	34.14916	2.80428	36.57414	66.30302	31.09479	-0.29941
4	31.52509	2.57283	57.82188	5.00695	27.73140	4.34371	1.39027	2.70867	27.49410	1.27297	49.86027	1.51702	27.59251	1.58677	1.22417	1.18340	30.79395	52.05533	24.94422	0.83636	26.39611	29.43028	48.88166	48.90779	26.63246	25.74884	0.81574	2.62088	29.23979	29.27205	55.09767	54.03343	25.81101	21.23913	1.86967	-2.10182	26.49099	48.32096	27.21703	2.17802	29.99668	29.10583	54.29699	58.00788	23.59292	31.22869	-2.10127	3.31293	27.07320	26.44859	50.70128	49.25549	27.94603	26.27758	0.03819	-0.57337	30.74312	30.99584	55.32483	56.12423	29.12191	24.10175	3.28679	-0.09670	27.54780	29.07176	50.19854	52.75618	29.33194	29.99369	2.05727	1.43247	34.05537	61.02942	31.55684	6.54747	34.72627	66.78310	34.36290	2.74233	36.32209	65.46586	31.35466	-0.39311
5	31.29852	2.63340	57.26601	4.74507	28.60036	4.10438	2.19617	2.51147	27.09122	1.33411	48.94144	1.48794	27.70848	1.47114	1.93311	1.24671	30.52542	52.52191	27.36791	1.91963	26.06387	29.02446	47.67673	48.22153	26.74669	26.14462	1.67055	3.39321	28.80334	28.86120	54.30239	53.28820	26.37905	22.00209	1.93884	-1.98398	26.13826	47.37816	27.42996	2.75890	29.83409	28.98385	54.03941	57.27563	25.03043	32.18597	2.29917	3.74439	26.45056	25.95051	49.64544	48.71346	27.76948	26.51095	0.63896	-0.03363	30.44442	30.83417	54.90817	55.72813	30.71218	24.56391	4.60543	0.29458	27.11246	28.89840	49.16276	51.79198	29.26957	30.08808	2.81103	2.29275	33.95612	60.04527	31.17776	6.58387	34.67725	66.03866	34.80884	3.06754	36.06536	64.51238	31.77547	-0.50782
6	31.05919	2.70878	56.71344	4.49482	29.73024	3.89485	3.07174	2.29602	26.72544	1.40030	48.04868	1.47032	28.16072	1.37251	2.87950	1.27461	30.25247	52.94435	29.48806	2.95128	25.79260	28.67690	46.59384	47.53093	27.17187	26.72767	2.71297	4.34566	28.31647	28.40178	53.41814	52.67697	27.33609	23.38668	2.45320	-1.36435	25.77764	46.49960	28.01796	3.58998	29.68467	28.84906	53.82579	56.46027	26.74674	33.28246	3.65530	4.50499	25.89162	25.49007	48.62251	48.14860	28.06905	27.15317	1.56429	0.80624	30.13731	30.66668	54.57283	55.29963	32.40731	25.45651	5.95616	1.09183	26.73209	28.71716	48.09566	50.84962	29.48509	30.50024	3.77792	3.35941	33.86101	59.14854	31.23262	6.12406	34.62149	65.28234	35.58265	3.91733	35.80096	63.50557	32.38325	1.42764
