	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.85300	5.47337	-1.80538	1.26885	1.44109	4.18157	4.14305	1.76864	-6.08829	2.35099	0.25561	2.00568	-5.49351	-1.34477	-5.37400	4.79543	3.95454	-3.98279	-3.87165	-1.88871	-2.06658	-0.57222	-4.40975	-1.32129	-2.16923	2.15093	-1.11617	6.62945	-5.19844	0.83878	-0.22598	3.75466	0.54449	-2.38936	-0.00969	4.57211	4.95270	3.95756	-7.28929	-5.82676	2.75285	1.88946	-2.46041	1.50577	-2.63463	0.04759	-2.15217	1.90696	3.94437	0.76728	-5.73593	-10.71317	1.69208	-1.42862	11.46914	-2.98593	9.93460	7.98667	-3.16057	3.89215	-3.02438	-2.64007	0.60616
2	0.60075	5.30899	-1.80133	1.34516	0.82633	4.08767	4.08957	1.72154	-6.28082	2.29455	-0.03985	2.07321	-5.39137	-0.98338	-5.69817	4.73819	4.20159	-4.51726	-4.14528	-1.96759	-2.18974	-0.73505	-4.47641	-1.58757	-2.43848	2.08518	-1.59640	6.51330	-5.09470	0.14693	-0.47618	3.32937	0.63384	-2.41228	-0.43139	4.19227	4.68721	3.72405	-7.75745	-5.73760	2.92705	1.55183	-2.48430	1.44990	-2.54451	0.18264	-2.91925	0.59685	3.98559	0.77705	-5.96740	-10.74607	1.33759	-2.08503	11.05352	-2.95715	8.99785	7.29489	-3.39089	3.19646	-3.55683	-2.51550	-0.16011
3	0.33005	5.12618	-1.68767	1.42246	0.18364	3.81599	4.02810	1.66710	-6.35526	2.27509	-0.37137	2.13153	-5.21438	-0.62666	-5.54850	4.65641	4.46371	-4.87540	-4.28125	-2.10962	-2.28212	-0.95241	-4.57892	-1.74254	-2.61034	1.86409	-2.09482	6.35418	-4.92985	-0.54159	-0.72899	2.85571	0.84175	-2.24721	-0.85796	3.45803	4.39520	3.46757	-8.15749	-5.56304	2.98160	1.17589	-2.48641	1.33328	-2.34975	0.38996	-3.52627	-0.67178	4.03016	0.82947	-6.01828	-10.66149	0.86835	-2.69210	10.58033	-2.74585	7.75821	6.57673	-3.50087	2.44750	-4.08444	-2.28519	-0.99208
4	0.05592	4.92623	-1.44954	1.48796	-0.45402	3.35055	3.96979	1.61490	-6.28509	2.28856	-0.73952	2.16752	-4.96958	-0.32555	-4.76747	4.57135	4.74587	-5.01839	-4.25915	-2.34256	-2.35236	-1.21393	-4.70047	-1.73028	-2.63789	1.44717	-2.61849	6.16560	-4.68542	-1.22077	-0.95385	2.34813	1.19068	-1.88496	-1.26355	2.35669	4.08943	3.20396	-8.43545	-5.27205	2.90567	0.75147	-2.44243	1.16940	-2.05242	0.68815	-3.88850	-1.86155	4.08357	0.92874	-5.87600	-10.44914	0.30736	-3.22544	10.05701	-2.36056	6.27976	5.85147	-3.45435	1.65147	-4.58658	-1.92826	-1.87576
5	-0.20329	4.71173	-1.07928	1.53410	-1.04484	2.74342	3.93103	1.57567	-6.04233	2.33736	-1.14820	2.17979	-4.67300	-0.09620	-3.31315	4.51454	5.05680	-4.89219	-4.01072	-2.71684	-2.47595	-1.50186	-4.81213	-1.51177	-2.49365	0.81973	-3.13409	5.96682	-4.35590	-1.86416	-1.11829	1.82513	1.69044	-1.33415	-1.60521	0.91723	3.78790	2.95457	-8.54412	-4.83996	2.69927	0.27362	-2.32956	0.97859	-1.65901	1.08726	-3.91532	-2.92078	4.15511	1.08147	-5.54500	-10.10844	-0.30700	-3.64632	9.49504	-1.82078	4.64483	5.14279	-3.22057	0.82426	-5.03961	-1.43437	-2.76586
6	-0.42665	4.48645	-0.57940	1.56361	-1.53902	2.18102	3.93227	1.55939	-5.59114	2.43437	-1.61623	2.19150	-4.34452	0.07954	-1.33018	4.52258	5.40880	-4.30249	-3.48030	-3.48267	-2.71797	-1.79191	-4.87610	-1.07374	-2.17757	0.00667	-3.55130	5.78271	-3.95006	-2.41621	-1.19223	1.30908	2.33540	-0.62184	-1.82070	-0.76994	3.51366	2.74472	-8.44913	-4.25499	2.37156	-0.24799	-2.13086	0.78884	-1.17703	1.58470	-3.53550	-3.76690	4.25683	1.29661	-5.04799	-9.65303	-0.91963	-3.90073	8.91030	-1.15455	2.95073	4.47921	-2.78166	0.00635	-5.41827	-0.80731	-3.57942
