	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0001_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0003_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d	2014_05_30_PC017_BAREFOOT_GAIT0007_2.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	RFT_PROG_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.11433	8.08798	9.06212	4.83424	-16.94533	3.44929	1.73026	3.06932	-7.50312	6.24237	13.23165	3.01838	3.51492	2.28206	-18.12441	2.89915	-10.43313	1.38769	-14.02658	11.56100	-4.41521	-1.25713	-13.15843	8.58463	-12.98685	12.76501	7.76793	-0.48650	2.78686	-16.39086	-15.94867	-9.21616	-8.66752	-11.39420	-1.56072	-8.99712	10.35242	6.96187	-16.61052	-14.59916	-0.21034	2.95378	-9.53217	-15.92498	17.64398	3.44386	-20.23652	-9.95943	-7.60260	-6.40411	-5.46473	6.06551	12.81566	14.09187	-16.85066	-20.62437	3.37786	-1.53858	-6.41397	-3.61396	15.02162	12.17125	4.72942	4.07838	-21.73138	-17.77401	-10.35602	-12.17201	-4.47239	-14.46548	-2.19630	-4.48977	6.63846	9.08586	-15.77431	-13.98964	1.66912	1.04869	-12.28914	-7.60573	14.11868	13.13308	7.06825	2.98415	-20.86115	-13.92828	-10.30775	-12.35300	-3.75520	-10.13023	17.60082	15.82258	-24.13694	-2.49443	5.79123	-41.06634	8.38250	6.51034	-19.27679	1.35467	-2.59688	-26.39592	-3.78168	9.59931	-14.43243	2.55719	-9.85872	-14.57929
2	0.32800	7.96709	8.68606	4.43071	-16.29023	3.77153	1.57660	2.46295	-7.26963	6.12837	13.81501	2.85488	3.34549	2.28440	-17.43363	3.27157	-10.85553	1.40007	-14.19173	11.62080	-4.12507	0.00040	-12.52890	6.81731	-12.44653	13.80161	8.70065	-0.38390	2.57493	-15.54496	-15.30334	-9.86170	-9.10495	-11.21579	-1.15901	-8.37222	10.00256	6.08275	-16.54035	-13.92671	-0.11930	3.05020	-9.54735	-15.62888	17.97492	2.70490	-19.09884	-10.28895	-7.58838	-6.44423	-5.65276	6.22960	12.88711	13.45281	-16.21170	-20.61851	2.75923	-0.86873	-6.63169	-3.67954	15.34410	12.35236	5.37279	3.81843	-22.15614	-17.88874	-10.39827	-11.85444	-4.73539	-14.28617	-1.81736	-3.94854	6.21488	8.02709	-14.50250	-12.10558	0.93147	0.83988	-11.74307	-6.37646	14.79334	13.73807	6.73679	2.59448	-19.68533	-12.35806	-11.15703	-13.32335	-4.29325	-10.24506	17.56467	14.91223	-23.80576	-1.98042	5.90829	-41.46616	8.41712	6.08053	-18.80998	1.72500	-2.64182	-26.65728	-3.85646	9.20023	-13.85228	2.61137	-9.90925	-14.98558
3	0.46581	7.85052	8.36595	3.81909	-15.66126	3.98235	2.13398	3.14744	-6.32964	6.52825	14.41308	2.72409	3.13763	2.27288	-16.72781	3.48849	-11.44886	1.48812	-14.31847	11.67409	-4.00148	2.06855	-11.93295	4.29364	-12.02231	14.86388	9.65081	-0.21949	2.46064	-15.02369	-14.72270	-10.58089	-9.78099	-10.92442	-0.79693	-7.77331	9.51674	5.29996	-16.66429	-13.60560	0.29770	3.37491	-9.58404	-15.38910	18.32792	1.95475	-17.99997	-10.71523	-7.55194	-6.48992	-5.90925	6.30244	12.87849	12.55048	-15.45638	-20.44758	9.55178	-0.10875	0.49226	-3.70759	15.69121	12.51670	5.77468	3.52178	-22.06814	-17.88709	-10.80694	-11.70056	-4.88693	-14.09242	-1.53213	-3.47334	6.08226	7.09464	-13.39515	-10.49777	-0.02806	0.77035	-11.30514	-5.27150	15.45473	14.38634	6.27952	2.19153	-18.32692	-11.06617	-12.26834	-14.28906	-4.88281	-10.33225	17.45608	13.71153	-23.17986	-1.42626	6.05961	-41.81049	8.37324	5.64431	-18.19810	1.94766	-2.69927	-26.85429	-3.98720	8.81259	-13.23490	2.66683	-9.86930	-15.35923
4	0.50765	7.74221	8.14729	3.12047	-15.09229	4.02605	2.14445	3.55842	-5.90267	6.95602	15.00394	2.63313	2.88831	2.22757	-16.05348	3.49553	-12.16949	1.61598	-14.40215	11.71118	-4.01735	4.95357	-11.54834	1.27275	-11.69302	15.90894	10.59078	-0.05615	2.45110	-14.83106	-14.27839	-11.30655	-10.63755	-10.56573	-0.50424	-7.24468	8.92894	4.69620	-16.94386	-13.65207	0.99071	3.87096	-9.60613	-15.18709	18.68446	1.25274	-17.02786	-11.19599	-7.48524	-6.53072	-6.25446	6.27211	12.84521	11.40895	-14.63624	-20.06285	11.48650	0.64597	3.06496	-3.69846	16.04186	12.65727	5.88535	3.19631	-21.45092	-17.76009	-11.56488	-11.73192	-4.92619	-13.89205	-1.35954	-3.09099	6.33000	6.39022	-12.56501	-9.27808	-1.14705	0.78431	-10.96365	-4.34149	16.08652	15.05774	5.70570	1.78313	-16.88682	-10.13924	-13.55457	-15.19498	-5.52344	-10.39692	17.26865	12.26929	-22.23881	-0.42888	6.69793	-42.07916	8.21155	5.19275	-17.40948	1.90504	-2.85439	-26.94288	-4.20454	8.45777	-12.58812	2.06414	-10.44538	-15.67921
5	0.43541	7.64421	8.07954	2.66874	-14.62023	3.88191	0.89132	1.95053	-6.69428	6.32973	15.56155	2.58316	2.60833	2.13333	-15.47463	3.28686	-12.94362	1.75120	-14.43768	11.72041	-4.12409	8.51458	-11.54966	-1.86669	-11.43959	16.88843	11.49087	0.04748	2.48597	-14.95867	-14.00426	-11.93850	-11.59002	-10.16409	-0.31279	-6.83361	8.28979	4.37634	-17.31015	-14.03368	1.84159	4.40806	-9.60037	-15.01502	19.02066	0.68634	-16.28707	-11.68013	-7.38328	-6.56129	-6.70497	6.12684	12.87141	10.08275	-13.83403	-19.43707	2.10530	1.29153	-5.34155	-3.66128	16.37034	12.76379	5.69515	2.86063	-20.36128	-17.52068	-12.61067	-11.94436	-4.86292	-13.68815	-1.31340	-2.83399	7.03786	6.01828	-12.08940	-8.53732	-2.37047	0.82782	-10.70287	-3.61590	16.67124	15.72549	5.06428	1.41846	-15.51798	-9.67250	-14.88291	-15.95875	-6.21633	-10.44683	16.99445	10.67061	-21.01339	0.15679	6.99889	-42.25061	7.89491	4.74519	-16.45271	1.63103	-3.06228	-26.87604	-4.53929	8.18859	-11.94491	0.88822	-11.50287	-15.92722
6	0.23519	7.55604	8.21604	2.90338	-14.27617	3.57907	0.27436	2.84221	-6.83566	5.82484	16.05849	2.56929	2.31906	2.00676	-15.06430	2.89301	-13.68658	1.87378	-14.42283	11.68851	-4.26306	12.43684	-12.01996	-4.74295	-11.24597	17.75523	12.32123	-0.10259	2.52021	-15.30448	-13.94432	-12.40277	-12.53215	-9.73414	-0.25255	-6.58277	7.67486	4.46536	-17.67929	-14.66888	2.68309	4.79862	-9.56775	-14.86842	19.31033	0.36819	-15.88347	-12.12095	-7.24732	-6.58584	-7.26940	5.85654	13.05974	8.68066	-13.13979	-18.58595	0.37985	1.72943	-6.45166	-3.60640	16.64870	12.82364	5.24809	2.55503	-18.93777	-17.21319	-13.84049	-12.31276	-4.71976	-13.48015	-1.39972	-2.73687	8.24629	6.08900	-11.98187	-8.33712	-3.66276	0.85365	-10.50618	-3.09678	17.19187	16.35843	4.45172	1.19278	-14.41169	-9.75520	-16.09943	-16.49749	-6.96429	-10.49333	16.62468	9.04332	-19.59580	-1.23501	5.40863	-42.30247	7.39368	4.37039	-15.39424	0.81394	-3.62733	-26.61040	-5.01866	8.09390	-11.35877	1.12575	-10.79479	-16.09062
