	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	13.06035	1.42439	44.71045	2.27342	27.20811	1.83772	-8.42692	1.08164	18.44811	1.19909	41.33521	3.21483	17.03707	2.45136	-7.51128	1.63420	13.65420	43.37431	27.62141	-9.06312	19.42537	43.58585	19.94321	-7.70493	12.47442	16.00284	43.16005	49.40667	25.23596	31.00181	-9.38680	-7.04957	18.18310	16.53284	40.92176	37.31890	19.27512	17.19854	-5.91342	-5.39694	11.66821	43.92611	27.05761	-8.00888	19.76238	46.66778	18.77715	-6.77945	11.63569	43.53796	26.86421	-7.78443	17.25152	38.12548	14.21603	-8.37360	12.95026	43.22046	26.22121	-8.49607	19.29513	42.33896	16.07887	-8.21948	12.38986	13.70733	44.04819	47.00983	25.45488	28.20784	-10.24074	-7.38572	18.68643	40.38775	13.77058	-10.19117
2	13.26523	1.37073	43.34960	2.32592	26.16534	1.87623	-7.48471	1.06649	18.47330	1.13256	40.01840	3.05678	16.33997	2.05208	-7.13981	1.52563	13.57665	41.89612	26.35727	-8.27506	19.47478	41.57640	17.97257	-7.90522	12.77792	16.22952	41.47725	48.12473	23.85946	29.98911	-8.61082	-6.04344	18.29550	16.52575	39.94461	35.90396	19.20467	16.49757	-4.94165	-5.17609	12.06120	42.74894	26.01943	-7.39033	19.53653	45.24922	17.45046	-7.36391	11.95869	42.35694	25.90402	-7.10440	17.43635	37.21844	14.22801	-7.71707	13.11543	41.97553	25.49577	-7.34691	19.19608	40.97853	15.51375	-7.75163	12.55175	13.85066	42.51763	45.69969	24.44732	27.25031	-8.93353	-6.17319	18.84811	39.25765	13.51274	-9.12313
3	13.57563	1.32776	41.96455	2.32279	25.28835	1.87863	-5.97304	1.13130	18.53655	1.10230	38.76199	2.91496	15.89649	1.91049	-6.49765	1.58748	13.58468	40.38727	25.23201	-6.85573	19.57788	39.67033	16.51749	-7.52878	13.13742	16.55676	39.78623	46.60785	22.73792	28.99172	-7.21443	-4.39177	18.41181	16.53510	39.03905	34.57558	19.29759	16.06644	-3.88670	-4.61542	12.55916	41.52296	25.08751	-6.16649	19.41623	43.86161	16.53253	-7.54116	12.38966	41.03649	25.02425	-5.86266	17.64141	36.43325	14.38908	-6.91933	13.40419	40.93895	25.14927	-5.67367	19.13231	39.61817	15.16553	-7.02867	12.86354	14.10962	41.02577	44.41093	23.58755	26.49660	-7.21438	-4.40520	19.04113	38.13589	13.30675	-7.96351
4	14.00160	1.29423	40.66944	2.27603	24.63272	1.86298	-4.10670	1.23419	18.60570	1.11473	37.59019	2.82209	15.66728	1.97738	-5.68496	1.67292	13.71201	38.92656	24.26065	-4.95536	19.71243	37.95630	15.58876	-6.69375	13.54742	16.98051	38.24900	44.99308	21.97622	28.08948	-5.44175	-2.34062	18.48935	16.52793	38.20803	33.33064	19.50958	15.87384	-2.85664	-3.83577	13.17092	40.31307	24.26989	-4.50080	19.38615	42.58749	16.04823	-7.28120	12.93242	39.71901	24.30793	-4.26243	17.79670	35.75925	14.61200	-6.10592	13.82905	40.20831	25.23262	-3.72492	19.07996	38.27496	15.00861	-6.14573	13.33502	14.50547	39.72152	43.22495	22.96326	25.96167	-5.32120	-2.30654	19.24734	37.01465	13.02995	-6.87571
5	14.53872	1.26618	39.60812	2.21702	24.27738	1.86548	-2.15835	1.34081	18.64315	1.17197	36.53027	2.79295	15.61402	2.15888	-4.81849	1.70978	13.98743	37.61205	23.45795	-2.88077	19.85423	36.49858	15.13948	-5.64257	13.99474	17.47968	37.04132	43.47748	21.68728	27.38321	-3.56668	-0.23011	18.48386	16.46471	37.45828	32.17538	19.80473	15.88089	-1.92333	-2.97994	13.89173	39.22622	23.62883	-2.66894	19.40880	41.49073	16.00863	-6.64055	13.56989	38.60599	23.88862	-2.55356	17.83919	35.18703	14.85853	-5.34611	14.38291	39.87275	25.79345	-1.73113	19.01098	36.97685	14.99032	-5.22182	13.95892	15.04446	38.78282	42.24634	22.69848	25.68122	-3.48060	-0.15505	19.44030	35.92506	12.61557	-5.97513
6	15.16399	1.23816	38.91271	2.19096	24.31244	1.94697	-0.32760	1.43766	18.61109	1.27234	35.60487	2.81943	15.70478	2.40780	-3.99573	1.70695	14.42577	36.55091	22.85052	-0.96802	19.97487	35.33014	15.07070	-4.61781	14.45922	18.01549	36.28668	42.27057	21.94739	27.02330	-1.77321	1.69647	18.35773	16.30736	36.79406	31.12721	20.17256	16.04109	-1.10990	-2.16403	14.69513	38.40351	23.29728	-0.90285	19.42915	40.58998	16.35753	-5.76758	14.26108	37.88969	23.92073	-0.90075	17.72707	34.69887	15.16451	-4.63696	15.03636	39.97133	26.82693	0.17248	18.89557	35.76565	15.05029	-4.36457	14.70791	15.71093	38.34992	41.57908	22.91157	25.72183	-1.80405	1.85916	19.58589	34.92814	12.07679	-5.30924
