	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-6.51929	1.91112	0.74657	2.70572	3.46201	2.56690	1.08216	1.50998	-8.50680	1.83893	-10.16733	1.14762	-4.27028	4.19980	3.05037	0.88177	-10.46040	-10.61630	-5.68871	-5.74897	-1.07880	-0.39125	4.05489	8.67933	1.40681	-0.38457	-10.19952	-8.81182	-10.80298	-9.41642	-6.97048	0.69820	3.05830	0.16416	-5.94942	-8.01781	-7.15685	-1.01490	4.23658	1.51471	-9.10850	-11.31480	-4.31023	0.39746	2.16138	-0.08752	-9.02906	-9.96662	-8.17255	-9.83622	5.45887	-2.29680	-0.49600	2.95122	4.07974	-5.98884	-11.03638
2	-6.55405	1.92026	0.78368	2.75703	2.43101	2.72810	1.04632	1.53200	-8.40605	1.79027	-10.71856	1.14074	-4.47526	4.10533	1.78869	0.84962	-10.82871	-11.46661	-5.55461	-5.63115	-0.97642	-0.14949	2.75990	8.19077	1.38992	-0.43337	-9.73235	-8.67820	-11.59159	-10.09017	-7.10886	0.41305	1.88619	0.07189	-6.01736	-8.53618	-7.16945	-1.04784	3.41252	1.46974	-8.69595	-11.83944	-4.34396	0.56042	0.78585	-0.11328	-8.83960	-10.56643	-8.24905	-9.90006	5.74729	-2.38291	-1.33955	1.96372	4.08975	-6.05018	-10.93954
3	-6.55148	1.93470	0.90309	2.77368	1.21222	2.69607	1.04709	1.57095	-8.24815	1.80301	-11.28759	1.17164	-4.66689	4.01056	0.56486	0.82398	-11.11758	-12.33775	-5.35302	-5.50201	-0.65880	0.18065	1.19716	7.03153	1.43834	-0.46446	-9.26581	-8.47047	-12.31380	-10.73361	-7.22728	0.17868	0.56115	-0.01652	-5.97762	-9.17389	-7.15007	-1.00002	2.22815	1.51895	-8.31583	-12.35264	-4.32305	0.83281	-0.50687	-0.11763	-8.56155	-11.22298	-8.25967	-9.92984	6.04321	-2.36233	-2.26337	0.88516	4.14697	-6.02818	-10.87846
4	-6.46874	1.95657	1.15499	2.76212	-0.09518	2.46073	1.10438	1.62655	-8.02989	1.84667	-11.82137	1.21500	-4.80383	3.96855	-0.57427	0.82796	-11.30164	-13.15992	-5.04217	-5.32684	-0.09477	0.63827	-0.44022	5.29077	1.57835	-0.44670	-8.79531	-8.17299	-12.88855	-11.30181	-7.27708	0.06281	-0.83353	-0.08536	-5.86370	-9.83371	-7.05181	-0.80586	0.80386	1.66565	-7.93769	-12.74794	-4.20227	1.25830	-1.59233	-0.08089	-8.20971	-11.91242	-8.15458	-9.89130	6.39592	-2.18329	-3.16268	-0.25305	4.27166	-5.92818	-10.90527
5	-6.26137	1.98783	1.58291	2.73546	-1.31184	2.04984	1.24054	1.69613	-7.75075	1.89519	-12.23594	1.23603	-4.83672	4.04532	-1.56637	0.89419	-11.36377	-13.87180	-4.58434	-5.06517	0.71612	1.25885	-1.87727	3.21257	1.83397	-0.34666	-8.30836	-7.78276	-13.19410	-11.72891	-7.20283	0.13350	-2.16179	-0.10965	-5.71589	-10.40590	-6.82460	-0.41139	-0.62296	1.91148	-7.52871	-12.85285	-3.94201	1.86098	-2.27771	0.01887	-7.80300	-12.57489	-7.88620	-9.74910	6.86068	-1.80074	-3.84689	-1.35432	4.48157	-5.75278	-11.02312
6	-5.89711	2.02857	2.20704	2.70677	-2.19296	1.54046	1.47700	1.77346	-7.41348	1.93376	-12.42656	1.24968	-4.71517	4.30667	-2.32350	1.05927	-11.30303	-14.40327	-3.96263	-4.68220	1.73547	2.05550	-2.79780	1.17924	2.22343	-0.13317	-7.77939	-7.31100	-13.10761	-11.91563	-6.95621	0.43884	-3.22331	-0.06019	-5.56709	-10.79044	-6.43373	0.20270	-1.72902	2.25895	-7.06272	-12.51800	-3.52454	2.63354	-2.32636	0.20429	-7.36254	-13.09281	-7.42535	-9.47707	7.47534	-1.19175	-4.07958	-2.24340	4.78644	-5.50856	-11.15816
7	-5.37342	2.07504	3.01169	2.68066	-2.49249	1.12430	1.83055	1.84911	-7.01657	1.96169	-12.30212	1.31810	-4.40078	4.79890	-2.73609	1.35478	-11.13198	-14.65663	-3.19986	-4.16410	2.89371	3.00206	-2.94359	-0.35644	2.75631	0.21839	-7.16769	-6.76709	-12.56868	-11.75684	-6.51642	0.98716	-3.77211	0.09166	-5.42345	-10.91534	-5.88169	1.00923	-2.19679	2.71115	-6.51096	-11.72378	-2.97043	3.54098	-1.56196	0.49637	-6.90416	-13.30709	-6.78114	-9.07297	8.23280	-0.37131	-3.67064	-2.70232	5.18517	-5.21063	-11.18647
8	-4.73033	2.11998	3.94347	2.65368	-2.07326	1.11321	2.30953	1.91280	-6.54651	1.99019	-11.82807	1.45556	-3.88454	5.52954	-2.70293	1.79752	-10.85999	-14.53594	-2.36769	-3.53061	4.10052	4.03637	-2.25219	-0.99577	3.43162	0.72159	-6.42894	-6.14350	-11.62049	-11.20378	-5.90952	1.73833	-3.59406	0.36899	-5.24906	-10.74603	-5.22099	1.93728	-1.84956	3.26881	-5.83907	-10.59826	-2.34426	4.52632	-0.02392	0.91158	-6.42724	-13.08720	-6.01392	-8.57109	9.07714	0.60226	-2.60704	-2.56058	5.66660	-4.87775	-11.00479
9	-4.04761	2.15734	4.91755	2.62071	-1.01466	1.39738	2.91080	1.95614	-5.98072	2.03673	-11.04992	1.59432	-3.20306	6.45839	-2.18365	2.38151	-10.48619	-14.00922	-1.57337	-2.83618	5.24397	5.08192	-0.95922	-0.55801	4.23635	1.37617	-5.53577	-5.42031	-10.39915	-10.31006	-5.21354	2.61339	-2.63696	0.78386	-4.97579	-10.29317	-4.54494	2.88568	-0.78084	3.92448	-5.01923	-9.34890	-1.74040	5.50319	1.94547	1.45958	-5.90951	-12.40590	-5.22754	-8.04185	9.91886	1.63495	-1.13784	-1.80619	6.21369	-4.51827	-10.58303
10	-3.42280	2.18763	5.82628	2.57904	0.36619	1.59999	3.61868	1.97347	-5.30005	2.11775	-10.08196	1.66039	-2.44166	7.50031	-1.26819	3.07756	-10.01070	-13.14298	-0.92560	-2.15552	6.19068	6.06412	0.45793	0.78499	5.14383	2.16805	-4.49013	-4.58030	-9.08649	-9.21660	-4.53821	3.50799	-1.11805	1.33538	-4.54030	-9.62373	-3.95747	3.73670	0.62091	4.65576	-4.04622	-8.18660	-1.25358	6.35339	3.79722	2.14181	-5.31400	-11.35302	-4.53845	-7.57194	10.64492	2.61217	0.29860	-0.64390	6.80835	-4.11873	-9.96429
