	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-15.88542	5.71206	15.37306	1.70676	-14.28550	2.86475	5.61076	1.37197	-12.18936	4.67618	26.48001	3.75956	-7.69165	2.33173	-6.09543	1.81743	-4.02551	1.38720	7.47433	5.62216	-17.13240	14.81078	-14.39748	6.81587	-10.54471	26.58489	-6.03934	-3.85883	-6.17176	1.41784	-12.26555	-6.34879	14.40918	16.42974	-17.29571	-17.19142	6.47394	3.70336	-12.10016	-7.32603	28.25109	24.62345	-9.27440	-8.97704	-7.65144	-8.08641	-2.23363	-4.90381	7.48255	6.14842	-19.68317	17.08533	-14.04809	5.25482	-14.63733	21.33610	-10.58985	-7.15974	-4.83064	9.40288	-13.09287	16.20255	-16.23567	4.74978	-12.39207	29.78860	-5.49461	-6.59397	-3.72091	10.35678	-13.29512	12.13532	-14.62303	7.13897	-10.91234	22.96324	-9.04296	-5.86745	-2.56131	2.51124	-21.44859	-23.81687	17.23005	14.68150	-8.95680	-11.53582	6.79342	3.95594	-7.54183	-22.06043	31.81266	-4.42336	-3.45015	-3.75650	3.56156	18.91338
2	-14.77448	5.73030	15.65125	2.01707	-14.21964	3.07649	5.26112	1.18240	-11.00028	4.57097	27.53841	3.69565	-7.49585	2.40878	-6.17597	1.65871	-4.18289	1.00851	7.48242	5.51295	-16.26190	14.68040	-13.31227	6.27389	-9.29408	28.13547	-5.82074	-3.33392	-5.73368	1.64248	-11.02795	-5.28775	14.55524	17.12932	-17.29257	-18.57125	6.39909	3.69179	-10.57752	-6.77915	29.13901	25.85976	-9.51766	-8.99517	-7.08616	-7.65495	-3.10230	-5.15589	7.35393	6.26898	-18.22810	17.04493	-13.59370	4.96346	-13.11819	22.20342	-9.94469	-7.71577	-4.30821	9.40823	-11.84239	16.49141	-16.50196	4.73890	-11.02897	30.37794	-6.01884	-7.09234	-3.35400	10.26695	-12.25648	12.01438	-13.58969	6.56361	-9.39635	24.18308	-8.68724	-5.48849	-3.26219	2.51546	-20.56935	-22.72193	18.42098	14.87332	-9.30762	-11.58805	5.81980	3.63846	-6.78269	-21.02531	32.87016	-3.48661	-4.86014	-4.36393	3.67317	18.73012
3	-13.67500	5.74064	15.73693	2.15876	-13.82515	3.11755	4.42817	0.99205	-10.09794	4.45827	28.61918	3.61198	-7.44405	2.56813	-6.30044	1.76556	-4.50725	1.02326	7.52566	5.39235	-15.35917	14.65259	-12.24686	5.36736	-8.29802	29.78124	-5.73192	-2.73226	-5.81574	1.88605	-9.86379	-4.25131	14.46382	17.07562	-16.54166	-19.11744	5.53551	3.22729	-9.30140	-6.51646	30.00364	27.13587	-9.91234	-9.13943	-6.58922	-7.18734	-4.02787	-5.81998	7.24368	6.46101	-16.76730	16.86583	-12.80398	4.15173	-11.84969	23.15825	-9.36911	-7.80146	-4.39072	9.41128	-10.57184	16.37309	-16.14941	4.15081	-9.93164	30.90544	-6.73257	-7.53373	-2.95549	10.21559	-11.26681	12.10061	-12.43906	5.34515	-8.20215	25.45987	-8.50501	-5.33306	-4.06620	2.57623	-19.67296	-21.64684	19.29795	15.06590	-9.74490	-11.55790	4.72207	2.92546	-6.46120	-20.22296	33.88997	-2.71795	-6.92601	-4.47476	3.85217	18.55929
4	-12.64849	5.74428	15.71321	2.12619	-13.22294	2.93086	3.18982	0.79197	-9.47436	4.36347	29.68424	3.51595	-7.54233	2.74128	-6.49055	2.20109	-4.95125	1.30257	7.60018	5.25462	-14.46427	14.79127	-11.43216	4.20839	-7.60103	31.47086	-5.80258	-2.23529	-6.37789	2.14983	-8.85096	-3.27995	14.35075	16.33679	-15.24568	-18.83689	3.89836	2.37157	-8.31247	-6.44122	30.80467	28.40329	-10.36146	-9.40424	-6.27173	-6.95954	-4.89467	-6.61634	7.14406	6.72542	-15.36687	16.59294	-11.85610	2.90667	-10.89422	24.18740	-8.92985	-7.45453	-5.15710	9.40920	-9.35462	15.94766	-15.27912	3.01685	-9.12012	31.32882	-7.50603	-7.65098	-2.82422	10.20565	-10.39498	12.53782	-11.41915	3.61864	-7.33458	26.75469	-8.51918	-5.60755	-4.69584	2.69587	-18.83132	-20.64500	19.88840	15.26003	-10.23612	-11.47829	3.61473	1.88332	-6.45049	-19.64077	34.83994	-2.27299	-9.25426	-4.09266	4.09251	18.37891
5	-11.77511	5.74224	15.78674	2.02509	-12.59123	2.53472	1.66125	0.75481	-9.05949	4.29682	30.68332	3.42215	-7.73685	2.81729	-6.73206	2.67121	-5.48888	1.63628	7.69043	5.09184	-13.63883	15.19849	-11.10043	2.98949	-7.16486	33.13536	-6.01258	-2.13017	-7.11235	2.43329	-8.08066	-2.43443	14.56250	15.21160	-13.76870	-17.89212	1.63075	1.19504	-7.58696	-6.40556	31.49395	29.59890	-10.70142	-9.70485	-6.11500	-7.13869	-5.76088	-7.32124	7.03127	7.05222	-14.11126	16.36688	-10.96787	1.39840	-10.22425	25.25630	-8.65119	-6.89562	-6.42675	9.39262	-8.28924	15.51498	-14.12607	1.42183	-8.54394	31.60296	-8.13046	-7.26392	-3.26459	10.22355	-9.72492	13.53437	-10.76341	1.54857	-6.74067	28.01314	-8.70352	-6.31013	-5.03957	2.86339	-18.13526	-19.78626	20.36774	15.53739	-10.72618	-11.38505	2.51290	0.59297	-6.58565	-19.22404	35.68260	-2.25393	-11.27090	-3.49679	4.37660	18.15049
6	-11.14272	5.73576	16.26030	2.03329	-12.13192	2.00419	-0.06997	1.07715	-8.77684	4.25633	31.56150	3.35154	-7.91323	2.70608	-6.98567	2.91476	-6.13893	1.92234	7.76427	4.89328	-12.96263	16.01320	-11.39077	1.87090	-6.89545	34.69451	-6.27402	-2.60750	-7.70746	2.73183	-7.64009	-1.79089	15.48955	14.20788	-12.57400	-16.56392	-1.02106	-0.31548	-7.07689	-6.30233	32.02760	30.65585	-10.75455	-9.88992	-6.05797	-7.71114	-6.75235	-7.90598	6.86115	7.41314	-13.09649	16.44625	-10.34244	-0.24288	-9.76929	26.30898	-8.47368	-6.40441	-7.89598	9.33499	-7.48533	15.53297	-13.02182	-0.55618	-8.13978	31.69217	-8.37583	-6.45364	-4.36741	10.22754	-9.33914	15.30822	-10.65067	-0.71477	-6.35783	29.17087	-8.96781	-7.22583	-5.23171	3.05027	-17.67924	-19.14789	21.01080	16.07351	-11.19727	-11.31446	1.33929	-0.91961	-6.75151	-18.92166	36.38050	-2.65683	-12.43919	-3.11161	4.67793	17.81727
