	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.47656	0.04052	-0.17870	0.01006	0.05669	0.01023	0.40653	0.07688	-0.24652	0.05789	0.03243	0.01299	0.41549	-0.28362	0.04467	0.46798	-0.17989	0.05751	0.31460	-0.17348	0.02379	0.50168	-0.30122	0.04235	0.50965	-0.19046	0.04231	0.42274	-0.16591	0.06078	0.39435	-0.22777	0.01890	0.50589	-0.17857	0.06617
2	0.47173	0.04140	-0.13005	0.01664	0.09255	0.01705	0.37263	0.09905	-0.21983	0.07095	0.04861	0.01561	0.37878	-0.26815	0.06299	0.46037	-0.13713	0.09376	0.26029	-0.13274	0.04300	0.50034	-0.28628	0.05930	0.50830	-0.14771	0.07105	0.41815	-0.10867	0.09262	0.35110	-0.19214	0.02915	0.50010	-0.12668	0.11276
3	0.45726	0.04004	-0.06037	0.02514	0.14178	0.02638	0.33296	0.11466	-0.18398	0.08048	0.07000	0.01942	0.34051	-0.24341	0.08625	0.44936	-0.07573	0.14369	0.20276	-0.08512	0.06925	0.48063	-0.25541	0.08156	0.49592	-0.08402	0.11119	0.40460	-0.02783	0.13694	0.30794	-0.15199	0.04293	0.47914	-0.05390	0.17531
4	0.43721	0.03719	0.02617	0.03424	0.20334	0.03825	0.29898	0.12125	-0.14145	0.08501	0.09774	0.02389	0.31473	-0.21082	0.11375	0.43227	0.00254	0.20441	0.15803	-0.03525	0.10378	0.45145	-0.20942	0.11098	0.47566	-0.00312	0.16223	0.38816	0.07136	0.19254	0.27172	-0.11032	0.06246	0.45277	0.03390	0.25416
5	0.41808	0.03258	0.12593	0.04394	0.27387	0.05122	0.28456	0.12503	-0.09783	0.08672	0.13389	0.02912	0.31720	-0.17651	0.14639	0.41342	0.09474	0.27142	0.13866	0.01234	0.14765	0.43641	-0.15680	0.15120	0.45690	0.09010	0.22243	0.37785	0.18484	0.25741	0.24597	-0.07033	0.09032	0.42413	0.13402	0.34421
6	0.40152	0.02874	0.23194	0.05387	0.34708	0.06380	0.28504	0.13094	-0.05740	0.08788	0.17692	0.03481	0.33909	-0.14455	0.18232	0.39541	0.19335	0.33862	0.13704	0.05489	0.19865	0.43737	-0.10637	0.20056	0.44282	0.18789	0.28639	0.37629	0.30375	0.32657	0.22666	-0.03356	0.12618	0.39157	0.24279	0.43673
