	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.06287	0.01336	-0.06093	0.01313	0.00863	0.00724	-0.32760	0.03634	-0.11724	0.03231	-0.00712	0.01176	-0.36818	-0.14629	-0.02243	-0.07013	-0.05150	0.00601	-0.29602	-0.12270	-0.00286	-0.29782	-0.07116	-0.00871	-0.04390	-0.04934	0.00547	-0.07394	-0.07747	0.00364	-0.34836	-0.12880	0.00552	-0.06351	-0.06541	0.01938
2	-0.05130	0.01033	-0.06759	0.01557	0.00961	0.01385	-0.32300	0.05749	-0.16805	0.03891	-0.01590	0.01112	-0.39614	-0.21457	-0.03047	-0.05630	-0.06186	0.00273	-0.25842	-0.16426	-0.01167	-0.30533	-0.11974	-0.01732	-0.03581	-0.05076	0.00335	-0.05624	-0.08774	0.00198	-0.33212	-0.17361	-0.00412	-0.05686	-0.07000	0.03037
3	-0.02302	0.01062	-0.08547	0.01947	0.00569	0.02299	-0.30334	0.08497	-0.22990	0.04979	-0.02787	0.00938	-0.41159	-0.29655	-0.04018	-0.02116	-0.08696	-0.00753	-0.20445	-0.21533	-0.02384	-0.29103	-0.17717	-0.02928	-0.01085	-0.06196	-0.00574	-0.02339	-0.10951	-0.00407	-0.30629	-0.23054	-0.01818	-0.03668	-0.08344	0.04011
4	0.02506	0.01728	-0.11714	0.02333	-0.00325	0.03412	-0.26793	0.11096	-0.29478	0.06190	-0.04174	0.00688	-0.40872	-0.38130	-0.05048	0.03862	-0.12926	-0.02495	-0.13744	-0.26741	-0.03786	-0.25860	-0.23773	-0.04372	0.03455	-0.08779	-0.02133	0.02687	-0.14118	-0.01419	-0.26696	-0.29270	-0.03491	0.00019	-0.11032	0.04749
5	0.08773	0.02554	-0.15906	0.02487	-0.01563	0.04588	-0.22609	0.13270	-0.35516	0.07377	-0.05538	0.00563	-0.39454	-0.45900	-0.06078	0.11517	-0.18288	-0.04723	-0.07000	-0.31370	-0.05109	-0.21723	-0.29331	-0.05965	0.09358	-0.12863	-0.04036	0.08864	-0.17540	-0.02696	-0.22258	-0.35461	-0.04998	0.05353	-0.14933	0.05202
6	0.15828	0.03210	-0.19665	0.02464	-0.02974	0.05665	-0.18433	0.15117	-0.40052	0.08463	-0.06675	0.00702	-0.37699	-0.51840	-0.06951	0.19742	-0.23009	-0.07134	-0.00739	-0.34350	-0.06173	-0.17446	-0.33484	-0.07537	0.16059	-0.17105	-0.05975	0.15619	-0.19566	-0.04102	-0.17848	-0.40535	-0.06038	0.11891	-0.18982	0.05314
