	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.05085	0.02390	-0.00464	0.00641	-0.01637	0.00449	-0.12912	0.02588	0.05912	0.01425	-0.01614	0.00685	-0.11029	0.07933	-0.02317	-0.05400	-0.01161	-0.01339	-0.10347	0.04586	-0.01671	-0.14955	0.05502	-0.00677	-0.02361	-0.00833	-0.01171	-0.08121	0.00210	-0.02077	-0.15319	0.05626	-0.01790	-0.04458	-0.00071	-0.01962
2	-0.03862	0.02092	-0.00513	0.00689	-0.02477	0.00516	-0.11502	0.02613	0.06283	0.01795	-0.02490	0.00782	-0.11248	0.08741	-0.03345	-0.04129	-0.01088	-0.02227	-0.07900	0.04455	-0.02562	-0.13496	0.06174	-0.01448	-0.01316	-0.00982	-0.01871	-0.06412	0.00413	-0.02894	-0.13362	0.05760	-0.02606	-0.03592	-0.00395	-0.02917
3	-0.01851	0.01817	-0.00598	0.00739	-0.03736	0.00565	-0.09544	0.02932	0.06447	0.02204	-0.03608	0.00917	-0.11041	0.09327	-0.04639	-0.01926	-0.00973	-0.03595	-0.05157	0.04083	-0.03705	-0.10731	0.06717	-0.02405	0.00482	-0.01076	-0.03003	-0.03956	0.00502	-0.04083	-0.11248	0.05660	-0.03684	-0.02005	-0.00846	-0.04264
4	0.00825	0.01534	-0.00858	0.00799	-0.05417	0.00615	-0.07287	0.03415	0.06168	0.02609	-0.04905	0.01051	-0.10241	0.09407	-0.06097	0.01060	-0.01029	-0.05464	-0.02436	0.03286	-0.04995	-0.07549	0.06872	-0.03535	0.02811	-0.01252	-0.04567	-0.00831	0.00311	-0.05610	-0.08921	0.05108	-0.04994	0.00258	-0.01460	-0.06027
5	0.03673	0.01111	-0.01442	0.00854	-0.07482	0.00665	-0.05328	0.03823	0.05402	0.02962	-0.06333	0.01164	-0.09204	0.08927	-0.07673	0.04217	-0.01502	-0.07790	-0.00309	0.02090	-0.06333	-0.04682	0.06501	-0.04836	0.04963	-0.01703	-0.06580	0.02578	-0.00266	-0.07431	-0.07117	0.04091	-0.06489	0.02934	-0.02297	-0.08125
6	0.06766	0.00731	-0.02391	0.00898	-0.09659	0.00741	-0.03901	0.04189	0.04289	0.03246	-0.07707	0.01217	-0.08329	0.08072	-0.09160	0.07518	-0.02433	-0.10260	0.01213	0.00664	-0.07506	-0.02421	0.05651	-0.06214	0.07153	-0.02540	-0.08805	0.06546	-0.01205	-0.09271	-0.06066	0.02770	-0.07947	0.05849	-0.03386	-0.10298
