	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_1.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0004_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_2.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_3.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d	2014_06_24_PC020_BAREFOOT_GAIT0005_4.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	9.02209	2.37452	-16.10178	1.12921	11.63757	0.85703	-14.60701	0.76535	-7.04844	2.77142	-5.06059	2.11330	-2.49023	2.37978	2.77639	2.78356	-0.96780	1.29808	0.44019	2.21786	8.94483	-14.45499	10.62507	-15.61308	-5.02630	-1.92399	-8.04742	2.59659	-0.12488	-4.34961	3.70152	0.71603	-3.54106	3.33244	5.39321	9.06393	-16.00223	-15.83779	12.27643	11.42090	-15.12301	-14.39491	-11.45480	-7.37545	-3.40374	-2.10529	3.50008	-2.14416	2.45691	-0.98511	-8.03032	-3.18230	-3.02257	-4.25507	3.56607	2.90452	-0.78324	-0.83294	7.74986	-17.99302	12.48574	-14.20565	-8.45137	-4.72479	-4.52613	-3.15287	-3.10045	2.97021	2.88013	-1.07044	-1.31122	0.96338	10.71195	12.26878	-16.15209	-16.17055	12.35707	10.66022	-14.87090	-13.43454	-6.46795	-3.51480	-5.52084	-6.18577	-4.19106	-5.05650	4.73897	5.07560	0.29450	-0.03770	-0.60684	-2.51965
2	9.54026	2.34931	-16.10322	1.05712	11.09245	1.21786	-14.91436	0.84490	-7.19313	2.68521	-4.73770	2.07065	-2.02679	1.85602	1.92231	2.48748	-1.24942	1.31022	0.63124	2.13675	9.71785	-14.32366	9.50644	-15.70788	-5.22685	-1.70095	-7.57949	1.26816	0.62289	-3.82957	2.62000	1.03371	-3.92733	3.32022	5.82029	9.57778	-16.22357	-16.15318	12.20138	11.14616	-15.67288	-14.65241	-11.56568	-7.54546	-2.85848	-2.13265	2.45332	-2.13322	2.59147	-0.84745	-7.57089	-2.86243	-2.92852	-3.57587	2.69662	1.71269	-0.82754	-1.14693	8.33553	-17.63969	12.28556	-14.92839	-8.25286	-4.60935	-4.24060	-1.96087	-2.29045	1.57179	0.95159	-1.33355	-1.13770	1.16628	11.12569	12.66439	-16.28148	-15.99773	11.69454	9.72064	-15.11234	-13.41228	-6.78881	-3.77910	-5.33696	-5.88016	-2.81733	-4.42644	4.58590	4.53844	-1.10566	-0.66657	-0.12217	-2.32088
3	10.08743	2.31799	-16.36540	1.02988	10.23428	1.49757	-14.97946	0.95976	-7.57841	2.63220	-4.34373	2.00001	-1.77026	1.49698	0.32194	2.04030	-0.96960	1.36802	0.93013	2.06276	10.49725	-14.53127	8.26321	-15.54898	-5.63274	-1.44991	-7.02219	-0.34275	1.03981	-2.79854	0.84098	1.11720	-3.75049	3.42504	6.28539	10.16037	-16.66088	-16.73348	11.80378	10.66355	-16.03132	-14.80654	-11.92438	-7.92772	-2.35882	-2.29284	0.91228	-1.77995	2.83290	-0.58297	-7.00789	-2.49928	-3.08851	-2.97526	1.15004	-0.71690	-0.31138	-0.50290	8.97615	-17.59530	11.44727	-15.19806	-8.42397	-4.35781	-3.87673	-1.03206	-1.77978	-0.86536	-1.78800	-0.77269	-0.15926	1.44276	11.53245	13.07299	-16.65357	-16.01792	10.71846	8.50943	-15.06997	-13.22190	-7.30883	-4.25282	-5.02272	-5.49825	-1.69572	-3.76521	3.29457	2.86837	-1.86806	-0.69884	0.47790	-2.01486
4	10.64145	2.28442	-16.93961	1.02826	9.18462	1.64392	-14.69284	1.05272	-8.08350	2.60822	-3.91376	1.90885	-1.84877	1.39245	-1.74938	1.97350	-0.08990	1.48541	1.31642	1.99084	11.25815	-15.14331	7.10519	-15.11060	-6.09263	-1.16228	-6.41956	-2.03768	0.90898	-1.51427	-1.24807	1.02858	-2.99985	3.63166	6.77270	10.78695	-17.32048	-17.54293	11.09044	9.97412	-16.03623	-14.71786	-12.43137	-8.42452	-1.93471	-2.60468	-0.90460	-1.09889	3.14881	-0.21234	-6.39716	-2.12885	-3.53721	-2.62271	-0.80939	-3.91676	0.72162	1.03532	9.63172	-17.95389	10.12506	-14.84779	-8.81063	-4.00768	-3.48462	-0.66344	-1.75868	-3.84089	-4.71826	0.62311	1.40853	1.77380	11.91449	13.48468	-17.33934	-16.33769	9.59752	7.21537	-14.63150	-12.81308	-7.89339	-4.84847	-4.61587	-5.07312	-1.10340	-3.22008	0.98571	0.22211	-1.57865	0.05112	1.16056	-1.60397
5	11.16609	2.25258	-17.84884	1.01590	8.18315	1.65092	-14.06091	1.12489	-8.55969	2.60380	-3.49990	1.81143	-2.38384	1.37555	-3.73884	2.45310	1.14873	1.66578	1.76462	1.91351	11.96126	-16.17113	6.27887	-14.47249	-6.47017	-0.84305	-5.83401	-3.63162	0.07523	-0.27867	-3.08949	0.90199	-1.87170	3.91642	7.25336	11.41713	-18.20345	-18.54690	10.20885	9.20246	-15.62075	-14.32060	-12.94287	-8.89817	-1.61730	-3.11400	-2.58266	-0.26309	3.49855	0.23372	-5.81387	-1.80154	-4.29755	-2.71824	-2.65194	-7.00249	1.96747	2.96913	10.24424	-18.76316	8.69881	-13.95266	-9.22975	-3.61990	-3.12772	-1.10960	-2.36559	-6.48827	-6.95677	2.44558	2.98188	2.14061	12.24168	13.87884	-18.35792	-17.05047	8.62403	6.08587	-13.83373	-12.16523	-8.37569	-5.44148	-4.18510	-4.65659	-1.28368	-3.00954	-1.78941	-2.80987	-0.23322	1.44053	1.89204	-1.09363
6	11.61360	2.22577	-19.04352	0.96185	7.55613	1.54862	-13.27943	1.18741	-8.88155	2.60914	-3.16487	1.72649	-3.41989	1.24599	-4.96647	2.93619	2.26077	1.82853	2.24614	1.82268	12.55733	-17.54772	6.03039	-13.83916	-6.68138	-0.51308	-5.33702	-4.98690	-1.45431	0.69242	-4.10624	0.83882	-0.77063	4.25051	7.68556	11.99639	-19.27936	-19.68760	9.44703	8.61114	-14.89997	-13.72957	-13.32056	-9.22299	-1.43986	-3.85846	-3.59438	0.39312	3.83917	0.72067	-5.34298	-1.57459	-5.35769	-3.40176	-3.72879	-8.95775	2.94014	4.53602	10.74621	-19.96960	7.68973	-12.87907	-9.53481	-3.27065	-2.87153	-2.44381	-3.58332	-7.86599	-7.72792	3.97947	3.87292	2.52174	12.47209	14.22401	-19.59979	-18.17703	8.14848	5.40999	-12.95837	-11.37045	-8.62883	-5.90074	-3.82016	-4.31392	-2.33847	-3.35431	-4.11660	-5.29300	1.62402	2.93300	2.63717	-0.49239
