	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	LVFT_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	15.97692	0.29019	37.20515	1.83218	18.41298	2.48649	6.81190	0.84105	15.59739	0.33797	39.86231	2.48460	23.81010	2.28371	6.06755	1.53356	16.39783	38.02721	19.83095	6.76288	15.42294	36.30869	21.37582	3.97486	16.03180	39.21711	21.29434	7.47403	15.68660	41.81972	24.61195	7.50447	15.98715	37.83628	18.63839	7.47429	15.88519	42.04792	25.90884	7.48040	15.59525	36.54536	17.58766	6.92795	15.89306	40.84876	25.78818	6.27229	15.87260	34.39977	14.71358	5.42034	15.09915	38.28648	21.36570	5.10575
2	16.00610	0.30235	36.42130	1.71996	17.50624	2.18362	6.12420	0.90955	15.60186	0.34583	39.44991	2.69967	23.67886	2.17515	5.69227	1.45934	16.27438	37.13992	18.51640	6.07075	15.48469	35.69609	21.47619	3.85535	16.07883	38.36204	20.12873	6.86115	15.59251	41.46211	24.12756	7.12011	15.96438	37.00116	17.89732	6.81408	15.85414	41.89919	25.62461	7.04909	15.50869	35.79361	16.70404	6.25729	15.98229	40.63937	25.82659	5.85702	16.20422	33.80979	14.28469	4.61771	15.09569	37.55278	21.33934	4.57980
3	16.08595	0.38095	35.68292	1.53282	16.87038	1.80383	5.38307	0.91046	15.61893	0.38707	38.98867	2.82328	23.67842	2.03250	5.36795	1.26494	16.19242	36.21145	17.40169	5.28087	15.51579	35.15781	21.73657	3.95385	16.19729	37.50893	19.14172	6.16211	15.54290	40.97708	23.72233	6.67816	16.01622	36.19654	17.40085	6.06534	15.86342	41.63963	25.46811	6.53684	15.49185	35.08772	16.13593	5.51261	16.09663	40.30196	25.91689	5.44807	16.53199	33.40995	14.27171	3.89441	15.07589	36.86685	21.54821	4.22283
4	16.20760	0.46363	35.04055	1.30623	16.56563	1.41383	4.66051	0.85449	15.64414	0.45642	38.48760	2.86784	23.78343	1.90366	5.12903	0.98795	16.15774	35.30893	16.58466	4.45914	15.51803	34.67138	22.06932	4.24932	16.37968	36.72549	18.43719	5.44617	15.54224	40.39787	23.43694	6.23000	16.13823	35.48946	17.21255	5.30858	15.91016	41.27451	25.44199	5.99184	15.54027	34.48251	15.95055	4.78037	16.23156	39.85413	26.05879	5.12834	16.82205	33.19638	14.64319	3.30831	15.01870	36.24011	21.91010	4.04563
5	16.35641	0.52291	34.52888	1.09439	16.61854	1.10729	4.04372	0.77388	15.67552	0.55055	37.96043	2.86451	23.97694	1.82867	5.02233	0.69507	16.16959	34.49731	16.14104	3.70995	15.50504	34.20491	22.40355	4.72421	16.60908	36.07008	18.09568	4.80791	15.59021	39.77162	23.31512	5.84708	16.31503	34.93654	17.37281	4.64536	15.98919	40.83059	25.56294	5.49798	15.63955	34.02317	16.18168	4.16235	16.38007	39.33746	26.26833	4.98749	17.04879	33.11731	15.30147	2.89301	14.91308	35.65752	22.33478	4.05488
6	16.51426	0.55797	34.15429	0.95002	17.00000	0.96300	3.60594	0.69157	15.71345	0.66362	37.42284	2.84706	24.24102	1.81170	5.08399	0.49102	16.21849	33.82175	16.08908	3.13640	15.49827	33.73028	22.69038	5.34802	16.86044	35.57439	18.13878	4.32597	15.68033	39.14366	23.36549	5.58239	16.52147	34.56040	17.86592	4.15743	16.09187	40.34392	25.82786	5.13861	15.76563	33.72551	16.79581	3.72861	16.53226	38.79795	26.54322	5.06883	17.20528	33.08936	16.11042	2.68130	14.76451	35.09837	22.77818	4.28207
