	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_02.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	1.21291	0.66249	4.81904	1.32118	-2.10201	0.41183	2.20569	1.35405	0.24980	1.08266	2.00804	0.76227	1.12772	6.14419	-2.05034	3.21281	-0.23354	1.78751	1.99347	5.11997	-1.56948	1.72494	0.13942	3.07145	0.45184	2.73130	-2.18117	1.49025	0.54563	2.44370	1.77379	4.47101	-1.99514	0.63309	-1.06939	1.63109	0.71772	5.62875	-2.71394	3.96736	1.86689	1.10645
2	1.51768	0.62297	4.84257	1.36604	-2.25623	0.32774	2.40976	1.40301	0.20228	1.13892	2.02351	0.73848	1.48201	6.15896	-2.35032	3.43802	0.12793	1.82718	2.19406	5.23508	-1.85877	1.93541	-0.03602	3.06259	0.83018	2.68423	-2.21033	1.62886	0.13039	2.44065	2.09776	4.42779	-2.11484	0.79759	-1.19402	1.61210	0.98437	5.70676	-2.74688	4.24892	1.98313	1.17504
3	1.85681	0.58701	4.92689	1.37910	-2.37192	0.25297	2.63590	1.46840	0.24146	1.23389	2.06969	0.64131	1.88832	6.18335	-2.57824	3.70491	0.54689	2.00133	2.42252	5.39709	-2.14177	2.16264	-0.09437	2.98349	1.24204	2.75962	-2.23246	1.75974	-0.22687	2.40066	2.44834	4.43523	-2.20090	0.98014	-1.17353	1.52541	1.28282	5.85915	-2.70621	4.57209	2.15519	1.43756
4	2.23503	0.55586	5.07870	1.35942	-2.42556	0.20353	2.89163	1.55309	0.38237	1.34791	2.14437	0.56243	2.34881	6.23258	-2.70463	4.02385	1.01043	2.29689	2.68370	5.60529	-2.39062	2.41171	-0.02138	2.87374	1.68675	2.96591	-2.23234	1.88987	-0.48000	2.33992	2.82834	4.51191	-2.24523	1.18601	-0.99606	1.39193	1.62753	6.07780	-2.55499	4.94672	2.39885	1.81935
5	2.65583	0.53157	5.29812	1.31184	-2.39212	0.23275	3.18259	1.65530	0.62900	1.46637	2.25002	0.59343	2.86237	6.32365	-2.71027	4.39698	1.51118	2.66581	2.98331	5.85561	-2.56432	2.68848	0.18005	2.78953	2.16511	3.29444	-2.17879	2.02861	-0.59632	2.29774	3.24188	4.66645	-2.22244	1.42263	-0.67879	1.27980	2.02647	6.35046	-2.28478	5.37624	2.72887	2.21721
6	3.11969	0.51868	5.57911	1.24367	-2.25156	0.32073	3.51140	1.76621	0.97158	1.57693	2.39701	0.67662	3.42399	6.46918	-2.57894	4.81549	2.04260	3.03754	3.32731	6.13960	-2.61504	2.99953	0.49405	2.78748	2.67828	3.72480	-2.03843	2.18811	-0.56005	2.32468	3.69399	4.89767	-2.09217	1.70048	-0.26017	1.28374	2.47490	6.66429	-1.93322	5.85338	3.14150	2.55160
7	3.62143	0.52378	5.91166	1.16025	-2.00129	0.38875	3.87738	1.87052	1.39220	1.66628	2.59313	0.69761	4.02389	6.67496	-2.30226	5.25944	2.59645	3.33599	3.71934	6.44780	-2.50870	3.35137	0.90130	2.90346	3.22356	4.23371	-1.79978	2.38305	-0.36804	2.45634	4.18756	5.19881	-1.82375	2.03181	0.21735	1.47924	2.95283	7.00300	-1.57196	6.36122	3.61392	2.79063
8	4.14824	0.55203	6.28292	1.06440	-1.66771	0.39940	4.27639	1.95008	1.87159	1.72284	2.82960	0.60830	4.64653	6.94008	-1.90010	5.70102	3.16139	3.50261	4.15669	6.77284	-2.24914	3.74832	1.38467	3.13628	3.79026	4.79753	-1.48871	2.62825	-0.02651	2.69017	4.71860	5.55870	-1.42935	2.42685	0.72072	1.88001	3.42913	7.34547	-1.27127	6.87749	4.11765	2.93892
9	4.67985	0.60451	6.67580	0.95954	-1.30393	0.36763	4.69991	1.98812	2.38986	1.74107	3.08193	0.43666	5.26999	7.25508	-1.43409	6.10944	3.72299	3.51632	4.62711	7.10709	-1.88473	4.18971	1.92576	3.45107	4.35861	5.38811	-1.16000	2.93437	0.44466	2.98956	5.27322	5.95858	-0.97108	2.88900	1.22944	2.42943	3.87030	7.67013	-1.06977	7.37702	4.62644	3.02325
10	5.19104	0.67863	7.06870	0.85237	-0.97142	0.34340	5.13455	1.97268	2.92433	1.72234	3.32290	0.30780	5.86722	7.60176	-0.99313	6.45577	4.26471	3.39465	5.10867	7.43838	-1.48933	4.66811	2.50107	3.79970	4.90210	5.97149	-0.87364	3.30398	1.00772	3.31204	5.82862	6.37140	-0.53163	3.41161	1.73335	3.02411	4.24861	7.96045	-0.96935	7.83327	5.11481	3.08400
11	5.65600	0.76960	7.43955	0.75168	-0.71833	0.36265	5.56291	1.89946	3.45177	1.67140	3.52875	0.40052	6.40963	7.95741	-0.65927	6.71674	4.76999	3.17518	5.57322	7.75013	-1.13387	5.16915	3.08547	4.13703	5.39276	6.51384	-0.67311	3.72987	1.61512	3.62588	6.35827	6.76925	-0.17578	3.97692	2.23016	3.54691	4.54612	8.20713	-0.94964	8.22187	5.55813	3.15876
12	6.05230	0.87091	7.77134	0.66453	-0.56785	0.41118	5.96586	1.77377	3.95328	1.59321	3.67628	0.60062	6.87089	8.29951	-0.47960	6.87735	5.22250	2.89574	5.99161	8.02556	-0.86697	5.67282	3.65843	4.42243	5.80689	6.98878	-0.57520	4.19587	2.22372	3.90447	6.83736	7.13488	0.06812	4.55763	2.72169	3.90043	4.75476	8.40798	-0.98560	8.52561	5.94004	3.25830
13	6.36320	0.97557	8.05346	0.59370	-0.51840	0.46272	6.32443	1.61041	4.41620	1.49289	3.74419	0.78793	7.22985	8.60747	-0.45805	6.93163	5.60511	2.58658	6.33843	8.25107	-0.70952	6.15511	4.20582	4.61902	6.12805	7.37945	-0.57060	4.67866	2.80199	4.12251	7.24641	7.46390	0.20428	5.12031	3.20935	4.03574	4.87326	8.56540	-1.05810	8.73646	6.25874	3.35711
14	6.57819	1.07788	8.27811	0.53900	-0.55126	0.50842	6.62152	1.43191	4.83187	1.37572	3.72264	0.93595	7.47252	8.86223	-0.56406	6.88235	5.89921	2.27373	6.59566	8.41718	-0.65859	6.59051	4.71801	4.70095	6.34753	7.67556	-0.63230	5.15038	3.32895	4.26459	7.57215	7.75345	0.25484	5.63010	3.69087	3.96200	4.90307	8.68211	-1.15617	8.85429	6.52230	3.41193
15	6.69348	1.17434	8.43814	0.49931	-0.64041	0.54848	6.84390	1.26527	5.19336	1.24627	3.61819	1.03994	7.59440	9.04798	-0.74981	6.74021	6.08700	1.98253	6.75474	8.51807	-0.69468	6.95588	5.18882	4.66094	6.46352	7.87129	-0.72683	5.58212	3.79345	4.32513	7.80722	7.99584	0.24281	6.05598	4.15960	3.72990	4.84752	8.75751	-1.27353	8.88532	6.73793	3.39246
16	6.71202	1.26286	8.52841	0.47136	-0.76058	0.57905	6.98408	1.13651	5.49590	1.10993	3.44855	1.09594	7.60095	9.15306	-0.96469	6.52251	6.15687	1.73476	6.81602	8.55000	-0.78838	7.23446	5.61645	4.50666	6.48007	7.96644	-0.82554	5.94779	4.19639	4.29871	7.94940	8.18736	0.17857	6.37518	4.60305	3.40614	4.71369	8.78516	-1.40287	8.84047	6.90673	3.29650
17	6.64200	1.34145	8.54604	0.44994	-0.89086	0.58943	7.04132	1.06163	5.73867	0.97794	3.23326	1.09861	7.50424	9.16698	-1.16308	6.25137	6.11100	1.54225	6.78581	8.50958	-0.90683	7.41791	6.00314	4.25250	6.40569	7.96711	-0.91195	6.22793	4.54935	4.17611	8.00094	8.33384	0.05975	6.57574	5.00256	3.05458	4.51333	8.75271	-1.53216	8.73365	7.02731	3.14086
18	6.49471	1.40774	8.48799	0.43305	-1.01385	0.56900	7.02136	1.03855	5.92478	0.87001	2.98961	1.04528	7.31822	9.07713	-1.30901	5.95062	5.96744	1.40599	6.67284	8.39228	-1.01998	7.50609	6.35101	3.91821	6.25244	7.88251	-0.98098	6.41271	4.86731	3.95277	7.96841	8.44155	-0.11453	6.65723	5.33797	2.72345	4.26165	8.64649	-1.64474	8.58016	7.10019	2.94760
19	6.28330	1.45967	8.34985	0.42655	-1.11379	0.51518	6.93456	1.04992	6.05779	0.80991	2.73512	0.94058	7.05663	8.87048	-1.37909	5.64166	5.75276	1.32308	6.48712	8.19335	-1.10508	7.50495	6.65662	3.53291	6.03526	7.72065	-1.03104	6.50226	5.15894	3.64151	7.86240	8.50706	-0.33073	6.62914	5.59179	2.44029	3.97509	8.45771	-1.72300	8.39477	7.12882	2.73779
20	6.02192	1.49625	8.12850	0.44264	-1.17678	0.43588	6.79283	1.07499	6.13764	0.81148	2.49002	0.79558	6.73380	8.54036	-1.36318	5.33990	5.49035	1.29567	6.24056	7.91101	-1.14876	7.42357	6.90808	3.13524	5.77059	7.48710	-1.05785	6.50405	5.42245	3.27224	7.69561	8.51858	-0.56144	6.50773	5.75002	2.21537	3.66902	8.18544	-1.75268	8.18886	7.11729	2.53156
21	5.72438	1.51775	7.82595	0.49086	-1.19337	0.34817	6.60688	1.09875	6.16011	0.86663	2.27491	0.62465	6.36500	8.09334	-1.26545	5.05302	5.19517	1.33012	5.94684	7.54948	-1.14657	7.27225	7.08729	2.76561	5.47415	7.18621	-1.05428	6.42909	5.64667	2.88298	7.47999	8.46349	-0.77507	6.31188	5.80408	2.04671	3.35592	7.83724	-1.72551	7.96818	7.06733	2.34914
22	5.40290	1.52550	7.45151	0.56851	-1.16099	0.27607	6.38528	1.11364	6.11996	0.95207	2.10643	0.44486	5.96583	7.55131	-1.10429	4.78117	4.87674	1.42741	5.61994	7.11943	-1.10083	7.06257	7.17772	2.45549	5.15916	6.82459	-1.01435	6.28988	5.81423	2.51210	7.22539	8.33412	-0.94504	6.06055	5.75432	1.92494	3.04415	7.42810	-1.64044	7.73224	6.97680	2.21221
23	5.06727	1.52179	7.02172	0.66246	-1.08465	0.24195	6.13498	1.11734	6.01512	1.04493	1.99415	0.27855	5.55026	6.94771	-0.90866	4.51874	4.54248	1.57657	5.27275	6.63667	-1.01732	6.80780	7.17256	2.22112	4.83574	6.41435	-0.93733	6.10013	5.90690	2.19330	6.93998	8.13119	-1.05565	5.77289	5.61129	1.84025	2.73761	6.97870	-1.50430	7.47533	6.84238	2.13950
24	4.72473	1.50933	6.55815	0.75760	-0.97495	0.24605	5.86211	1.11008	5.84868	1.13008	1.94133	0.16704	5.12872	6.31974	-0.70895	4.25746	4.19834	1.75952	4.91635	6.12065	-0.90265	6.52190	7.07617	2.06492	4.51100	5.97277	-0.82729	5.87434	5.91248	1.95195	6.63065	7.86314	-1.10324	5.46709	5.39203	1.78904	2.43691	6.51445	-1.33262	7.18978	6.66438	2.14125
