	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.03642	0.03791	-0.00547	0.01645	-0.01324	0.01094	-0.11748	0.04763	-0.02485	0.00510	0.02408	0.00281	0.06323	0.00616	-0.00551	0.00962	-0.01711	-0.02097	-0.08380	-0.02846	0.02606	-0.15116	-0.02125	0.02209
2	0.05113	0.04610	-0.00199	0.02186	-0.01951	0.01696	-0.12164	0.03288	-0.02373	0.01759	0.01869	0.01018	0.08373	0.01346	-0.00752	0.01854	-0.01745	-0.03150	-0.09839	-0.03617	0.01149	-0.14490	-0.01130	0.02589
3	0.07485	0.05221	0.00263	0.02685	-0.02547	0.02415	-0.11576	0.01123	-0.02033	0.03239	0.01082	0.02745	0.11177	0.02162	-0.00839	0.03794	-0.01635	-0.04254	-0.10782	-0.04323	-0.00860	-0.12370	0.00257	0.03023
4	0.11199	0.05507	0.00919	0.03090	-0.03056	0.03278	-0.09555	0.01619	-0.01430	0.04769	0.00055	0.04804	0.15093	0.03104	-0.00738	0.07305	-0.01266	-0.05374	-0.10700	-0.04802	-0.03342	-0.08411	0.01941	0.03452
5	0.16297	0.05689	0.01804	0.03391	-0.03412	0.04178	-0.06079	0.04825	-0.00624	0.06207	-0.01116	0.06958	0.20320	0.04202	-0.00458	0.12274	-0.00594	-0.06366	-0.09491	-0.05013	-0.06036	-0.02668	0.03764	0.03804
6	0.22567	0.05983	0.02985	0.03633	-0.03618	0.05040	-0.01320	0.08136	0.00405	0.07468	-0.02334	0.08992	0.26797	0.05554	-0.00055	0.18336	0.00416	-0.07182	-0.07073	-0.04876	-0.08692	0.04433	0.05686	0.04024
7	0.29203	0.06304	0.04448	0.03807	-0.03669	0.05791	0.04236	0.11050	0.01661	0.08616	-0.03563	0.10847	0.33660	0.07140	0.00426	0.24745	0.01756	-0.07764	-0.03577	-0.04431	-0.11233	0.12050	0.07753	0.04107
8	0.35438	0.06302	0.06266	0.03920	-0.03566	0.06421	0.09957	0.13252	0.03138	0.09857	-0.04754	0.12492	0.39895	0.09038	0.00974	0.30982	0.03495	-0.08107	0.00586	-0.03832	-0.13588	0.19327	0.10108	0.04079
9	0.41166	0.05984	0.08576	0.04130	-0.03354	0.06971	0.15638	0.14636	0.04920	0.11386	-0.05881	0.13937	0.45397	0.11497	0.01575	0.36934	0.05656	-0.08284	0.05289	-0.03131	-0.15736	0.25988	0.12972	0.03975
10	0.46666	0.05734	0.11316	0.04604	-0.03136	0.07485	0.21563	0.15346	0.07103	0.13305	-0.06961	0.15245	0.50720	0.14571	0.02156	0.42612	0.08061	-0.08429	0.10711	-0.02306	-0.17740	0.32414	0.16511	0.03819
11	0.51991	0.05906	0.14211	0.05365	-0.03012	0.07979	0.27990	0.15776	0.09680	0.15576	-0.08021	0.16506	0.56167	0.18004	0.02630	0.47814	0.10417	-0.08654	0.16835	-0.01334	-0.19693	0.39146	0.20694	0.03650
12	0.56725	0.06528	0.16922	0.06288	-0.03006	0.08433	0.34821	0.16275	0.12507	0.17980	-0.09049	0.17783	0.61342	0.21368	0.02957	0.52109	0.12476	-0.08969	0.23313	-0.00206	-0.21623	0.46328	0.25221	0.03525
13	0.60436	0.07416	0.19227	0.07204	-0.03069	0.08800	0.41683	0.17044	0.15370	0.20281	-0.09980	0.19054	0.65680	0.24321	0.03153	0.55191	0.14134	-0.09291	0.29630	0.01029	-0.23453	0.53735	0.29711	0.03493
14	0.62936	0.08312	0.21021	0.07952	-0.03128	0.09035	0.48217	0.18071	0.18108	0.22317	-0.10739	0.20242	0.68814	0.26644	0.03261	0.57059	0.15398	-0.09516	0.35439	0.02327	-0.25052	0.60995	0.33889	0.03574
15	0.64110	0.08962	0.22205	0.08398	-0.03126	0.09107	0.54135	0.19149	0.20620	0.23957	-0.11286	0.21268	0.70447	0.28143	0.03313	0.57773	0.16266	-0.09566	0.40595	0.03680	-0.26325	0.67676	0.37561	0.03753
16	0.63834	0.09208	0.22687	0.08481	-0.03043	0.09006	0.59153	0.20010	0.22780	0.25110	-0.11610	0.22057	0.70345	0.28684	0.03325	0.57322	0.16690	-0.09411	0.45004	0.05025	-0.27206	0.73301	0.40535	0.03987
17	0.62110	0.09035	0.22467	0.08239	-0.02884	0.08746	0.62990	0.20503	0.24395	0.25785	-0.11728	0.22552	0.68499	0.28293	0.03300	0.55721	0.16641	-0.09069	0.48493	0.06163	-0.27675	0.77488	0.42628	0.04218
18	0.59158	0.08543	0.21651	0.07778	-0.02677	0.08361	0.65513	0.20645	0.25301	0.26061	-0.11686	0.22741	0.65200	0.27151	0.03235	0.53117	0.16151	-0.08589	0.50915	0.06873	-0.27766	0.80111	0.43728	0.04394
19	0.55379	0.07860	0.20416	0.07209	-0.02452	0.07882	0.66790	0.20520	0.25452	0.26010	-0.11535	0.22653	0.60938	0.25513	0.03121	0.49821	0.15318	-0.08026	0.52280	0.07060	-0.27554	0.81300	0.43843	0.04483
20	0.51227	0.07116	0.18965	0.06638	-0.02227	0.07344	0.67049	0.20121	0.24923	0.25673	-0.11325	0.22355	0.56259	0.23659	0.02966	0.46195	0.14271	-0.07420	0.52822	0.06770	-0.27132	0.81277	0.43076	0.04483
21	0.47054	0.06391	0.17479	0.06145	-0.02007	0.06783	0.66535	0.19446	0.23851	0.25105	-0.11080	0.21916	0.51573	0.21824	0.02789	0.42534	0.13133	-0.06803	0.52785	0.06099	-0.26577	0.80286	0.41602	0.04417
22	0.43084	0.05707	0.16088	0.05762	-0.01790	0.06231	0.65458	0.18610	0.22391	0.24398	-0.10800	0.21386	0.47120	0.20162	0.02616	0.39049	0.12013	-0.06196	0.52299	0.05140	-0.25922	0.78617	0.39643	0.04322
