	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.04901	0.00597	0.00740	0.01508	-0.00232	0.00823	-0.02153	0.00880	0.06136	0.02769	0.05426	0.02413	-0.04479	-0.00327	-0.00815	-0.05323	0.01806	0.00350	-0.02775	0.04178	0.03719	-0.01531	0.08094	0.07132
2	-0.04191	0.00486	0.00803	0.01842	-0.00153	0.01094	-0.02325	0.01738	0.05984	0.02648	0.05192	0.02852	-0.03848	-0.00500	-0.00927	-0.04535	0.02105	0.00620	-0.03553	0.04112	0.03175	-0.01096	0.07857	0.07208
3	-0.03002	0.00315	0.00625	0.02218	-0.00170	0.01452	-0.02097	0.03110	0.05695	0.02582	0.04863	0.03474	-0.02778	-0.00944	-0.01196	-0.03225	0.02193	0.00857	-0.04296	0.03869	0.02406	0.00102	0.07521	0.07319
4	-0.01265	0.00091	0.00096	0.02589	-0.00311	0.01865	-0.01346	0.04933	0.05193	0.02579	0.04420	0.04218	-0.01201	-0.01734	-0.01630	-0.01329	0.01927	0.01008	-0.04834	0.03369	0.01437	0.02142	0.07016	0.07402
5	0.00917	0.00077	-0.00867	0.02909	-0.00627	0.02278	-0.00011	0.07079	0.04474	0.02543	0.03880	0.04936	0.00863	-0.02924	-0.02238	0.00972	0.01190	0.00984	-0.05017	0.02676	0.00390	0.04994	0.06272	0.07370
6	0.03511	0.00191	-0.02324	0.03201	-0.01168	0.02673	0.02044	0.09235	0.03543	0.02381	0.03271	0.05485	0.03376	-0.04587	-0.03058	0.03646	-0.00061	0.00723	-0.04486	0.01860	-0.00607	0.08574	0.05227	0.07150
7	0.06266	0.00408	-0.04232	0.03522	-0.01978	0.03068	0.04738	0.11080	0.02399	0.02114	0.02556	0.05872	0.05977	-0.06723	-0.04147	0.06554	-0.01741	0.00191	-0.03096	0.00904	-0.01596	0.12573	0.03894	0.06708
8	0.08831	0.00931	-0.06449	0.03898	-0.03049	0.03469	0.07696	0.12413	0.01077	0.01800	0.01692	0.06196	0.08173	-0.09206	-0.05502	0.09490	-0.03693	-0.00595	-0.01081	-0.00196	-0.02689	0.16473	0.02349	0.06073
9	0.11017	0.01745	-0.08799	0.04330	-0.04295	0.03848	0.10582	0.13173	-0.00406	0.01523	0.00679	0.06617	0.09783	-0.11861	-0.07016	0.12251	-0.05737	-0.01574	0.01267	-0.01484	-0.04000	0.19897	0.00671	0.05358
10	0.12811	0.02653	-0.11100	0.04800	-0.05569	0.04144	0.13307	0.13473	-0.02055	0.01362	-0.00430	0.07310	0.10935	-0.14494	-0.08499	0.14687	-0.07706	-0.02639	0.03779	-0.03018	-0.05599	0.22834	-0.01091	0.04739
11	0.14219	0.03430	-0.13204	0.05262	-0.06709	0.04304	0.15860	0.13559	-0.03856	0.01363	-0.01544	0.08370	0.11794	-0.16924	-0.09753	0.16645	-0.09483	-0.03666	0.06272	-0.04820	-0.07463	0.25447	-0.02892	0.04374
12	0.15158	0.03948	-0.15001	0.05657	-0.07600	0.04315	0.18143	0.13662	-0.05748	0.01584	-0.02562	0.09775	0.12366	-0.19001	-0.10650	0.17950	-0.11001	-0.04549	0.08482	-0.06868	-0.09474	0.27803	-0.04628	0.04350
13	0.15577	0.04165	-0.16408	0.05914	-0.08184	0.04187	0.20017	0.13973	-0.07609	0.02070	-0.03376	0.11412	0.12632	-0.20590	-0.11145	0.18522	-0.12226	-0.05224	0.10136	-0.09073	-0.11445	0.29897	-0.06145	0.04694
14	0.15539	0.04107	-0.17349	0.05973	-0.08455	0.03950	0.21419	0.14569	-0.09309	0.02821	-0.03897	0.13131	0.12635	-0.21572	-0.11248	0.18443	-0.13126	-0.05662	0.11117	-0.11303	-0.13182	0.31721	-0.07314	0.05387
15	0.15107	0.03869	-0.17760	0.05813	-0.08446	0.03649	0.22369	0.15372	-0.10734	0.03782	-0.04091	0.14774	0.12371	-0.21870	-0.11027	0.17842	-0.13649	-0.05866	0.11499	-0.13409	-0.14538	0.33239	-0.08060	0.06356
16	0.14281	0.03581	-0.17625	0.05474	-0.08226	0.03326	0.22916	0.16248	-0.11787	0.04880	-0.03976	0.16214	0.11749	-0.21496	-0.10578	0.16814	-0.13754	-0.05874	0.11427	-0.15238	-0.15441	0.34406	-0.08336	0.07489
17	0.13100	0.03321	-0.16991	0.05023	-0.07868	0.03010	0.23120	0.17151	-0.12379	0.06032	-0.03615	0.17369	0.10752	-0.20543	-0.09996	0.15449	-0.13440	-0.05739	0.10993	-0.16645	-0.15896	0.35247	-0.08114	0.08667
18	0.11691	0.03075	-0.15957	0.04527	-0.07438	0.02711	0.23059	0.18093	-0.12468	0.07152	-0.03089	0.18202	0.09517	-0.19158	-0.09354	0.13866	-0.12756	-0.05521	0.10265	-0.17526	-0.15960	0.35853	-0.07411	0.09781
19	0.10212	0.02806	-0.14655	0.04038	-0.06988	0.02434	0.22839	0.19025	-0.12082	0.08168	-0.02480	0.18716	0.08228	-0.17510	-0.08710	0.12196	-0.11800	-0.05267	0.09386	-0.17858	-0.15714	0.36292	-0.06306	0.10754
20	0.08788	0.02502	-0.13232	0.03589	-0.06550	0.02182	0.22566	0.19798	-0.11308	0.09039	-0.01851	0.18946	0.07019	-0.15770	-0.08093	0.10557	-0.10694	-0.05007	0.08567	-0.17700	-0.15247	0.36566	-0.04917	0.11546
21	0.07493	0.02170	-0.11821	0.03201	-0.06134	0.01951	0.22288	0.20283	-0.10266	0.09741	-0.01248	0.18951	0.05958	-0.14084	-0.07514	0.09028	-0.09557	-0.04755	0.07946	-0.17155	-0.14649	0.36630	-0.03378	0.12152
22	0.06358	0.01824	-0.10519	0.02876	-0.05740	0.01740	0.21979	0.20456	-0.09079	0.10268	-0.00700	0.18802	0.05069	-0.12552	-0.06970	0.07648	-0.08485	-0.04509	0.07514	-0.16340	-0.13996	0.36443	-0.01818	0.12595
