	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0001_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_02.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_03.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0002_05.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d	2014_07_01_PC022_BAREFOOT_GAIT0003_01.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG	RHIP_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	1.95689	1.65838	6.70294	2.06297	-7.56179	0.69028	-0.64439	1.51154	-1.34682	2.24342	-6.34962	1.28644	2.10219	6.87196	-6.61801	1.15579	0.90431	0.58639	0.08892	-4.60530	-4.74390	2.24745	1.89358	-7.80942	-0.42774	-0.71903	-3.66796	-5.85822	-5.81890	-6.36440	0.85865	7.12228	-7.66130	-0.79811	-3.76465	1.38558	-3.74905	-6.79354	-6.18475	3.07293	7.55224	-7.27470	0.55490	-1.89502	0.53480	-4.25909	-6.69742	-4.03570	-1.07197	5.06826	5.71067	8.89120	-7.18107	-7.10109	0.77377	-0.23375	-7.00820	1.59258	8.58131	-8.19268	-0.52598	0.77049	-0.58987	-0.44813	-7.20041	-7.25614	2.34136	7.41964	-8.94965	-2.40128	-0.60226	-8.74178	1.40056	6.28354	-7.26822	-2.00445	-0.69599	-7.09465
2	2.18486	1.65590	6.64804	2.07596	-7.44553	0.53293	-0.49042	1.56816	-0.98359	2.21070	-6.38597	1.18686	2.41158	6.88879	-6.75444	1.53791	1.05363	0.88421	0.49251	-4.47192	-5.13941	2.28259	1.93341	-7.89434	-0.30794	-0.72912	-3.18944	-5.35361	-5.53985	-6.31319	1.18620	7.14886	-7.46721	-0.50802	-3.66097	1.60000	-3.38682	-6.69120	-6.18695	3.17378	7.59293	-7.47643	0.73116	-1.85372	0.95121	-4.01779	-7.18904	-4.58007	-0.93257	5.29189	5.31305	8.91945	-6.96635	-7.28083	0.91514	0.19602	-6.93613	1.84157	8.54890	-7.90614	-0.40927	1.02359	-0.31931	-0.13901	-7.07783	-7.22716	2.65674	7.23061	-8.35770	-2.37084	-0.25970	-8.62377	1.75197	6.25639	-6.90633	-1.79704	-0.24493	-7.04110
3	2.49116	1.66586	6.67236	2.10699	-7.47372	0.46555	-0.28198	1.62560	-0.54704	2.16717	-6.55011	1.09013	2.77138	6.94290	-7.02025	1.93892	1.29654	1.19577	1.02760	-4.61391	-5.79044	2.36568	1.99684	-7.90236	-0.18885	-0.73006	-2.67735	-4.76166	-5.23119	-6.36621	1.63982	7.32107	-7.42191	-0.12631	-3.49852	1.88727	-2.94005	-6.65244	-6.28435	3.37942	7.75751	-7.86735	0.97181	-1.78127	1.47235	-3.60107	-7.73909	-5.36875	-0.78383	5.54293	5.00485	8.93395	-6.97164	-7.67667	1.09447	0.65029	-7.04026	2.17228	8.60132	-7.78110	-0.22361	1.34211	-0.02916	0.21705	-7.08424	-7.24873	3.10832	7.16833	-7.92195	-2.22747	0.15197	-8.49616	2.22443	6.32444	-6.70027	-1.53351	0.29543	-7.23571
4	2.90429	1.69692	6.84728	2.15114	-7.64524	0.50643	0.00459	1.68338	0.01659	2.12184	-6.84204	1.04490	3.20484	7.07512	-7.35872	2.37327	1.66576	1.58419	1.74772	-5.01839	-6.59522	2.52256	2.14111	-7.87114	-0.05983	-0.70443	-2.09934	-4.06190	-5.00552	-6.57994	2.25275	7.72586	-7.54554	0.36961	-3.25106	2.31344	-2.34134	-6.71654	-6.50734	3.72298	8.10037	-8.34515	1.29359	-1.63963	2.11608	-2.96155	-8.22551	-6.26161	-0.59411	5.85791	4.88580	8.97268	-7.22896	-8.19621	1.33658	1.19239	-7.35027	2.61476	8.80194	-7.83592	0.06191	1.74809	0.35740	0.67126	-7.25511	-7.32643	3.71376	7.32581	-7.72829	-1.93681	0.71394	-8.44075	2.84320	6.59687	-6.69724	-1.19731	0.98342	-7.66393
5	3.45078	1.75820	7.22029	2.20348	-7.89878	0.56468	0.38956	1.74289	0.73668	2.07981	-7.21560	1.03368	3.73909	7.32082	-7.69424	2.85576	2.17824	2.09599	2.66240	-5.61060	-7.38601	2.77881	2.42417	-7.82716	0.09139	-0.63296	-1.42034	-3.24035	-4.97399	-6.97781	3.05201	8.40694	-7.77605	0.99542	-2.89441	2.92185	-1.54567	-6.86817	-6.84807	4.23444	8.64498	-8.75767	1.71271	-1.39564	2.86436	-2.09773	-8.51444	-7.08459	-0.32773	6.27712	5.03344	9.07777	-7.70351	-8.69166	1.66434	1.86457	-7.82479	3.19639	9.18845	-8.01256	0.47162	2.26093	0.89660	1.25658	-7.56499	-7.43827	4.48118	7.74827	-7.75211	-1.47220	1.47752	-8.48542	3.62573	7.13771	-6.87410	-0.77094	1.84102	-8.22573
6	4.14898	1.85494	7.80574	2.26062	-8.13272	0.57783	0.88561	1.80672	1.60511	2.03809	-7.57323	0.98970	4.40005	7.70693	-7.95711	3.39815	2.82757	2.74642	3.72427	-6.26256	-7.95943	3.15629	2.89286	-7.78176	0.27760	-0.49593	-0.61236	-2.29407	-5.21070	-7.53253	4.05005	9.35295	-7.99180	1.75574	-2.41256	3.71270	-0.55295	-7.02407	-7.23617	4.93346	9.37951	-8.94691	2.24221	-1.02485	3.67238	-1.05493	-8.47887	-7.65421	0.04779	6.83731	5.48250	9.29538	-8.30014	-9.00005	2.09269	2.66437	-8.33930	3.93508	9.76630	-8.19905	1.01863	2.89328	1.60635	1.97467	-7.91225	-7.53064	5.40526	8.42674	-7.87698	-0.82187	2.43548	-8.56858	4.57552	7.94845	-7.14065	-0.23776	2.84405	-8.74266
