	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.37786	0.10434	-0.13779	0.06379	-0.03266	0.02897	0.57482	0.12116	-0.30093	0.07728	0.07406	0.02825	0.30513	-0.12095	-0.03503	0.35327	-0.19750	0.06837	0.42025	-0.15325	-0.04195	0.64731	-0.32827	0.06866	0.56100	-0.26070	0.03103	0.63302	-0.33865	0.06177	0.42542	-0.14802	-0.03821	0.59668	-0.30740	0.06355	0.38128	-0.13618	-0.04206	0.73260	-0.43087	0.11029	0.24721	-0.06238	-0.05753	0.50767	-0.22709	0.03323	0.30471	-0.08306	-0.04484	0.55323	-0.27671	0.11259
2	0.39555	0.11667	-0.10831	0.06589	-0.05684	0.03612	0.61138	0.13431	-0.27586	0.08110	0.13067	0.03267	0.31865	-0.09523	-0.05943	0.37141	-0.17161	0.11890	0.45845	-0.12641	-0.06650	0.69215	-0.30969	0.12511	0.59462	-0.22956	0.02153	0.69135	-0.32178	0.11701	0.44700	-0.12184	-0.06890	0.64174	-0.28284	0.11677	0.39441	-0.11152	-0.06133	0.78238	-0.41040	0.16535	0.24763	-0.02216	-0.09143	0.54291	-0.20428	0.08783	0.30811	-0.05145	-0.07179	0.55772	-0.23042	0.18374
3	0.40791	0.12963	-0.06104	0.06749	-0.09276	0.04500	0.62398	0.14696	-0.23532	0.08333	0.20660	0.03818	0.32660	-0.05156	-0.09934	0.37511	-0.13173	0.18917	0.49174	-0.07821	-0.10530	0.71132	-0.27523	0.19968	0.62368	-0.18057	0.00528	0.72545	-0.28687	0.19100	0.46447	-0.07697	-0.11111	0.65659	-0.23763	0.18604	0.40053	-0.07069	-0.09423	0.81250	-0.37176	0.24038	0.24583	0.03321	-0.13356	0.55179	-0.16744	0.16418	0.30252	-0.00248	-0.11105	0.53509	-0.17659	0.27578
4	0.41840	0.14125	0.00283	0.06536	-0.13060	0.05324	0.61056	0.15143	-0.18534	0.07886	0.30030	0.04287	0.33319	0.00968	-0.14485	0.37265	-0.08940	0.27608	0.51957	-0.00607	-0.15034	0.69785	-0.22680	0.29301	0.65233	-0.11268	-0.01201	0.72682	-0.23601	0.28410	0.47263	-0.01190	-0.15376	0.63471	-0.17509	0.27169	0.40738	-0.01373	-0.13314	0.81037	-0.31554	0.33303	0.24466	0.09453	-0.16600	0.54183	-0.13044	0.26172	0.29907	0.05997	-0.15413	0.48967	-0.12413	0.38245
5	0.42307	0.15467	0.08431	0.06262	-0.15933	0.06194	0.57508	0.14847	-0.13252	0.06903	0.40778	0.04619	0.33639	0.08810	-0.18269	0.36112	-0.04825	0.37595	0.53898	0.08820	-0.18840	0.65393	-0.16965	0.40195	0.67786	-0.02730	-0.01991	0.69804	-0.17452	0.39352	0.47300	0.07450	-0.18487	0.58002	-0.10104	0.37120	0.41224	0.05971	-0.16730	0.78014	-0.25038	0.44207	0.22363	0.17311	-0.18122	0.51796	-0.10092	0.37337	0.29940	0.13386	-0.19088	0.43436	-0.08287	0.49640
6	0.40882	0.16511	0.18607	0.05965	-0.17091	0.07082	0.52260	0.14161	-0.08284	0.05884	0.51790	0.04737	0.32254	0.18564	-0.20193	0.33408	-0.01226	0.47656	0.53643	0.20553	-0.20828	0.58906	-0.11072	0.51728	0.67162	0.07939	-0.01266	0.64782	-0.10924	0.50954	0.46272	0.18632	-0.19687	0.50224	-0.02230	0.47620	0.40109	0.15384	-0.18693	0.72570	-0.18279	0.55733	0.17689	0.27225	-0.17728	0.48320	-0.08537	0.48500	0.29045	0.21953	-0.21237	0.37608	-0.05722	0.60339
