	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.24493	0.03932	-0.08894	0.03141	-0.01572	0.01378	-0.09211	0.02945	-0.05172	0.02448	0.02611	0.00936	-0.22365	-0.06027	0.00425	-0.12423	-0.09731	0.01677	-0.25387	-0.11046	-0.01471	-0.07153	-0.02602	0.01939	-0.27705	-0.08393	-0.02536	-0.09043	-0.03974	0.02377	-0.27065	-0.12077	-0.02536	-0.08110	-0.03154	0.01578	-0.25966	-0.08159	-0.01436	-0.13154	-0.06777	0.03552	-0.26492	-0.12441	-0.03379	-0.04713	-0.04528	0.03739	-0.16473	-0.04115	-0.00070	-0.09884	-0.05436	0.03416
2	-0.26144	0.03747	-0.10916	0.03559	-0.02232	0.01239	-0.07809	0.03812	-0.06401	0.02725	0.04005	0.01093	-0.23999	-0.07838	-0.00701	-0.11865	-0.11344	0.03025	-0.27197	-0.13019	-0.02182	-0.05330	-0.03697	0.03391	-0.29169	-0.10258	-0.02246	-0.06812	-0.04531	0.03970	-0.27290	-0.14161	-0.03622	-0.07297	-0.04689	0.02607	-0.28489	-0.09995	-0.01884	-0.13534	-0.08714	0.04281	-0.28325	-0.15572	-0.04022	-0.02286	-0.05389	0.05465	-0.18540	-0.05567	-0.00965	-0.07540	-0.06442	0.05298
3	-0.26638	0.03937	-0.13840	0.04258	-0.03171	0.01415	-0.05026	0.04823	-0.07571	0.03033	0.05591	0.01390	-0.24771	-0.10698	-0.02230	-0.10833	-0.12798	0.04691	-0.27913	-0.15848	-0.03127	-0.01860	-0.04722	0.05089	-0.29286	-0.12797	-0.01833	-0.02529	-0.05023	0.05799	-0.26589	-0.17406	-0.05322	-0.05149	-0.06484	0.03747	-0.29864	-0.12710	-0.02610	-0.12227	-0.10751	0.04970	-0.29352	-0.20023	-0.04976	0.00925	-0.06366	0.07510	-0.18695	-0.07394	-0.02101	-0.03512	-0.06855	0.07328
4	-0.25744	0.04445	-0.17457	0.04956	-0.04232	0.01913	-0.00571	0.05773	-0.08398	0.03266	0.07081	0.01766	-0.24517	-0.14619	-0.04179	-0.08302	-0.13221	0.06516	-0.27373	-0.19489	-0.04272	0.03204	-0.05630	0.06815	-0.27692	-0.15940	-0.01215	0.04217	-0.05338	0.07549	-0.24740	-0.21349	-0.07306	-0.01344	-0.08499	0.04856	-0.29854	-0.16297	-0.03576	-0.08626	-0.12634	0.05248	-0.29251	-0.24877	-0.05720	0.05097	-0.07062	0.09374	-0.16779	-0.09627	-0.03355	0.01757	-0.06404	0.09212
5	-0.23692	0.04978	-0.21590	0.05534	-0.05137	0.02535	0.04787	0.06701	-0.08851	0.03684	0.08530	0.02302	-0.23852	-0.19299	-0.06031	-0.04887	-0.12428	0.08705	-0.25939	-0.23896	-0.05391	0.09198	-0.06388	0.08482	-0.24579	-0.19784	-0.00511	0.12310	-0.05709	0.09094	-0.21931	-0.25659	-0.08985	0.03544	-0.10637	0.05959	-0.28613	-0.20574	-0.04609	-0.03551	-0.14506	0.05187	-0.27346	-0.29662	-0.05991	0.09426	-0.07345	0.11241	-0.13585	-0.12254	-0.04443	0.07470	-0.04943	0.11043
6	-0.19962	0.05356	-0.25649	0.05652	-0.05533	0.02993	0.10533	0.07625	-0.08453	0.04629	0.10155	0.03035	-0.22208	-0.24139	-0.07197	-0.00816	-0.09929	0.11552	-0.23308	-0.28674	-0.06069	0.15574	-0.06634	0.10235	-0.19710	-0.24047	0.00240	0.20500	-0.05872	0.10497	-0.17082	-0.29440	-0.09678	0.08812	-0.12353	0.07272	-0.25956	-0.25081	-0.05389	0.02097	-0.15901	0.05067	-0.21895	-0.32971	-0.05505	0.13777	-0.06505	0.13434	-0.09575	-0.15190	-0.05131	0.13788	-0.01976	0.13028
