	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0002_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_02.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_03.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0003_04.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_01.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0005_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d	2014_07_01_PC023_BAREFOOT_GAIT0006_06.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.08950	0.04129	0.03343	0.01419	-0.00251	0.02289	-0.10684	0.02322	0.01775	0.01850	-0.02235	0.01508	-0.02236	0.06197	0.02988	-0.07581	0.05108	-0.01715	-0.12367	0.02143	-0.02523	-0.11246	0.02169	-0.00993	-0.10671	0.02845	-0.01641	-0.12232	0.00815	-0.02344	-0.13005	0.01917	-0.02884	-0.09300	0.02786	-0.00431	-0.10281	0.03371	0.00377	-0.14766	-0.00621	-0.05027	-0.09973	0.03156	-0.00370	-0.09840	0.00525	-0.03094	-0.04118	0.03770	0.02298	-0.09824	0.01647	-0.02043
2	-0.09643	0.04100	0.03081	0.01559	-0.00653	0.02451	-0.10009	0.02402	0.01920	0.01901	-0.02913	0.01364	-0.02326	0.06056	0.02760	-0.07299	0.05525	-0.02326	-0.12762	0.01895	-0.02989	-0.10219	0.02250	-0.01719	-0.10753	0.02352	-0.02451	-0.11664	0.00516	-0.03177	-0.13493	0.01271	-0.03610	-0.09524	0.03051	-0.01268	-0.10862	0.03806	0.00571	-0.14424	0.00033	-0.05344	-0.11659	0.03105	-0.00531	-0.08564	0.00723	-0.03743	-0.05645	0.03085	0.01682	-0.08372	0.01340	-0.02811
3	-0.10525	0.04345	0.02729	0.01910	-0.01239	0.02783	-0.08176	0.02391	0.01867	0.01989	-0.03699	0.01275	-0.02771	0.05939	0.02485	-0.06697	0.05663	-0.02891	-0.13379	0.01392	-0.03768	-0.07795	0.02117	-0.02595	-0.10395	0.01742	-0.03530	-0.09411	0.00047	-0.04221	-0.14840	0.00361	-0.04721	-0.08365	0.03191	-0.02252	-0.11263	0.04431	0.00818	-0.12787	0.00681	-0.05896	-0.14107	0.03003	-0.00824	-0.06540	0.00630	-0.04515	-0.06920	0.02233	0.00863	-0.05635	0.00743	-0.03524
4	-0.11759	0.04753	0.02105	0.02359	-0.02102	0.03151	-0.05088	0.02301	0.01481	0.02059	-0.04451	0.01235	-0.04297	0.05391	0.01774	-0.05149	0.05235	-0.03213	-0.14556	0.00544	-0.04864	-0.04272	0.01621	-0.03582	-0.09701	0.00975	-0.04828	-0.05255	-0.00740	-0.05341	-0.17011	-0.00908	-0.06125	-0.05754	0.02958	-0.03372	-0.11723	0.05012	0.00960	-0.09508	0.01161	-0.06519	-0.16933	0.02640	-0.01360	-0.03542	0.00288	-0.05116	-0.08093	0.01079	-0.00269	-0.02139	-0.00155	-0.04013
5	-0.13433	0.05130	0.01175	0.02868	-0.03218	0.03566	-0.01632	0.02364	0.00720	0.02121	-0.05106	0.01426	-0.07225	0.04473	0.00765	-0.03102	0.04301	-0.03157	-0.16762	-0.00720	-0.06305	-0.00493	0.00698	-0.04593	-0.09089	0.00011	-0.06316	-0.00382	-0.01837	-0.06453	-0.19632	-0.02542	-0.07794	-0.02468	0.02266	-0.04523	-0.12617	0.05292	0.00845	-0.05846	0.01196	-0.07328	-0.19281	0.01986	-0.02169	-0.00443	-0.00325	-0.05520	-0.09422	-0.00272	-0.01554	0.01307	-0.01261	-0.04168
6	-0.14707	0.04949	-0.00150	0.03364	-0.04586	0.03956	0.01570	0.02694	-0.00444	0.02130	-0.05492	0.01900	-0.10634	0.03125	-0.00574	-0.00813	0.02886	-0.02573	-0.19392	-0.02400	-0.08024	0.02860	-0.00690	-0.05473	-0.08752	-0.01316	-0.07947	0.04026	-0.03234	-0.07355	-0.20885	-0.04577	-0.09677	0.00631	0.01048	-0.05524	-0.13639	0.05066	0.00359	-0.02795	0.00629	-0.08130	-0.18924	0.00897	-0.03256	0.02438	-0.01228	-0.05544	-0.10724	-0.01841	-0.02985	0.04646	-0.02519	-0.03846
