	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	-1.40699	0.57185	36.31695	1.35888	44.87908	1.66332	0.57727	2.99987	4.28124	2.00363	27.55258	1.42687	44.72829	3.41029	4.08590	2.30950	-2.09627	-1.39391	-1.51039	-1.52621	-0.50818	37.61176	34.58213	37.71089	36.22861	35.45137	46.12405	42.57836	45.58680	43.69998	46.40622	-0.83479	-3.61272	2.45236	0.71073	4.17077	5.08991	5.90691	4.76461	1.36351	29.44021	27.37107	27.42630	25.97275	46.51773	46.83868	45.91127	39.64548	6.75298	5.24198	2.52318	1.82548
2	-1.43293	0.37323	34.72703	1.39588	44.24772	1.81335	4.20208	2.75477	4.42702	1.84087	26.67505	1.35924	43.74956	3.70309	5.87167	2.05277	-1.46409	-1.51466	-1.69764	-1.69589	-0.79236	35.01388	33.03194	36.86291	34.28714	34.43927	44.97317	41.69376	45.41103	43.07544	46.08522	2.59586	0.33405	5.04047	5.69389	7.34612	5.08065	6.19796	4.56821	1.86127	28.57912	26.45107	26.31231	25.35770	45.63801	45.69983	45.46344	38.19696	8.44211	6.60879	4.32073	4.11505
3	-1.89115	0.36463	34.16450	1.50965	44.40980	1.95992	6.72765	2.23051	4.72830	1.55524	25.74343	1.33222	42.48470	3.77976	7.81942	1.78224	-1.78779	-2.29055	-2.18410	-1.82283	-1.37046	33.78251	32.43545	36.56525	33.72374	34.31552	44.41757	41.36802	45.74877	44.05667	46.45797	5.22327	3.84952	7.02914	8.08418	9.45214	5.29235	6.47828	4.34536	2.79722	27.60126	25.62066	24.45602	25.29578	44.65962	44.59190	43.84513	36.84214	10.27919	7.86536	6.97723	6.15590
4	-2.01811	0.74174	33.67926	1.84306	44.52538	2.32600	7.68723	2.10459	5.12571	1.31457	25.34578	1.49357	41.62854	3.54309	9.15938	1.85222	-2.33230	-2.61906	-2.60036	-0.89475	-1.64408	33.40378	31.87356	36.46623	32.26931	34.38342	43.75344	41.23771	46.32839	44.16380	47.14357	5.90286	5.26670	8.20807	8.63012	10.42838	5.57972	6.77095	4.26043	3.89175	26.73756	25.10718	23.34909	26.18927	43.72144	43.79228	42.62583	36.37460	11.60768	8.75947	9.14517	7.12522
5	-2.05827	0.84998	32.83773	2.34102	43.70179	2.89320	8.07530	2.21629	5.63564	1.14759	25.73436	1.62770	41.40867	3.14955	9.63698	2.15876	-2.88742	-2.28240	-2.75308	-0.91828	-1.45017	32.94920	30.89541	36.10631	30.32732	33.91042	42.12263	40.89673	46.61422	41.83431	47.04104	5.98343	5.60334	8.87531	9.10931	10.80513	5.94880	7.11786	4.58946	4.88643	26.43644	25.05733	23.85146	27.59221	42.87741	43.49335	42.54251	36.72142	12.21990	9.18033	10.12951	7.01818
6	-2.38413	1.01584	31.66519	2.57078	41.78474	3.61001	8.40316	2.15185	6.19337	1.03576	26.54333	1.42947	41.54501	3.10423	9.62925	2.29064	-3.86629	-2.17794	-2.83334	-1.83655	-1.20653	31.95864	29.69590	35.27462	28.75237	32.64441	39.40011	39.86453	46.03706	38.29877	45.32322	6.38197	5.94776	9.28711	9.43374	10.96522	6.48541	7.52753	5.25607	5.50447	27.01193	25.45123	25.35115	28.35899	42.54034	43.65942	43.04073	36.93956	12.12175	9.21233	10.48893	6.69399
