	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d	2014_11_25_PC024_BAREFOOT_DYNAMIC_ANDARILHO0002.c3d
	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	L_PELVIS_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LVFT_ANG	LFT_PROG_ANG	LFT_PROG_ANG	LFT_PROG_ANG	LFT_PROG_ANG	LFT_PROG_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	R_PELVIS_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RKNEE_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	RVFT_ANG	RFT_PROG_ANG	RFT_PROG_ANG	RFT_PROG_ANG	RFT_PROG_ANG	RFT_PROG_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-2.25462	4.77843	20.33607	2.45227	-22.36081	1.23192	-18.04436	2.27670	-28.03122	3.31139	5.11000	4.77253	-10.22306	3.58098	-18.99665	3.25050	-19.97729	2.94365	-50.35606	1.10443	-2.44196	-6.30239	-7.44077	1.10735	3.80467	23.64456	22.24145	19.07657	18.54990	18.16787	-23.32051	-21.42021	-21.20674	-23.99806	-21.85851	-17.03879	-15.05947	-19.43546	-17.68583	-21.00223	-25.96008	-25.89176	-33.82677	-26.96506	-27.51243	10.15997	8.14393	0.37908	1.75701	-9.38403	-12.02544	-5.61503	-13.86776	-14.80359	-22.73644	-19.10757	-19.33901	-24.03339	-17.65323	-20.26064	-17.96190	-50.45249	-48.70117	-50.79268	-50.10729	-51.72668
2	-1.61531	4.39713	20.02999	3.00805	-21.12211	1.82556	-18.95777	1.49924	-26.51446	4.52723	5.19402	5.20084	-9.31964	3.51241	-20.58846	3.25429	-19.60879	4.16846	-51.60157	0.58398	-1.39783	-4.68055	-7.17130	1.66029	3.51281	23.18939	23.29126	18.72044	18.10655	16.84232	-21.79110	-17.95691	-21.90078	-22.60670	-21.35508	-17.88902	-17.79815	-18.94824	-18.66256	-21.49088	-23.53130	-22.14382	-33.61370	-25.30948	-27.97398	10.84878	8.25411	-0.12038	1.79358	-9.49942	-10.97832	-4.36695	-12.43385	-16.14953	-21.62434	-23.90303	-20.67695	-25.53266	-19.51049	-16.52647	-16.86552	-51.87329	-50.61571	-51.59355	-51.79301	-52.13227
3	-0.88968	4.10942	20.54138	3.15250	-22.06647	1.97707	-19.50187	1.62635	-25.88704	5.13149	5.04299	5.47315	-8.46510	3.17551	-21.43402	1.81042	-19.42413	2.66663	-52.58035	0.48812	0.07329	-2.86333	-6.98269	2.23169	3.09264	22.56115	24.82039	18.63124	19.77622	16.91791	-22.98438	-18.89606	-23.16688	-23.83975	-21.44530	-17.66405	-19.42381	-18.39109	-20.18383	-21.84655	-22.27827	-20.63860	-33.63027	-24.99818	-27.88992	10.95681	8.23798	-0.77624	1.75340	-9.33635	-9.94235	-3.78710	-10.79459	-21.06417	-20.67931	-24.05715	-19.93547	-22.30678	-21.03900	-16.78713	-17.56363	-52.99418	-52.09468	-52.22496	-53.19915	-52.38879
4	-0.10157	4.12793	21.76222	3.02724	-23.86445	1.98361	-20.06162	2.10517	-25.65177	5.24100	4.64111	5.51475	-7.95184	2.57040	-20.41890	2.86859	-20.36858	1.12655	-53.09597	0.63133	1.65437	-1.06621	-6.88466	3.19776	2.59089	22.42624	25.95335	19.04086	22.81284	18.57780	-24.61476	-22.63357	-24.11828	-26.58269	-21.37296	-18.15601	-19.13594	-18.53231	-21.40749	-23.07635	-21.90790	-20.46128	-33.66191	-24.64334	-27.58441	10.34222	8.07752	-1.53681	1.68152	-9.08290	-9.00892	-4.11640	-9.59914	-24.26507	-20.11516	-19.97561	-17.31977	-19.16372	-21.88293	-20.12874	-20.29892	-53.55210	-52.84093	-52.64375	-53.95813	-52.48492
5	0.85800	4.59744	23.00480	2.42742	-25.47346	2.08149	-20.57584	2.53470	-25.22729	5.37180	4.11474	5.27457	-7.58609	1.94750	-18.57433	2.68149	-21.84841	0.97796	-53.18829	0.70286	3.20684	0.57936	-6.80887	5.15781	2.15488	23.43975	26.67448	20.09176	23.00814	21.80984	-26.49429	-25.94424	-24.67803	-27.88142	-22.36931	-18.70825	-18.40463	-19.39902	-22.06325	-24.30405	-21.34311	-20.26937	-33.55244	-23.70875	-27.26276	9.11106	7.78211	-2.15625	1.72203	-8.79225	-8.28486	-4.68161	-8.58564	-21.70606	-19.90850	-16.26654	-16.41620	-20.49776	-22.02538	-22.83828	-22.03221	-53.48412	-52.88096	-52.87198	-54.25782	-52.44658
6	2.17969	5.52743	23.34302	2.93033	-26.49057	1.23177	-20.98015	2.36212	-24.59194	5.62968	3.68308	4.75843	-7.12837	1.46336	-17.92814	1.76094	-22.31617	1.26741	-53.14292	1.05885	4.87929	2.13450	-6.56945	8.37346	2.08065	24.04544	26.67480	21.38982	19.40658	25.19846	-27.87485	-26.80385	-25.27863	-27.35861	-25.13693	-19.15004	-18.69516	-20.43690	-22.16854	-24.45010	-20.37662	-19.55279	-33.26194	-22.85053	-26.91783	7.63880	7.38945	-2.29148	1.99555	-8.21622	-7.84382	-4.98111	-7.47232	-17.03911	-19.82900	-15.94115	-18.90330	-23.79683	-21.81450	-22.80028	-20.85308	-53.05288	-52.53919	-52.91661	-54.95158	-52.25434
