	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.20402	0.14864	-0.02919	0.12958	0.26105	0.40856	0.28386	0.25912	-0.10031	0.16994	0.23478	0.27612	0.35381	-0.15226	0.04642	0.05656	0.10604	0.73219	0.47972	-0.24031	0.07620	0.63743	-0.29178	0.37504	0.05977	0.13218	0.65619	0.15330	-0.06326	0.05906	0.08909	-0.03838	0.00742	0.20169	-0.04136	0.00454
2	0.17994	0.14767	-0.02116	0.08216	0.29681	0.41497	0.32459	0.39082	-0.10930	0.19956	0.29511	0.28348	0.32629	-0.11521	0.07729	0.03099	0.03666	0.77542	0.45754	-0.20477	0.12082	0.95184	-0.41481	0.45230	0.06089	0.06256	0.72190	0.13574	-0.01777	0.10214	0.01696	0.02829	0.07838	0.18255	0.01508	0.03770
3	0.15810	0.13933	-0.01462	0.07676	0.34222	0.42137	0.36619	0.44691	-0.13357	0.22192	0.37687	0.30242	0.29351	-0.06931	0.11663	0.01517	-0.04767	0.82836	0.42395	-0.16033	0.17202	1.12284	-0.50609	0.58591	0.11294	-0.05386	0.80763	0.11309	0.03252	0.15490	0.05815	0.01992	0.16390	0.16563	0.07314	0.08167
4	0.12585	0.13369	0.00391	0.12991	0.38925	0.41228	0.37871	0.46299	-0.14952	0.26005	0.46401	0.32378	0.25711	-0.01217	0.16730	-0.01015	-0.11722	0.86496	0.38615	-0.10738	0.23946	1.17501	-0.57576	0.75064	0.18154	-0.17838	0.87941	0.09022	0.07886	0.21552	0.06063	0.03506	0.23501	0.13058	0.14111	0.13548
5	0.09640	0.12423	0.03006	0.17841	0.42707	0.36902	0.37474	0.51214	-0.15513	0.31061	0.52931	0.31583	0.22295	0.04674	0.22747	-0.02537	-0.15610	0.85290	0.34713	-0.05458	0.31753	1.26436	-0.67107	0.88598	0.16296	-0.19717	0.86375	0.06858	0.11371	0.27951	0.03069	0.03348	0.29978	0.09162	0.19955	0.20084
6	0.09583	0.08765	0.03437	0.25160	0.47069	0.32115	0.37761	0.57473	-0.17267	0.36696	0.58283	0.30168	0.19695	0.10279	0.29605	0.04897	-0.24437	0.84132	0.31304	-0.00760	0.40610	1.38416	-0.79567	0.98555	0.12990	-0.19715	0.82741	0.05857	0.12464	0.34095	0.00237	0.01241	0.35412	0.04157	0.24469	0.27471
