	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.06271	0.34172	-0.05278	0.16903	0.05365	0.09873	-0.11675	0.28521	-0.09570	0.14633	0.03828	0.06274	-0.29078	-0.16479	0.00781	0.33019	0.14165	0.16696	-0.27420	-0.14810	0.00980	-0.05213	-0.06367	0.07355	0.35456	0.13851	0.12827	-0.26956	-0.15705	0.01116	-0.34241	-0.24820	-0.03141	-0.22753	-0.13520	-0.01383
2	-0.05858	0.35192	-0.05341	0.18855	0.04955	0.07830	-0.13921	0.25978	-0.13545	0.15318	0.04319	0.05425	-0.30959	-0.18709	0.01349	0.34368	0.16225	0.13939	-0.29044	-0.16736	0.01938	-0.12336	-0.18794	0.07920	0.30575	0.12856	0.11791	-0.27251	-0.17917	0.01632	-0.31547	-0.27136	-0.01684	-0.20983	-0.13541	-0.00422
3	-0.02950	0.37241	-0.04369	0.21574	0.04757	0.05889	-0.11003	0.24279	-0.14306	0.15732	0.04750	0.04759	-0.30834	-0.20324	0.02003	0.39343	0.20178	0.11518	-0.28334	-0.17774	0.02904	-0.16578	-0.26305	0.08406	0.31176	0.13268	0.10956	-0.26196	-0.19922	0.02004	-0.15083	-0.20794	-0.00520	-0.17358	-0.12959	0.00749
4	-0.00465	0.37543	-0.03740	0.23788	0.04978	0.04703	-0.11937	0.27888	-0.16806	0.18966	0.05130	0.05132	-0.29789	-0.21913	0.02690	0.41847	0.23184	0.10387	-0.26757	-0.18884	0.03817	-0.10950	-0.24323	0.09734	0.35749	0.15432	0.11012	-0.24206	-0.21705	0.02237	-0.33520	-0.34548	-0.01152	-0.13453	-0.12491	0.01858
5	-0.00369	0.32798	-0.04410	0.23450	0.05737	0.04512	-0.09634	0.26886	-0.16821	0.20287	0.05821	0.05634	-0.27560	-0.23012	0.03250	0.36056	0.21931	0.10945	-0.23055	-0.19221	0.04474	-0.05380	-0.22296	0.10724	0.35113	0.17425	0.12425	-0.22042	-0.23298	0.02454	-0.32804	-0.36715	-0.00972	-0.09603	-0.12149	0.03015
6	0.01088	0.30725	-0.04935	0.23289	0.06512	0.04434	-0.04626	0.23354	-0.14860	0.19826	0.06421	0.06304	-0.24904	-0.23775	0.03701	0.34996	0.21103	0.11623	-0.18004	-0.19086	0.04793	0.04831	-0.17284	0.11351	0.32331	0.19023	0.14286	-0.20220	-0.24624	0.02809	-0.22070	-0.32327	-0.01134	-0.06828	-0.12132	0.04212
