	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.00937	0.20620	0.05841	0.05260	0.00511	0.05222	-0.02134	0.20345	0.07167	0.06191	0.00456	0.06688	-0.16272	0.10089	-0.03961	0.22504	-0.00043	0.06250	-0.11049	0.10452	-0.01343	0.17775	0.14319	0.10311	0.21333	-0.01606	0.02987	-0.15162	0.08890	-0.02000	-0.23568	0.03782	-0.07675	-0.09042	0.07477	-0.00756
2	-0.00210	0.21162	0.05962	0.04877	0.00507	0.05755	-0.04361	0.18407	0.06412	0.05364	-0.01310	0.05966	-0.16417	0.10471	-0.04421	0.23732	0.00786	0.06831	-0.12038	0.10314	-0.01652	0.08761	0.12036	0.03900	0.20587	0.00760	0.04337	-0.15087	0.08272	-0.02835	-0.24027	0.00680	-0.10303	-0.07945	0.06629	-0.00890
3	0.01812	0.21925	0.05486	0.04640	0.00382	0.06035	-0.02358	0.15001	0.05881	0.06250	-0.01571	0.05461	-0.15284	0.10186	-0.04808	0.26530	0.00908	0.07005	-0.11537	0.09428	-0.01892	0.06096	0.13594	0.03226	0.20121	0.00893	0.03977	-0.14341	0.07195	-0.03832	-0.12130	-0.01707	-0.09336	-0.05811	0.05365	-0.01049
4	0.03254	0.21761	0.04820	0.04334	0.00062	0.06248	-0.02332	0.18392	0.06362	0.07269	-0.01251	0.07424	-0.13985	0.09480	-0.05418	0.27705	0.00909	0.06866	-0.10589	0.08448	-0.02229	0.14085	0.17548	0.08852	0.20157	-0.00560	0.02678	-0.13189	0.05812	-0.04880	-0.22126	0.00561	-0.10675	-0.03960	0.04071	-0.01261
5	0.03110	0.18629	0.04159	0.03734	-0.00393	0.06199	-0.00707	0.19263	0.06112	0.08266	-0.00692	0.09082	-0.12185	0.08386	-0.05992	0.23857	0.01308	0.06269	-0.08339	0.07077	-0.02504	0.19120	0.19767	0.12595	0.20143	-0.00212	0.03332	-0.12127	0.04366	-0.05809	-0.22332	-0.00436	-0.11072	-0.02340	0.02782	-0.01457
6	0.02549	0.15413	0.02748	0.03959	-0.01548	0.04976	0.02065	0.18595	0.05284	0.08293	-0.00063	0.09861	-0.10428	0.07115	-0.06527	0.19586	-0.00605	0.03424	-0.05332	0.05611	-0.02720	0.23540	0.19119	0.14298	0.20258	0.01265	0.05046	-0.11294	0.03041	-0.06445	-0.16849	-0.02617	-0.10495	-0.01510	0.01733	-0.01541
