	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_3.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0001_4.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_1.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d	2016_05_24_PC028_BAREFOOT_GAIT0004_2.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-7.44770	2.18203	-14.53120	1.98785	-0.74151	2.02031	-7.27255	1.75719	-8.07747	4.98490	-9.07346	2.02222	-9.25907	-15.50735	-0.36746	-6.11595	-15.05222	-0.21207	-5.67067	-5.29229	-9.05361	-0.11701	-8.61115	-7.41219	-7.70900	-15.86582	-2.72035	-7.53954	-7.94966	-9.64073	-7.33050	-3.32868	-13.80452	-11.35388	-4.12133	0.66412	-9.31548	-13.84348	-7.41738	-8.77359	-12.88724	1.80918	-8.54478	-9.42360	-12.28587	-9.61715	-17.24739	-0.24268
2	-7.52147	2.27918	-14.47041	1.99616	-1.27331	2.29380	-7.11635	1.76083	-8.37013	5.11162	-8.95659	1.79496	-9.27426	-16.01835	-0.08572	-6.11629	-15.59811	-0.04706	-5.69957	-4.86011	-9.60869	-0.05147	-8.49545	-7.27015	-7.92300	-15.59974	-3.79373	-7.69044	-8.68105	-9.58446	-7.38814	-3.25582	-13.22853	-11.53964	-4.82621	-0.46144	-8.95993	-14.07559	-7.68151	-8.60955	-12.56077	1.72622	-8.37171	-9.43384	-11.75137	-10.08319	-16.74774	-1.42525
3	-7.54799	2.37654	-14.33811	1.96263	-1.69669	2.34742	-6.78243	1.80555	-8.39833	5.24878	-8.96364	1.53783	-9.24244	-16.29077	0.06163	-6.05578	-15.91942	-0.06288	-5.55315	-4.23267	-9.91175	0.31973	-8.39492	-7.45157	-8.07677	-15.00938	-4.70939	-7.66239	-9.31124	-9.70054	-7.19353	-3.25427	-12.83818	-11.88798	-4.55654	-1.31234	-8.39141	-13.91881	-7.99184	-8.43964	-12.20278	1.31371	-8.07256	-9.16959	-11.27935	-10.57348	-16.21823	-2.61104
4	-7.50514	2.47664	-14.04794	1.86140	-2.05268	2.21462	-6.24191	1.89771	-8.05953	5.43476	-9.15089	1.28705	-9.16200	-16.21212	-0.04256	-5.87622	-15.76743	-0.39748	-5.21084	-3.37303	-9.83811	1.09800	-8.42602	-8.01738	-8.12499	-14.04725	-5.40970	-7.37938	-9.66994	-10.02824	-6.76776	-3.32371	-12.62606	-12.29480	-3.47524	-1.87427	-7.65613	-13.38219	-8.30633	-8.24944	-11.71878	0.52283	-7.59017	-8.50541	-10.97645	-11.03183	-15.66912	-3.69237
5	-7.37839	2.58228	-13.53936	1.73217	-2.39453	2.02396	-5.50671	2.01622	-7.32350	5.66711	-9.46083	1.11809	-9.03473	-15.71527	-0.46182	-5.53791	-14.99879	-1.08199	-4.69656	-2.30725	-9.32450	2.26861	-8.62648	-8.87140	-8.05554	-12.80671	-5.76752	-6.77606	-9.64244	-10.48898	-6.18469	-3.43830	-12.49277	-12.62871	-2.14883	-2.13458	-6.84589	-12.52636	-8.47088	-8.01030	-11.03812	-0.64131	-6.90781	-7.39279	-10.84641	-11.38725	-15.09512	-4.52564
6	-7.16703	2.68271	-12.81946	1.66309	-2.71349	1.79371	-4.64392	2.13099	-6.25383	5.89233	-9.71344	1.11803	-8.86352	-14.80029	-1.17394	-5.04301	-13.67731	-1.94289	-4.08617	-1.13481	-8.40487	3.67057	-8.89826	-9.74051	-7.90164	-11.47671	-5.59466	-5.86697	-9.21155	-10.82046	-5.54239	-3.56925	-12.36712	-12.78949	-1.23565	-2.06883	-6.06830	-11.43783	-8.31739	-7.67678	-10.14317	-2.03389	-6.06338	-5.88547	-10.79059	-11.57262	-14.48214	-4.94457
7	-6.88816	2.75272	-11.95693	1.73065	-2.91276	1.47855	-3.75406	2.23214	-4.98393	6.03347	-9.71248	1.24875	-8.65393	-13.54451	-2.04997	-4.45708	-12.06459	-2.61907	-3.50178	0.02189	-7.21803	5.05478	-9.05167	-10.27652	-7.72676	-10.22219	-4.79592	-4.76608	-8.44124	-10.70883	-4.92353	-3.70952	-12.26078	-12.73003	-1.07368	-1.67337	-5.39506	-10.19418	-7.83346	-7.20292	-9.07163	-3.36209	-5.12929	-4.12098	-10.69189	-11.54335	-13.80481	-4.81524
8	-6.57890	2.76822	-11.02664	1.92857	-2.91186	1.24826	-2.92287	2.33998	-3.66218	6.03801	-9.38426	1.35700	-8.42122	-12.08285	-2.88397	-3.89918	-10.46892	-2.84420	-3.05631	1.09141	-5.95631	6.21052	-8.92527	-10.22417	-7.59664	-9.11007	-3.59221	-3.62766	-7.44507	-10.04327	-4.38299	-3.88037	-12.20161	-12.42826	-1.57393	-1.02114	-4.84947	-8.84509	-7.20981	-6.57460	-7.87831	-4.33586	-4.17233	-2.27494	-10.51877	-11.29731	-13.01648	-4.13173
9	-6.28571	2.72540	-10.07276	2.18068	-2.77791	1.36177	-2.18998	2.48828	-2.40213	5.90189	-8.84956	1.35198	-8.19645	-10.56311	-3.50568	-3.48641	-9.10821	-2.71754	-2.77983	2.06618	-4.77007	7.04919	-8.49922	-9.54477	-7.54246	-8.15749	-2.49632	-2.56645	-6.32753	-9.08896	-3.95032	-4.11623	-12.16565	-11.86093	-2.44813	-0.32677	-4.44729	-7.44520	-6.75779	-5.82585	-6.58808	-4.84975	-3.22253	-0.51706	-10.35705	-10.88225	-12.06586	-3.10119
10	-6.03946	2.64986	-9.13550	2.42251	-2.70434	1.61807	-1.55551	2.70117	-1.26776	5.65653	-8.39236	1.28231	-8.01949	-9.10966	-3.88420	-3.26898	-8.11627	-2.57569	-2.62279	2.96397	-3.69939	7.58973	-7.95567	-8.43546	-7.53720	-7.41668	-2.00386	-1.62994	-5.14852	-8.44915	-3.61910	-4.44028	-12.11530	-11.03092	-3.40897	0.06737	-4.22171	-6.09827	-6.78247	-5.01322	-5.20609	-5.00437	-2.26710	1.01765	-10.33908	-10.37795	-10.95356	-2.12066
11	-5.83662	2.59034	-8.28490	2.65166	-2.87172	1.69380	-1.00137	2.98413	-0.30383	5.34055	-8.28059	1.37469	-7.91935	-7.82239	-4.12108	-3.20964	-7.58107	-2.66929	-2.51874	3.79500	-2.71037	7.86718	-7.61628	-7.18582	-7.51288	-6.96340	-2.31019	-0.81346	-3.96275	-8.65233	-3.33547	-4.84190	-12.05289	-10.02136	-4.24491	-0.16108	-4.19555	-4.95693	-7.42207	-4.17500	-3.77916	-4.98599	-1.27409	2.24370	-10.52647	-9.86209	-9.77401	-1.60950
12	-5.64538	2.59748	-7.60236	2.90255	-3.35169	1.48320	-0.51129	3.32080	0.43576	4.98359	-8.56936	1.87556	-7.89769	-6.78667	-4.36344	-3.22144	-7.50539	-3.02421	-2.42148	4.54684	-1.79022	7.86331	-7.73220	-5.96185	-7.40530	-6.81822	-3.27880	-0.11309	-2.86047	-9.74454	-3.01712	-5.27492	-11.99663	-8.99736	-4.86957	-1.15755	-4.33756	-4.15978	-8.56072	-3.31778	-2.42327	-4.95622	-0.23119	3.12597	-10.84750	-9.38342	-8.68896	-1.81207
13	-5.42638	2.69859	-7.13776	3.17957	-4.10076	1.06298	-0.07667	3.66576	0.90445	4.60981	-9.08675	2.72184	-7.92529	-6.06109	-4.71815	-3.21830	-7.77047	-3.52458	-2.30719	5.18279	-0.96956	7.52965	-8.33221	-4.71468	-7.18028	-6.92219	-4.58975	0.44834	-1.95148	-11.33660	-2.59740	-5.67421	-11.94601	-8.14738	-5.31388	-2.82713	-4.54838	-3.76096	-9.91295	-2.43195	-1.27155	-5.01117	0.84108	3.67458	-11.13732	-8.95725	-7.84562	-2.72068
14	-5.15200	2.88474	-6.89374	3.44497	-4.99681	0.70909	0.30804	3.95787	1.08565	4.24724	-9.56372	3.74129	-7.95402	-5.65396	-5.21316	-3.13450	-8.19447	-4.03361	-2.17532	5.65700	-0.29491	6.84023	-9.25914	-3.27954	-6.82766	-7.18816	-5.90743	0.84651	-1.32986	-12.89500	-2.06584	-5.98352	-11.89835	-7.61251	-5.64146	-4.87307	-4.69526	-3.72652	-11.15823	-1.51626	-0.40088	-5.17783	1.90726	3.93929	-11.22667	-8.58223	-7.30784	-4.13110
15	-4.81529	3.12169	-6.83663	3.66031	-5.88401	0.87187	0.65586	4.15228	1.00606	3.92424	-9.77440	4.80182	-7.93681	-5.51778	-5.80866	-2.92319	-8.61658	-4.45446	-2.03688	5.95197	0.19187	5.82272	-10.28491	-1.55721	-6.34886	-7.54243	-6.99268	1.09573	-1.01676	-14.00056	-1.46252	-6.18489	-11.86556	-7.43855	-5.87314	-6.90502	-4.66327	-3.96399	-12.02927	-0.59308	0.18332	-5.41660	2.93173	3.99646	-11.00007	-8.25769	-7.05880	-5.73750
16	-4.42625	3.37420	-6.91293	3.80427	-6.61654	1.31333	0.99456	4.23670	0.74229	3.65440	-9.61054	5.79968	-7.83989	-5.56647	-6.43203	-2.55835	-8.91753	-4.74599	-1.88681	6.10673	0.49048	4.56424	-11.19588	0.39635	-5.76272	-7.92202	-7.74439	1.26313	-0.92531	-14.46428	-0.83675	-6.30094	-11.85393	-7.58642	-5.97837	-8.56830	-4.38830	-4.34161	-12.38715	0.29887	0.50989	-5.63192	3.87804	3.92363	-10.40175	-7.98397	-7.05406	-7.21474
17	-4.00165	3.61964	-7.06632	3.86682	-7.09668	1.69137	1.36092	4.22425	0.39702	3.43445	-9.08929	6.65905	-7.64189	-5.70011	-7.01533	-2.04310	-9.02164	-4.91610	-1.68874	6.21281	0.66149	3.18645	-11.84519	2.40718	-5.11225	-8.27335	-8.16782	1.44072	-0.91539	-14.32942	-0.21760	-6.37155	-11.84179	-7.97695	-5.91923	-9.65232	-3.86720	-4.72178	-12.25764	1.12618	0.60803	-5.71453	4.70700	3.77434	-9.42140	-7.75131	-7.25843	-8.29146
18	-3.55777	3.84610	-7.25264	3.85212	-7.29097	1.92179	1.79182	4.13804	0.06961	3.25962	-8.32033	7.33002	-7.33337	-5.82653	-7.52348	-1.41473	-8.91795	-4.98921	-1.39314	6.39274	0.79121	1.84825	-12.18061	4.24807	-4.44917	-8.56993	-8.30472	1.71826	-0.86144	-13.79927	0.38772	-6.43068	-11.78764	-8.52232	-5.68586	-10.12893	-3.13816	-4.99973	-11.78121	1.87104	0.50342	-5.60018	5.37942	3.56976	-8.08861	-7.53520	-7.64750	-8.80442
19	-3.10811	4.04685	-7.44479	3.78256	-7.21586	2.01855	2.31821	4.00530	-0.14365	3.11649	-7.44772	7.77728	-6.92174	-5.87962	-7.95679	-0.72870	-8.66080	-4.96827	-0.96810	6.78304	0.94825	0.81474	-12.21901	5.68912	-3.80978	-8.81676	-8.18273	2.16131	-0.68645	-13.10617	0.98185	-6.49507	-11.65090	-9.13929	-5.31047	-10.09716	-2.24777	-5.09908	-11.13800	2.52455	0.23037	-5.28256	5.86255	3.30430	-6.46452	-7.30788	-8.19650	-8.71309
20	-2.66270	4.21753	-7.63099	3.69062	-6.90679	2.04381	2.96050	3.87343	-0.14589	2.95424	-6.59572	7.98632	-6.43464	-5.83496	-8.32505	-0.03427	-8.34393	-4.82737	-0.41444	7.52544	1.17034	0.46792	-11.99681	6.55568	-3.20514	-9.03837	-7.80693	2.78924	-0.36850	-12.41280	1.56801	-6.55792	-11.40419	-9.75973	-4.85616	-9.68873	-1.23917	-4.95522	-10.50233	3.07769	-0.16714	-4.76298	6.14143	2.95600	-4.62233	-7.05259	-8.86862	-8.08027
21	-2.22790	4.35303	-7.81386	3.60314	-6.39013	2.08373	3.72299	3.82890	0.12892	2.75420	-5.83470	7.98742	-5.91411	-5.71045	-8.61472	0.63280	-8.07872	-4.52456	0.23388	8.73662	1.46771	1.14705	-11.56003	6.79471	-2.63099	-9.26737	-7.17593	3.57040	0.07373	-11.79445	2.14593	-6.58304	-11.04149	-10.33629	-4.39332	-9.00438	-0.15413	-4.54768	-9.97766	3.52146	-0.65270	-3.98739	6.22819	2.50378	-2.63610	-6.76733	-9.60998	-7.03061
22	-1.80523	4.44213	-8.00700	3.53036	-5.67261	2.21855	4.58715	3.98038	0.67292	2.69746	-5.17332	7.86780	-5.40102	-5.54743	-8.78012	1.24330	-7.97021	-4.01930	0.92127	10.44684	1.81960	2.92445	-10.96346	6.51605	-2.08095	-9.54098	-6.29438	4.43485	0.59005	-11.25998	2.70861	-6.50377	-10.57840	-10.83646	-3.98382	-8.10117	0.96910	-3.91889	-9.57276	3.85309	-1.21016	-2.84332	6.16369	1.94938	-0.58643	-6.45586	-10.36535	-5.68615
23	-1.39093	4.46785	-8.22668	3.47139	-4.75194	2.49898	5.50515	4.37977	1.39875	3.09662	-4.57464	7.75021	-4.92278	-5.39138	-8.76417	1.77334	-8.08323	-3.29575	1.58739	12.53641	2.17787	5.52438	-10.25182	5.98442	-1.55066	-9.89548	-5.18089	5.29628	1.10298	-10.77979	3.23978	-6.24252	-10.04842	-11.23579	-3.65942	-7.01200	2.09323	-3.14399	-9.25901	4.08202	-1.83552	-1.23628	6.01245	1.33249	1.43299	-6.11568	-11.09698	-4.11509
24	-0.98092	4.41752	-8.48246	3.42576	-3.63914	2.93530	6.40191	4.94370	2.17125	3.92289	-3.98139	7.73536	-4.49220	-5.28479	-8.52085	2.21433	-8.41701	-2.37740	2.17692	14.71559	2.47307	8.41554	-9.44045	5.54134	-1.03669	-10.34767	-3.88222	6.08694	1.54024	-10.31491	3.70828	-5.75661	-9.50662	-11.52179	-3.41055	-5.76950	3.17843	-2.29984	-9.01776	4.23040	-2.52001	0.82544	5.85169	0.72722	3.32485	-5.73395	-11.77932	-2.33889
25	-0.57514	4.29307	-8.77019	3.39377	-2.37049	3.48847	7.19156	5.48401	2.85301	4.81308	-3.34662	7.84981	-4.11200	-5.26724	-8.02554	2.57978	-8.91103	-1.31343	2.64791	16.59226	2.64105	10.98617	-8.52591	5.46096	-0.53479	-10.87086	-2.48008	6.77740	1.87499	-9.84198	4.07464	-5.06685	-9.02208	-11.70692	-3.18720	-4.41467	4.18319	-1.45810	-8.83334	4.32835	-3.23178	3.20552	5.75705	0.22095	5.00718	-5.29509	-12.38143	-0.37805
26	-0.17572	4.11087	-9.06634	3.36671	-1.00437	4.07716	7.80532	5.82009	3.35084	5.44663	-2.65658	8.04661	-3.77899	-5.37233	-7.28210	2.90259	-9.46975	-0.15453	2.97822	17.82800	2.65644	12.75761	-7.51043	5.82523	-0.03937	-11.38955	-1.06822	7.35950	2.12589	-9.34290	4.30688	-4.23783	-8.65223	-11.82621	-2.91916	-2.99274	5.06992	-0.67769	-8.68078	4.40849	-3.90142	5.67438	5.79094	-0.10807	6.42599	-4.79179	-12.85290	1.71178
27	0.21456	3.89449	-9.32847	3.31974	0.39491	4.60746	8.21787	5.86991	3.64651	5.68440	-1.92688	8.24663	-3.48739	-5.61803	-6.31901	3.21574	-9.98126	1.05691	3.16118	18.28672	2.53171	13.55860	-6.39360	6.52106	0.45456	-11.79817	0.29020	7.83270	2.33461	-8.79536	4.39064	-3.34663	-8.42663	-11.91656	-2.54084	-1.54624	5.80737	0.00509	-8.52579	4.50211	-4.43672	7.98411	6.00137	-0.19746	7.55926	-4.22713	-13.12192	3.83924
28	0.59162	3.66592	-9.50726	3.22053	1.77709	5.00343	8.45060	5.66476	3.79558	5.56153	-1.18360	8.36981	-3.23060	-5.99388	-5.17408	3.52602	-10.33603	2.28107	3.19921	18.05713	2.29508	13.55333	-5.14691	7.33559	0.94419	-11.99255	1.58630	8.20203	2.54129	-8.17830	4.33403	-2.46239	-8.34576	-11.99504	-1.99666	-0.10907	6.36817	0.57940	-8.33171	4.63481	-4.76944	9.94825	6.42644	0.00877	8.40332	-3.60475	-13.11814	5.90384
29	0.95110	3.44064	-9.56630	3.05553	3.11280	5.22077	8.54948	5.30977	3.88937	5.21686	-0.44803	8.34671	-3.00257	-6.45419	-3.88734	3.81023	-10.45650	3.48634	3.10130	17.36083	1.96677	13.09970	-3.71721	8.06502	1.41561	-11.91311	2.85588	8.46570	2.75528	-7.46484	4.16628	-1.62885	-8.38756	-12.04048	-1.24716	1.29216	6.72577	1.05349	-8.06755	4.82229	-4.88672	11.47128	7.09380	0.57159	8.94444	-2.92530	-12.82555	7.81844
30	1.28954	3.23122	-9.49943	2.85453	4.38677	5.23748	8.55841	4.93318	4.00166	4.81360	0.27125	8.12985	-2.79866	-6.93346	-2.49457	4.03798	-10.32960	4.68099	2.88749	16.43246	1.55400	12.54120	-2.05865	8.57770	1.84771	-11.58553	4.14742	8.60089	2.93447	-6.60897	3.92721	-0.86554	-8.51734	-12.00561	-0.28832	2.64516	6.86039	1.43642	-7.70918	5.07356	-4.80307	12.51006	8.01081	1.54222	9.15538	-2.19548	-12.32144	9.50664
31	1.60676	3.05439	-9.32820	2.68578	5.58615	5.04166	8.50528	4.64592	4.15343	4.50339	0.98595	7.71536	-2.61484	-7.37858	-1.01303	4.20354	-9.99890	5.91240	2.59708	15.43387	1.06510	12.07642	-0.16293	8.83104	2.22154	-11.11523	5.48132	8.57740	2.99672	-5.54965	3.65468	-0.18562	-8.69551	-11.85910	0.83636	3.96064	6.77073	1.71913	-7.23422	5.40026	-4.51013	13.03981	9.14733	2.90978	9.04549	-1.43223	-11.73997	10.88553
