	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_4.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_4.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_4.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	1.65311	1.52119	5.84354	2.91555	0.49783	1.77898	4.21194	1.79271	-6.06463	2.51705	-2.22478	1.36385	2.13630	5.71370	1.97295	2.33181	-6.16254	-1.70092	2.14905	5.74715	2.37772	5.12280	-6.43587	-2.53694	1.04092	-1.79594	8.06486	-0.67520	2.37242	-0.67851	7.51662	-2.52033	-1.94621	5.64984	-4.71218	-2.13064	2.95234	-5.27100	-2.53909	1.79936	6.06937	-0.25061	3.60411	-3.67289	-2.51302	1.57054	7.04551	1.92372	1.78495	-8.60372	-0.73147	4.07204	7.91012	1.00762	3.68499	-9.66505	-1.96629	0.67642	3.32067	0.62277	5.93973	-9.59738	-0.61156	2.45538	9.92279	-2.73822	2.42705	5.31638	-1.63154	3.53215	-4.00536	-5.57161
2	1.88793	1.55458	5.76234	2.97118	0.28026	1.62296	4.19507	1.78744	-6.61852	2.59592	-1.92911	1.28348	2.55333	5.75846	1.52775	2.16015	-6.99209	-1.46653	2.31175	5.67448	1.96684	4.95058	-7.34230	-2.26072	1.20293	-1.57502	8.06091	-0.89894	2.00761	-1.43410	7.45501	-2.75740	-1.64881	5.72133	-5.24542	-1.97768	2.99398	-6.19617	-2.27591	2.02111	6.02560	-0.25373	3.66325	-3.99416	-2.34159	1.85362	7.13499	1.73130	1.90600	-8.86163	-0.54636	4.37276	7.48812	0.80027	3.51230	-10.37317	-1.57689	0.78434	3.25435	0.38715	6.00591	-10.06573	-0.23198	2.74706	10.02067	-2.52455	2.60738	5.10475	-1.40590	3.58223	-4.35708	-4.96461
3	2.10520	1.58966	5.76927	2.98334	-0.01949	1.54554	4.19836	1.77480	-6.95498	2.65871	-1.72215	1.15804	2.96391	5.85743	1.04632	2.02215	-7.61940	-1.33104	2.47118	5.73247	1.61011	4.77108	-8.00911	-2.02489	1.31070	-1.35773	8.05044	-0.95189	1.63315	-2.28833	7.39797	-2.80556	-1.54270	5.82763	-5.58891	-1.91911	3.08879	-6.92852	-2.08651	2.23529	6.18597	-0.44397	3.75720	-4.18897	-2.20099	2.11450	7.25475	1.38797	2.07459	-8.75423	-0.50431	4.64242	7.21727	0.54305	3.36994	-10.85399	-1.21516	0.87737	3.25897	0.03320	6.05261	-10.27229	-0.05384	3.02437	10.05763	-2.39945	2.76995	5.02961	-1.31694	3.62169	-4.52880	-4.34290
4	2.31305	1.62649	5.89218	2.95370	-0.37442	1.55654	4.23045	1.75875	-7.05927	2.71553	-1.60686	0.98988	3.36927	6.05302	0.58410	1.92848	-8.00511	-1.31127	2.63115	5.92045	1.32925	4.60081	-8.41028	-1.80940	1.38135	-1.13897	8.07745	-0.81575	1.26396	-3.18119	7.35821	-2.65656	-1.63254	5.97795	-5.70818	-1.94764	3.25323	-7.43214	-1.94177	2.44810	6.55088	-0.83951	3.88398	-4.25316	-2.07641	2.36238	7.43150	0.94001	2.28416	-8.30705	-0.63283	4.88911	7.12199	0.29610	3.26907	-11.09937	-0.90118	0.96655	3.36524	-0.37793	6.08874	-10.22080	-0.08940	3.29167	10.07101	-2.37834	2.92988	5.14602	-1.38067	3.65990	-4.50003	-3.72617
5	2.52340	1.66436	6.14521	2.89190	-0.74964	1.64303	4.29990	1.74340	-6.94146	2.77441	-1.57385	0.80585	3.77451	6.37043	0.20384	1.88990	-8.13812	-1.40028	2.79443	6.22311	1.14097	4.45852	-8.54709	-1.59238	1.43679	-0.90752	8.17975	-0.48690	0.90508	-4.04826	7.34811	-2.32929	-1.89875	6.17995	-5.60072	-2.02788	3.49798	-7.69805	-1.80667	2.66657	7.08983	-1.41712	4.04158	-4.18593	-1.95199	2.61383	7.68807	0.43749	2.52853	-7.58812	-0.93131	5.12574	7.20945	0.10924	3.22014	-11.11583	-0.65973	1.06505	3.59015	-0.78662	6.12548	-9.94592	-0.31965	3.56032	10.10876	-2.45032	3.10424	5.47943	-1.59068	3.70882	-4.26550	-3.14982
6	2.75062	1.70150	6.52311	2.81011	-1.10069	1.78148	4.41535	1.73260	-6.63241	2.83394	-1.59949	0.66849	4.18675	6.80792	-0.02744	1.91483	-8.03942	-1.56191	2.96515	6.61556	1.05857	4.36409	-8.43374	-1.37195	1.50079	-0.64606	8.37884	0.02213	0.56202	-4.81866	7.37966	-1.86536	-2.29401	6.43994	-5.29846	-2.09011	3.82741	-7.73773	-1.65076	2.89776	7.74731	-2.10635	4.23071	-3.99666	-1.80659	2.89120	8.03256	-0.06253	2.80375	-6.69000	-1.36906	5.36712	7.46863	0.01091	3.23418	-10.91596	-0.51460	1.18666	3.93256	-1.14014	6.17681	-9.50429	-0.67781	3.84674	10.21497	-2.58153	3.31010	6.01059	-1.90178	3.78211	-3.84250	-2.65806
