	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-0.06059	0.02390	-0.09699	0.01698	-0.00331	0.00763	-0.20101	0.04859	-0.06771	0.03980	-0.00178	0.01246	-0.25697	-0.10396	-0.00307	-0.05961	-0.10096	-0.01861	-0.25034	-0.09931	-0.01845	-0.04693	-0.12557	-0.00687	-0.27266	-0.13345	-0.02381	-0.17968	-0.03062	-0.00052	-0.14124	-0.00379	0.00981	-0.07657	-0.09875	0.00026	-0.14510	-0.02966	0.00591	-0.11113	-0.11346	-0.00476	-0.03201	-0.07031	-0.00577	-0.16862	-0.05984	-0.00691	-0.05464	-0.09076	-0.00025	-0.23790	-0.05230	0.01824	-0.05192	-0.08805	0.00477	-0.17880	-0.08206	0.00052
2	-0.06435	0.01132	-0.11314	0.01609	-0.00563	0.01035	-0.21109	0.05619	-0.07866	0.04705	-0.00480	0.01697	-0.29387	-0.12925	-0.01115	-0.07174	-0.12133	-0.02897	-0.27856	-0.12197	-0.03311	-0.04575	-0.13800	-0.00985	-0.28722	-0.15016	-0.02735	-0.19089	-0.03494	0.00103	-0.16512	-0.02703	-0.00044	-0.08098	-0.11408	-0.00051	-0.13894	-0.02179	0.01314	-0.06430	-0.12569	-0.00132	-0.05121	-0.08370	-0.00760	-0.19494	-0.07672	-0.01178	-0.07119	-0.10926	-0.00041	-0.21875	-0.03393	0.02323	-0.06482	-0.10652	0.00183	-0.17128	-0.09542	-0.00080
3	-0.04920	0.03145	-0.13325	0.01048	-0.00780	0.01447	-0.22726	0.07691	-0.09392	0.05047	-0.01064	0.02237	-0.32428	-0.15056	-0.02302	-0.06737	-0.14072	-0.04068	-0.29887	-0.14024	-0.05117	-0.03298	-0.15030	-0.01647	-0.28949	-0.16197	-0.03069	-0.19212	-0.03355	-0.00021	-0.17805	-0.05192	-0.01722	-0.07133	-0.12969	-0.00078	-0.12308	-0.00950	0.01953	-0.02489	-0.12526	-0.00013	0.01313	-0.14507	-0.00498	-0.22021	-0.09076	-0.01894	-0.07640	-0.12387	0.00105	-0.33050	-0.08665	0.02202	-0.06688	-0.12556	-0.00021	-0.15798	-0.10702	-0.00333
4	-0.03571	0.03177	-0.13658	0.02395	-0.01031	0.01990	-0.21463	0.08187	-0.09542	0.05813	-0.01882	0.02935	-0.33844	-0.16269	-0.03791	-0.04314	-0.15731	-0.05285	-0.30692	-0.15046	-0.07167	-0.00756	-0.16439	-0.02773	-0.27513	-0.16604	-0.03310	-0.17568	-0.02410	-0.00514	-0.17488	-0.07185	-0.04074	-0.04419	-0.14492	0.00017	-0.09583	0.00835	0.02342	0.03108	-0.11647	-0.00059	-0.04967	-0.08936	-0.00645	-0.23917	-0.09801	-0.02878	-0.06454	-0.13309	0.00416	-0.26734	-0.06543	0.02109	-0.05385	-0.14354	0.00042	-0.13646	-0.11201	-0.00765
5	0.00813	0.04683	-0.14409	0.03327	-0.01068	0.02661	-0.19227	0.09271	-0.08672	0.06492	-0.02820	0.03724	-0.33125	-0.16321	-0.05335	-0.00346	-0.16998	-0.06294	-0.29820	-0.14920	-0.09265	0.03266	-0.17828	-0.04206	-0.23535	-0.15435	-0.02856	-0.13865	-0.00680	-0.01339	-0.15594	-0.08182	-0.07006	-0.00009	-0.15883	0.00342	-0.05730	0.03177	0.02339	0.10816	-0.10241	-0.00134	0.01794	-0.08539	-0.00142	-0.24632	-0.09632	-0.04123	-0.03692	-0.13866	0.00793	-0.25342	-0.03765	0.02164	-0.02664	-0.15958	0.00550	-0.10313	-0.10480	-0.01390
6	0.06184	0.06352	-0.14933	0.04459	-0.00894	0.03422	-0.15148	0.10125	-0.06802	0.06840	-0.03812	0.04523	-0.29837	-0.15153	-0.06605	0.04648	-0.17821	-0.07004	-0.26808	-0.13527	-0.11260	0.08341	-0.19234	-0.05655	-0.16912	-0.12527	-0.01265	-0.07929	0.01742	-0.02407	-0.12407	-0.07905	-0.10257	0.05295	-0.17140	0.00982	-0.00986	0.06007	0.01947	0.19268	-0.08737	-0.00124	0.09804	-0.07442	0.00392	-0.23543	-0.08601	-0.05576	0.00254	-0.14229	0.01102	-0.22156	-0.01550	0.01573	0.00932	-0.17429	0.01577	-0.05450	-0.08253	-0.02137
