	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0003_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0005_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0006_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0007_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_1.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_2.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_3.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d	2016_06_07_PC029_BAREFOOT_GAIT0008_5.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	-0.05423	0.03294	0.03942	0.01649	-0.00762	0.01637	-0.08316	0.03455	0.03017	0.01035	-0.00052	0.00983	-0.11873	0.01664	-0.00642	-0.07163	0.04200	0.00257	-0.10927	0.02628	-0.00396	-0.11306	0.00402	-0.03942	-0.15397	0.02643	-0.01014	-0.06706	0.02888	0.00939	-0.04021	0.02696	0.00784	-0.04258	0.05246	0.00237	-0.05565	0.02846	0.01049	-0.08074	0.05912	0.00396	-0.03559	0.03752	0.00733	-0.06568	0.01881	-0.00593	-0.00563	0.04743	-0.00026	-0.05849	0.03464	0.01424	-0.04231	0.03641	-0.01876	-0.08127	0.04732	-0.01035
2	-0.05775	0.02945	0.04164	0.01762	-0.01254	0.01768	-0.07677	0.04310	0.03040	0.00917	-0.00053	0.01165	-0.13200	0.01799	-0.00820	-0.07758	0.04513	-0.00580	-0.11120	0.03035	-0.00332	-0.11727	0.00405	-0.04587	-0.15671	0.02834	-0.00922	-0.06567	0.02724	0.00869	-0.04911	0.02585	0.00596	-0.04356	0.05483	-0.00173	-0.03947	0.03059	0.01445	-0.05812	0.06262	0.00354	-0.04468	0.03999	0.00489	-0.06773	0.02020	-0.00788	-0.01652	0.05151	-0.00557	-0.01856	0.03233	0.01914	-0.05212	0.03751	-0.02488	-0.06363	0.04557	-0.01249
3	-0.05520	0.02905	0.04342	0.01900	-0.01894	0.01992	-0.07394	0.04494	0.03136	0.00877	-0.00123	0.01308	-0.14073	0.02095	-0.00966	-0.07554	0.04348	-0.01783	-0.10859	0.03459	-0.00317	-0.11471	0.00310	-0.05352	-0.15172	0.03046	-0.00857	-0.06043	0.02391	0.00803	-0.05366	0.02435	0.00307	-0.03587	0.05590	-0.00730	-0.01568	0.03203	0.01982	-0.03330	0.06126	0.00067	-0.04725	0.05850	0.00558	-0.06973	0.02076	-0.01030	-0.02303	0.05299	-0.01239	-0.05683	0.04368	0.01870	-0.05593	0.03605	-0.03337	-0.04102	0.04143	-0.01511
4	-0.04538	0.03340	0.03626	0.01863	-0.02864	0.02216	-0.06194	0.05246	0.02827	0.00738	-0.00230	0.01576	-0.14185	0.02344	-0.01139	-0.06629	0.03613	-0.03309	-0.10114	0.03694	-0.00432	-0.10821	-0.00155	-0.06549	-0.14045	0.02980	-0.00971	-0.04880	0.01792	0.00771	-0.05220	0.02097	-0.00093	-0.02038	0.05473	-0.01452	0.01482	0.03153	0.02661	0.00069	0.05567	-0.00328	-0.04011	0.03341	-0.00320	-0.07191	0.01899	-0.01340	-0.02242	0.05070	-0.02047	-0.04500	0.03806	0.01987	-0.05315	0.03049	-0.04452	-0.01646	0.03251	-0.01873
5	-0.03002	0.04099	0.02753	0.01910	-0.03937	0.02627	-0.04292	0.06083	0.02131	0.00972	-0.00348	0.02044	-0.13491	0.02312	-0.01354	-0.05509	0.02310	-0.05082	-0.08846	0.03494	-0.00717	-0.09628	-0.00938	-0.07987	-0.12058	0.02302	-0.01280	-0.03048	0.00797	0.00745	-0.04673	0.01370	-0.00621	-0.00150	0.04978	-0.02361	0.04839	0.02722	0.03375	0.04045	0.04426	-0.00879	-0.01623	0.02746	-0.00624	-0.07474	0.01323	-0.01753	-0.01685	0.04459	-0.02979	0.00473	0.03767	0.02863	-0.04733	0.02020	-0.05792	0.00680	0.01610	-0.02369
6	-0.01675	0.04908	0.01450	0.01985	-0.05179	0.03102	-0.02454	0.06605	0.00760	0.01495	-0.00640	0.02493	-0.12084	0.01678	-0.01670	-0.04572	0.00653	-0.06928	-0.07071	0.02602	-0.01226	-0.08449	-0.02124	-0.09702	-0.09567	0.00726	-0.01781	-0.00501	-0.00746	0.00677	-0.04083	0.00054	-0.01343	0.01318	0.04042	-0.03446	0.08083	0.01779	0.03959	0.07432	0.02779	-0.01621	0.00834	0.01714	-0.00992	-0.07709	0.00212	-0.02312	-0.01012	0.03444	-0.04053	0.03129	0.03197	0.03331	-0.04477	0.00545	-0.07344	0.02633	-0.00949	-0.03015
