	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d
	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	RHIP_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	L_PELVIS_ANG_longo	LHIP_ANG	LHIP_ANG	LKNEE_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG	L_PELVIS_ANG_longo	LHIP_ANG	LKNEE_ANG	R_PELVIS_ANG_longo	R_PELVIS_ANG_longo	RHIP_ANG	RHIP_ANG	RKNEE_ANG	RKNEE_ANG
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.90885	1.16859	15.58446	1.12586	-9.18744	1.46285	3.32740	0.71602	6.94639	1.58325	-2.49197	2.96808	1.35585	0.91363	14.58579	14.39536	-9.61013	-9.64706	3.70623	4.61553	-0.74426	1.18863	2.50083	16.20788	15.20287	-9.85014	-8.60815	3.18473	2.43858	5.50707	8.34450	2.13373	0.33468	0.35276	0.63498	2.70279	13.51373	14.60214	14.42608	-6.83921	-8.77509	-9.14097	4.90908	3.36075	7.46711	7.34090	-2.93334	-4.08106	2.15213	1.66669	15.78500	16.52895	-9.16093	-10.29359	3.08846	6.28678	0.14574	1.82449	1.25840	17.51348	16.30275	-9.30082	-9.25599	4.12336	2.83872	4.95392	3.75089	-0.15648	2.53423	-1.21197	-1.22875	14.85311	15.49154	-10.13933	-8.44836	3.89267	3.21478	5.97069	6.78428	-0.55934	-0.76173	2.50326	16.38597	-9.65986	4.22384	6.90223	-4.04534	-0.10240	0.88631	16.64252	15.23053	-12.81644	-9.18103	3.79601	2.46602	7.30807	8.07420	-1.65330	-3.83966	-0.16376	-0.76771	15.55382	13.66905	-7.40140	-5.53940	2.36849	2.11632	8.07729	7.29523	-4.57727	-4.00611	0.87252	16.69892	-8.49339	3.57247	3.01084	10.50558	8.39942	-8.50969	-8.47894	0.09286	16.58155	-10.37254	2.99125	3.71066	5.29353	9.01668	-4.47723	-4.11299	1.65422	17.10270	-10.40235	4.11754	2.74467	6.83736	7.14286	-0.49275	-4.05024
2	0.56527	1.15096	15.16485	1.29389	-8.48880	1.19438	3.43425	0.73538	7.82408	1.72969	-3.19532	2.66566	1.01919	0.47481	14.71476	14.26832	-10.67812	-10.45849	3.75025	5.83809	-1.64336	0.72491	2.37447	15.13224	15.20429	-9.75114	-7.87506	3.24220	2.42453	6.11252	8.37780	1.53108	0.16467	-0.11159	0.17825	2.18179	12.82607	13.79729	13.84807	-7.14076	-7.94502	-8.10454	5.17145	3.23924	8.28142	8.31780	-3.48250	-5.09980	1.83311	1.36596	15.61673	16.51328	-7.72986	-9.42953	3.20008	7.27534	-1.86524	1.46230	0.93349	17.18713	15.76912	-8.60815	-7.54932	4.40268	2.92096	6.17800	4.92527	-0.85612	0.16092	-1.22683	-1.19927	14.54799	15.27769	-9.86917	-7.96158	4.01042	3.46977	6.75615	7.84044	-1.84715	-2.26460	2.02451	16.41030	-8.29040	4.18788	7.02219	-4.07835	-0.42048	0.52206	16.41237	15.01908	-10.17039	-6.48547	3.86006	2.49431	8.39360	9.09401	-3.49459	-2.88585	-0.56927	-1.59561	14.37893	12.32687	-7.61031	-7.07028	2.54785	2.30710	9.48384	8.15546	-6.81751	-6.71942	0.62850	16.32262	-7.53963	3.70178	3.11177	12.70678	8.72148	-8.94201	-7.21842	-0.13060	16.20500	-8.98091	3.18946	3.84990	5.39452	9.73032	-3.80143	-3.94945	1.40102	16.68367	-9.01657	4.19061	2.84700	7.95094	7.74965	-1.08694	-2.90557
3	0.17788	1.10284	14.69431	1.30563	-8.43912	1.39828	3.52146	0.74735	9.29700	1.92243	-4.41442	2.34722	0.89614	0.26189	14.66103	14.25432	-10.17367	-10.10370	3.77958	7.75028	-2.98721	0.18783	2.16312	14.22426	14.68675	-11.51321	-6.65958	3.24520	2.46772	7.61846	8.99822	-0.53276	-0.98957	-0.45882	-0.34735	1.52309	12.47246	13.09614	13.33273	-8.02279	-8.20887	-7.98292	5.32195	3.13263	9.57473	9.93092	-4.07312	-6.54373	1.37891	0.91188	15.18750	16.12164	-6.86527	-9.06209	3.40974	8.96452	-3.71509	1.00966	0.42476	16.79124	15.16824	-8.78494	-7.47662	4.60123	3.08920	7.96053	7.00082	-1.92969	-2.29159	-1.28557	-1.22500	14.15377	14.73948	-9.54778	-7.60364	4.09847	3.74104	8.48197	9.39510	-4.09505	-3.76275	1.41614	16.48887	-8.26598	4.08902	7.45570	-2.82808	-0.80011	0.04598	15.69814	14.44399	-7.88808	-5.53625	3.95278	2.52183	9.88204	10.99476	-6.54552	-5.11605	-1.01804	-2.17571	13.44911	12.03616	-9.60524	-10.03976	2.66432	2.39147	11.15146	9.03013	-7.64977	-6.08800	0.24721	15.69061	-7.12472	3.75460	3.19186	15.32915	9.97767	-10.64636	-5.98445	-0.42441	15.69340	-8.28492	3.33626	3.95838	6.09498	10.98036	-4.52108	-5.45815	1.00379	16.19057	-8.47149	4.25671	2.94670	9.67126	8.99391	-3.39482	-3.54991
4	-0.17598	1.01473	14.37539	1.23963	-9.03302	1.65989	3.57278	0.73005	11.18164	2.01619	-5.87490	2.13451	0.94056	0.24753	14.39024	14.27320	-8.73363	-9.05264	3.73829	10.07467	-4.93003	-0.24250	1.86619	13.67181	14.09207	-12.93852	-5.99155	3.21016	2.59007	9.90243	10.42474	-3.23517	-3.03982	-0.58794	-0.84151	0.81569	12.34624	12.76080	13.05225	-8.51591	-9.60391	-8.81719	5.34310	3.03614	11.29685	11.96581	-5.26501	-8.44880	0.86385	0.40630	14.85092	15.69794	-7.47339	-9.84761	3.61448	10.82599	-4.75787	0.52290	-0.16006	16.51488	14.76490	-10.01548	-9.24230	4.64768	3.29978	10.16812	9.42283	-3.40276	-3.75804	-1.35002	-1.28446	13.87053	14.16276	-9.30079	-7.38450	4.14973	3.91717	10.90780	11.21879	-6.18183	-4.85574	0.82910	16.77670	-9.75303	3.97004	8.74706	-3.46273	-1.19229	-0.44807	14.84098	13.92762	-7.50619	-6.62889	4.02369	2.55384	11.55745	13.35021	-8.19136	-8.44266	-1.35904	-2.31270	13.05792	12.59365	-11.66398	-11.47511	2.78215	2.41995	12.40600	10.32551	-6.07424	-6.51225	-0.19693	15.04875	-7.88228	3.73716	3.30691	17.59298	12.17278	-11.73838	-6.14845	-0.73369	15.32213	-8.69093	3.39334	3.99379	7.29122	12.70792	-6.13989	-7.42528	0.52158	15.86683	-9.17548	4.26572	3.03529	11.64873	10.80662	-5.79621	-5.56646
5	-0.43750	0.93252	14.20354	1.24162	-9.61401	1.51970	3.56811	0.68689	13.11068	1.92163	-7.22170	2.04223	1.04243	0.31295	14.09870	14.38450	-7.66047	-8.33835	3.58015	12.39802	-6.99927	-0.43770	1.51355	13.40856	13.87691	-11.95079	-6.80428	3.15201	2.75711	12.36313	12.41693	-5.34825	-5.19526	-0.48610	-1.18994	0.19430	12.37998	12.78033	12.95732	-8.41254	-11.14674	-9.66504	5.23756	2.91366	13.29950	13.91111	-7.25004	-10.08358	0.39176	-0.04064	14.78438	15.43371	-9.48217	-11.33609	3.70948	12.51783	-5.24497	0.09632	-0.64577	16.34365	14.51864	-11.34207	-11.12519	4.54927	3.45937	12.45367	11.43586	-5.15074	-4.40963	-1.37456	-1.35347	13.79723	13.83606	-9.26311	-7.34047	4.14319	3.94030	13.50365	12.98915	-7.53550	-5.55914	0.45949	17.01551	-10.86557	3.82562	10.96888	-6.93708	-1.55619	-0.88216	13.95538	13.38571	-8.78884	-7.70562	4.03355	2.54321	13.24175	15.57099	-7.21469	-9.70840	-1.66249	-2.06049	12.54335	13.13684	-11.25032	-9.48639	2.91209	2.41667	12.75600	12.63389	-5.88106	-11.40947	-0.57828	14.60365	-9.40625	3.69110	3.46929	18.78263	14.64525	-11.89697	-7.32680	-0.99617	15.22204	-9.72117	3.34404	3.95116	8.64195	14.58049	-7.03483	-7.99378	0.06567	15.81193	-10.80265	4.19897	3.10249	13.42712	12.78654	-6.63020	-6.84614
6	-0.55853	0.86459	14.09445	1.21931	-9.47017	1.58695	3.50779	0.64404	14.53756	1.81774	-8.02735	2.41866	1.07912	0.34466	13.98962	14.66971	-7.52842	-8.24247	3.32809	14.03855	-8.11331	-0.42171	1.17532	13.50835	14.00974	-9.63721	-8.07970	3.12701	2.87286	14.35434	14.34686	-6.50388	-6.77034	-0.27693	-1.32015	-0.21753	12.51700	12.86755	12.91737	-8.11751	-11.43644	-9.42088	5.01724	2.74405	15.14450	15.03855	-9.08731	-10.39551	0.07093	-0.36261	14.78457	15.07955	-10.79780	-11.85709	3.65419	13.65141	-5.73200	-0.16872	-0.88432	16.05456	14.13345	-11.38189	-11.00808	4.38890	3.53961	14.04623	12.50780	-6.52733	-5.00745	-1.34914	-1.42152	13.95742	13.87048	-9.25369	-7.45459	4.08789	3.83196	15.40586	14.02697	-8.41038	-6.04629	0.39858	16.83261	-9.75869	3.61305	13.52912	-10.19544	-1.85174	-1.15988	13.09244	12.69966	-10.04382	-7.71620	3.98164	2.49390	14.52661	17.29744	-5.52615	-9.33441	-1.54222	-1.63248	12.40832	13.28232	-8.87855	-6.41022	2.99573	2.34338	12.55592	14.97513	-7.96648	-14.87961	-0.78371	14.25176	-9.93898	3.60291	3.65931	18.78085	16.37810	-12.48622	-7.87561	-1.16419	15.19961	-9.95412	3.23042	3.88602	9.75993	15.93088	-6.40872	-7.89240	-0.24098	15.85734	-11.95729	4.10618	3.15924	14.68155	14.31208	-6.72772	-6.68782
