	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	0.19588	0.06426	-0.19012	0.04450	0.03903	0.01504	0.41002	0.04760	-0.13674	0.04459	0.04395	0.01548	0.44644	-0.14771	0.03524	0.05092	-0.10989	0.00306	0.47317	-0.21106	0.04387	0.21274	-0.19200	0.05273	0.44399	-0.13398	0.02383	0.18675	-0.21621	0.03389	0.40807	-0.16374	0.05797	0.18454	-0.21271	0.04918	0.40214	0.39870	-0.09708	-0.15578	0.04362	0.06581	0.42999	-0.16306	0.04862	0.27905	-0.24239	0.05300	0.16207	-0.12145	0.04008	0.37781	-0.09062	0.05668	0.23996	-0.21155	0.03966	0.30990	-0.06766	0.01992	0.22346	-0.20245	0.03983
2	0.19817	0.05018	-0.15956	0.03712	0.08744	0.02270	0.43773	0.06412	-0.09420	0.05619	0.10074	0.01916	0.51017	-0.10838	0.09153	0.14992	-0.12409	0.03674	0.52821	-0.19311	0.09263	0.22459	-0.15773	0.10375	0.48758	-0.11128	0.08026	0.19285	-0.19468	0.07445	0.40991	-0.11106	0.11478	0.11477	-0.17515	0.10024	0.39919	0.43862	-0.05106	-0.11492	0.10767	0.12720	0.44532	-0.11930	0.10365	0.27750	-0.19698	0.11745	0.15747	-0.07942	0.09448	0.39672	-0.03607	0.12028	0.20471	-0.15852	0.08795	0.32383	-0.00257	0.06863	0.23088	-0.17475	0.08597
3	0.18470	0.06490	-0.10237	0.04223	0.15492	0.02763	0.40356	0.07288	-0.04347	0.06192	0.19636	0.02665	0.48113	-0.04792	0.19656	0.23370	-0.09949	0.09893	0.51685	-0.16093	0.16994	0.19576	-0.10650	0.16490	0.46318	-0.05969	0.17863	0.17732	-0.14928	0.13405	0.36280	-0.05807	0.20509	0.04865	-0.12450	0.16510	0.33548	0.41524	0.00002	-0.05962	0.21797	0.22551	0.39792	-0.07318	0.20097	0.24588	-0.11132	0.20289	0.12080	-0.00413	0.16045	0.36649	0.00851	0.22538	0.17416	-0.07502	0.15634	0.29291	0.05967	0.14724	0.23303	-0.12555	0.15580
4	0.17123	0.06032	-0.02530	0.05607	0.21435	0.02348	0.34584	0.06825	0.02563	0.06900	0.31134	0.03469	0.40872	0.03477	0.34045	0.22669	-0.02960	0.17559	0.43627	-0.10451	0.26205	0.17493	-0.04948	0.20946	0.37481	0.03968	0.31013	0.16709	-0.09713	0.18989	0.35386	-0.01193	0.30359	0.04785	-0.06910	0.21439	0.27815	0.38727	0.07507	0.00842	0.34544	0.32998	0.35833	-0.02597	0.31372	0.19738	0.00821	0.25833	0.10844	0.08438	0.20923	0.29068	0.08976	0.34544	0.16558	0.02868	0.21882	0.22448	0.12536	0.25126	0.22654	-0.05182	0.22672
5	0.17693	0.03612	0.06929	0.07994	0.23103	0.02123	0.31657	0.08279	0.12629	0.08524	0.39522	0.04219	0.37644	0.14623	0.45885	0.17016	0.06661	0.22935	0.37796	-0.02327	0.33237	0.19673	0.01803	0.21141	0.31561	0.15507	0.42601	0.20156	-0.03907	0.20467	0.36621	0.06468	0.36467	0.11175	-0.00493	0.21713	0.28212	0.40564	0.18000	0.09031	0.42843	0.38587	0.34875	0.06108	0.38203	0.21443	0.15240	0.24856	0.14074	0.19414	0.21105	0.21913	0.24277	0.42761	0.14737	0.15398	0.23927	0.15729	0.21972	0.35113	0.20483	0.04123	0.25891
6	0.22416	0.04617	0.18220	0.10851	0.20638	0.02632	0.35873	0.10191	0.24162	0.10543	0.42581	0.04954	0.40513	0.29125	0.50840	0.17943	0.18264	0.23152	0.41586	0.07380	0.36091	0.25454	0.09988	0.17978	0.32301	0.26897	0.48212	0.26386	0.03271	0.17953	0.42023	0.15730	0.38137	0.20625	0.07471	0.17832	0.36221	0.49982	0.28577	0.17481	0.44640	0.39115	0.40114	0.17262	0.39772	0.31528	0.31747	0.21111	0.18987	0.32343	0.18370	0.22129	0.41789	0.45406	0.17244	0.29948	0.21658	0.17986	0.33216	0.41018	0.21790	0.15471	0.23843
