	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	0.00902	0.02555	-0.02792	0.01396	-0.00042	0.00725	-0.06365	0.03775	-0.02369	0.02625	0.00703	0.00896	-0.12404	-0.02274	0.00827	-0.04471	-0.01540	-0.00678	-0.02531	-0.00592	0.00959	-0.00875	-0.06003	0.00246	-0.01253	-0.00228	0.00671	0.01484	-0.01642	-0.00204	-0.07014	-0.02469	0.01801	0.04798	-0.02138	0.00293	-0.10137	-0.06736	-0.02018	-0.01397	0.00569	0.01477	-0.08119	-0.03390	0.00984	0.00413	-0.02473	0.01496	0.02898	-0.03804	-0.00987	-0.02074	-0.00212	0.00426	0.01185	-0.01874	0.00235	-0.07016	-0.08740	-0.01386	0.01345	-0.02827	-0.00388
2	0.03637	0.02789	-0.05476	0.01544	0.00684	0.00896	-0.00681	0.03532	-0.00367	0.03086	0.02725	0.01399	-0.05103	-0.00095	0.03136	-0.01491	-0.03498	-0.00364	-0.00269	0.01290	0.02593	-0.00488	-0.08410	0.01532	0.00443	-0.00417	0.01830	0.04676	-0.04426	0.00026	-0.00505	0.00601	0.04256	0.05801	-0.04081	0.00925	-0.05198	0.00881	-0.00959	0.02616	0.02164	0.04217	-0.01721	-0.00247	0.03724	0.03401	-0.06277	0.02410	0.06557	-0.07052	0.00038	0.06697	0.01890	0.02839	0.05482	-0.04903	0.01186	-0.01352	-0.07986	-0.00239	0.04398	-0.05317	0.00201
3	0.03914	0.02598	-0.08470	0.01490	0.02188	0.01183	0.03837	0.03589	-0.00418	0.04562	0.05932	0.02283	0.06391	0.01606	0.06574	0.01077	-0.06610	0.00814	0.03423	0.03356	0.05008	-0.01113	-0.09966	0.03767	0.03008	-0.01364	0.04020	0.04775	-0.07986	0.00979	0.06464	0.02127	0.07963	0.04201	-0.06473	0.01739	-0.01762	0.09559	-0.02280	0.05274	0.04796	0.08321	0.05566	0.01471	0.08459	0.02615	-0.11245	0.04087	0.06944	-0.08802	0.02204	0.02505	-0.04205	0.06642	0.06264	-0.08371	0.03029	-0.00623	-0.09745	0.01603	0.05232	-0.08390	0.01537
4	0.02878	0.02169	-0.11296	0.01827	0.04100	0.01424	0.08892	0.08774	-0.03339	0.07135	0.09234	0.03012	0.17981	-0.01239	0.09960	0.02065	-0.09114	0.02608	0.04566	0.02299	0.07619	-0.01560	-0.10700	0.06100	0.10182	-0.03949	0.06417	0.02210	-0.11341	0.02473	0.14686	0.01229	0.11595	0.02238	-0.09311	0.02842	0.05472	0.19190	-0.05441	0.05453	0.07644	0.11684	0.15033	0.00583	0.13493	0.03236	-0.15369	0.05990	0.06152	-0.10613	0.04399	-0.00847	-0.13098	0.10671	0.05200	-0.11835	0.05341	-0.06240	-0.15890	0.04018	0.03179	-0.11690	0.03572
5	0.02132	0.02407	-0.13716	0.02291	0.05456	0.01389	0.19295	0.11595	-0.07543	0.07689	0.10699	0.02883	0.30156	-0.09448	0.11363	0.01410	-0.11082	0.04371	0.09062	-0.00676	0.09151	-0.01484	-0.11371	0.07408	0.22596	-0.09817	0.07478	-0.00530	-0.13608	0.03708	0.24274	-0.02164	0.12921	0.02133	-0.11621	0.03845	0.18328	0.29863	-0.09824	0.03281	0.08965	0.12233	0.27368	-0.03028	0.15249	0.05956	-0.18376	0.06853	0.04023	-0.13273	0.05267	0.17964	-0.14785	0.12563	0.04706	-0.15154	0.07111	-0.05957	-0.21429	0.06365	0.01485	-0.14480	0.05270
6	0.02411	0.03085	-0.15502	0.02543	0.05859	0.01396	0.31787	0.10710	-0.12339	0.07016	0.09798	0.02237	0.41789	-0.19928	0.09831	0.01219	-0.13427	0.05465	0.20715	-0.03533	0.08667	0.00064	-0.11938	0.07597	0.37024	-0.17959	0.06567	-0.01390	-0.14830	0.04081	0.32554	-0.07864	0.11876	0.03483	-0.12695	0.04271	0.29239	0.35738	-0.15900	-0.01885	0.07955	0.11020	0.38010	-0.09272	0.13378	0.09385	-0.19535	0.06812	0.02495	-0.15289	0.04897	0.41746	-0.13794	0.11185	0.03928	-0.17971	0.08067	0.09271	-0.20918	0.07708	0.01260	-0.16915	0.05768
