	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0001_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0002_4.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_1.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0003_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_2.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d	2016_06_16_PC030_BAREFOOT_GAIT0004_3.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z	Z
1	0.02008	0.02047	0.06331	0.01707	-0.02198	0.00676	-0.10455	0.02074	-0.01113	0.02260	-0.02311	0.03180	-0.10319	0.01676	-0.00527	0.00537	0.04616	-0.00911	-0.07244	-0.01017	0.00015	0.04965	0.08844	-0.03093	-0.09973	-0.01834	-0.01987	0.01726	0.05719	-0.02063	-0.08946	0.00721	-0.00869	0.04031	0.05344	-0.02150	-0.11367	-0.09492	0.00047	-0.01686	-0.01405	-0.00994	-0.09864	0.01056	-0.01601	0.00242	0.07604	-0.02109	0.01166	0.03886	-0.03207	-0.12560	-0.04396	-0.02954	-0.01307	0.05393	-0.02356	-0.14333	-0.04581	-0.10475	0.03356	0.07787	-0.01948
2	0.05412	0.01944	0.06576	0.01797	-0.03524	0.00864	-0.09860	0.01938	-0.03148	0.02758	-0.02720	0.03633	-0.09414	-0.00659	-0.00856	0.01415	0.05927	-0.01914	-0.08469	-0.02380	0.00312	0.05790	0.09011	-0.04318	-0.08757	-0.01417	-0.02110	0.04990	0.06124	-0.03464	-0.08236	-0.01584	-0.01081	0.07811	0.04906	-0.03357	-0.09703	-0.09047	-0.01503	-0.04441	-0.02199	-0.01038	-0.09115	-0.01110	-0.01575	0.04337	0.08129	-0.03757	0.06721	0.03968	-0.04954	-0.11748	-0.07370	-0.04071	0.04120	0.04939	-0.03891	-0.14249	-0.07867	-0.11865	0.06762	0.08091	-0.03031
3	0.06954	0.01797	0.06738	0.02174	-0.05094	0.00962	-0.07359	0.02469	-0.03341	0.02148	-0.03601	0.04163	-0.06051	-0.03432	-0.01975	0.03456	0.07299	-0.03351	-0.08272	-0.02947	0.00352	0.05639	0.08359	-0.05375	-0.06148	-0.01098	-0.02649	0.07440	0.06919	-0.05239	-0.05387	-0.03037	-0.01553	0.09585	0.05046	-0.04618	-0.06240	-0.06058	-0.01232	-0.05754	-0.03663	-0.01056	-0.05984	-0.02385	-0.01830	0.06265	0.08901	-0.06138	0.07215	0.02576	-0.06503	-0.08938	-0.02416	-0.06601	0.06328	0.04678	-0.05612	-0.13149	-0.07766	-0.13433	0.08328	0.08431	-0.04505
4	0.06303	0.01563	0.06677	0.02408	-0.06508	0.01041	-0.03796	0.03149	-0.02976	0.02464	-0.05804	0.04843	-0.01354	-0.04841	-0.05062	0.05510	0.07189	-0.04915	-0.06312	-0.01399	-0.00474	0.03631	0.07252	-0.05931	-0.01724	-0.01722	-0.04567	0.07369	0.07946	-0.06996	-0.02216	-0.04150	-0.03032	0.08491	0.05956	-0.05799	-0.02200	-0.02331	-0.01921	-0.07178	-0.06455	-0.02155	-0.02077	-0.03512	-0.03419	0.07005	0.08419	-0.08212	0.04643	0.01440	-0.07589	-0.05006	0.01520	-0.11242	0.05493	0.04460	-0.07167	-0.10947	-0.03583	-0.15829	0.07292	0.08715	-0.05983
5	0.04412	0.02005	0.06464	0.02422	-0.07204	0.01033	-0.00705	0.03413	-0.05209	0.02590	-0.09515	0.05307	0.02688	-0.06147	-0.10589	0.05154	0.06312	-0.06145	-0.03441	-0.01461	-0.02707	0.00612	0.06335	-0.05867	0.03162	-0.02979	-0.08311	0.04073	0.08699	-0.07799	-0.00271	-0.06412	-0.06254	0.06052	0.06849	-0.06305	0.00467	0.00133	-0.04988	-0.09763	-0.10501	-0.04830	0.00638	-0.06283	-0.07071	0.06361	0.07403	-0.08880	0.01624	0.01266	-0.08050	-0.01650	-0.06562	-0.16390	0.04659	0.04202	-0.08049	-0.08074	-0.02287	-0.18980	0.05585	0.08555	-0.06870
6	0.02513	0.02078	0.06149	0.02465	-0.07079	0.01025	0.00844	0.04151	-0.08759	0.03895	-0.13866	0.05380	0.05464	-0.07913	-0.17106	0.03070	0.05785	-0.06676	-0.01356	-0.04585	-0.05917	-0.01024	0.05495	-0.05377	0.07454	-0.04801	-0.13112	0.01302	0.08917	-0.07571	0.00495	-0.08164	-0.10570	0.03929	0.07042	-0.05871	0.01548	-0.00516	-0.07150	-0.11073	-0.14820	-0.08656	0.02166	-0.08253	-0.11795	0.04735	0.06111	-0.08379	-0.00423	0.01171	-0.08076	-0.00662	-0.17634	-0.20968	0.03017	0.04005	-0.08012	-0.06996	-0.09257	-0.21846	0.04005	0.08408	-0.06873
