,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Joint,Measurement
0,11.9198,11.81482,11.71483,11.61615,11.51418,11.40584,11.2922,11.17938,11.07718,10.99585,10.94257,10.91932,10.92318,10.9487,10.99074,11.04607,11.11334,11.19204,11.28137,11.37953,11.48344,11.58896,11.69144,11.78663,11.87169,11.94583,12.01041,12.06834,12.12318,12.17823,12.23547,12.29476,12.35332,12.40593,12.44554,12.46451,12.45617,12.4164,12.34465,12.24418,12.12136,11.98443,11.84194,11.70164,11.56977,11.45068,11.34674,11.25826,11.18347,11.11871,11.05944,11.00167,10.94327,10.88453,10.82796,10.77757,10.73761,10.71105,10.69839,10.69757,10.70496,10.71678,10.73038,10.74479,10.76088,10.78087,10.80756,10.84363,10.89129,10.95204,11.02636,11.11335,11.2106,11.31455,11.4211,11.52641,11.6275,11.72271,11.8119,11.89619,11.97749,12.05785,12.13893,12.22145,12.30484,12.38718,12.465,12.53331,12.58601,12.61673,12.62008,12.593,12.53589,12.45292,12.35123,12.23926,12.12451,12.01208,11.90422,11.80066,11.69895,L_PELVIS_ANG_curto,Mean
1,1.50999,1.5099,1.5144,1.52493,1.54271,1.56834,1.60173,1.64247,1.69028,1.74482,1.80487,1.86769,1.92942,1.98642,2.03656,2.07968,2.1171,2.15064,2.1816,2.21018,2.23531,2.25515,2.26803,2.2732,2.271,2.26264,2.24996,2.23504,2.21982,2.20559,2.19294,2.1819,2.17239,2.16473,2.15988,2.15917,2.16374,2.1737,2.1876,2.20263,2.21581,2.2251,2.22982,2.23009,2.22604,2.2177,2.20539,2.19004,2.17301,2.15578,2.13963,2.12577,2.11538,2.10935,2.10784,2.1105,2.11697,2.12746,2.14255,2.16258,2.18729,2.21613,2.24893,2.28589,2.32714,2.37188,2.41818,2.46325,2.50407,2.53798,2.56308,2.5785,2.58443,2.58208,2.57336,2.56034,2.54467,2.5273,2.50858,2.48857,2.46734,2.44504,2.42186,2.39784,2.37293,2.347,2.31988,2.29136,2.26122,2.22927,2.19541,2.15959,2.12192,2.08285,2.04333,2.00483,1.96911,1.938,1.91321,1.89622,1.88819,L_PELVIS_ANG_curto,Std
2,30.44893,30.25129,30.0742,29.90299,29.72602,29.53103,29.30066,29.01002,28.62921,28.1303,27.49593,26.7258,25.83867,24.86877,23.85703,22.84058,21.84504,20.88192,19.95076,19.04464,18.1565,17.28249,16.42183,15.57554,14.74563,13.93395,13.14085,12.36441,11.60045,10.8433,10.08682,9.32489,8.55178,7.7622,6.95142,6.11564,5.25301,4.36499,3.45727,2.53972,1.62534,0.72866,-0.13561,-0.95385,-1.7144,-2.40818,-3.02865,-3.57101,-4.03116,-4.40458,-4.68513,-4.86405,-4.92927,-4.86587,-4.6575,-4.28826,-3.7449,-3.01912,-2.1097,-1.02364,0.22489,1.61721,3.13309,4.75245,6.45574,8.22371,10.03716,11.87729,13.72643,15.56812,17.38709,19.1692,20.9018,22.57381,24.17579,25.69972,27.13853,28.48571,29.73513,30.88096,31.91763,32.83959,33.64099,34.3152,34.85521,35.25477,35.5094,35.61655,35.57586,35.39029,35.06772,34.62249,34.07699,33.4627,32.81879,32.18743,31.60634,31.10205,30.68673,30.35901,30.10787,LHIP_ANG,Mean
3,2.18792,2.24033,2.32636,2.44282,2.57664,2.70858,2.81935,2.89481,2.92783,2.91953,2.88218,2.8383,2.80915,2.80066,2.80286,2.80229,2.79239,2.77404,2.75107,2.72703,2.70423,2.6836,2.66511,2.64854,2.63408,2.62308,2.6185,2.62445,2.64459,2.68024,2.72936,2.78739,2.84914,2.9101,2.96704,3.01806,3.0625,3.10047,3.13219,3.15749,3.17555,3.18468,3.18242,3.16594,3.13274,3.08115,3.01025,2.92033,2.81417,2.69912,2.58973,2.5097,2.49053,2.56367,2.74802,3.04285,3.4323,3.89351,4.40002,4.9217,5.42604,5.88192,6.26374,6.55464,6.74783,6.84576,6.85765,6.79602,6.67406,6.50473,6.3006,6.07338,5.83253,5.58422,5.33125,5.07418,4.81281,4.54767,4.28089,4.01599,3.75778,3.5125,3.28802,3.09335,2.937,2.82415,2.75436,2.72156,2.71556,2.72375,2.7332,2.73356,2.71964,2.69228,2.65698,2.62033,2.58667,2.55659,2.52778,2.49792,2.46886,LHIP_ANG,Std
4,1.42207,2.11185,3.11636,4.3347,5.67292,7.04636,8.37556,9.58451,10.60582,11.38949,11.90962,12.16661,12.18496,12.00764,11.68703,11.27464,10.81241,10.32864,9.83899,9.35161,8.87265,8.4085,7.96515,7.54779,7.16088,6.80759,6.4888,6.20252,5.944,5.70659,5.48324,5.268,5.05696,4.84873,4.64461,4.4484,4.26605,4.10576,3.97838,3.89681,3.8748,3.92563,4.06165,4.29407,4.63273,5.0857,5.65912,6.35839,7.19012,8.16359,9.29099,10.58696,12.06797,13.75074,15.64944,17.7722,20.11842,22.67746,25.42891,28.34337,31.38359,34.5049,37.65598,40.78078,43.82214,46.72596,49.44394,51.93416,54.15933,56.08486,57.67953,58.91875,59.78756,60.28089,60.40141,60.15631,59.55494,58.60681,57.32121,55.70737,53.77479,51.53313,48.99286,46.1669,43.07252,39.73268,36.17672,32.44128,28.57235,24.62752,20.67698,16.80359,13.10205,9.67575,6.6306,4.06578,2.06177,0.66936,-0.09715,-0.2616,0.11801,LKNEE_ANG,Mean
5,4.48613,4.26155,4.06189,3.89714,3.77142,3.68412,3.63184,3.60215,3.56666,3.49153,3.36233,3.19783,3.03763,2.91409,2.83385,2.78231,2.74063,2.69724,2.64946,2.60031,2.55407,2.51297,2.47703,2.44664,2.42398,2.41233,2.41484,2.43359,2.4693,2.52143,2.58789,2.6649,2.74754,2.83087,2.91058,2.9832,3.04594,3.09634,3.13169,3.1491,3.14579,3.11928,3.06831,2.99481,2.90681,2.82185,2.76992,2.79434,2.94531,3.2632,3.76206,4.42804,5.22977,6.12897,7.08677,8.06599,9.03052,9.94317,10.76516,11.45785,11.98554,12.31801,12.43271,12.31687,11.96905,11.39984,10.63249,9.70306,8.6593,7.55724,6.45731,5.42256,4.52141,3.8329,3.43958,3.38535,3.63043,4.07949,4.64294,5.25893,5.88738,6.50073,7.07778,7.60081,8.05495,8.42742,8.70634,8.87836,8.92666,8.83097,8.57128,8.13537,7.52757,6.77438,5.92624,5.0573,4.26375,3.65146,3.29438,3.17653,3.19996,LKNEE_ANG,Std
6,-3.55925,-4.02646,-4.52785,-4.99755,-5.35167,-5.52101,-5.4762,-5.22728,-4.80619,-4.2516,-3.60313,-2.89947,-2.17622,-1.46292,-0.78025,-0.13877,0.45959,1.01792,1.54118,2.03497,2.50498,2.95615,3.3923,3.81683,4.23341,4.64625,5.05976,5.47789,5.90312,6.33536,6.77197,7.20854,7.63974,8.06001,8.46424,8.84816,9.20801,9.54068,9.84427,10.11797,10.36084,10.57078,10.74385,10.8737,10.95128,10.9646,10.89884,10.73709,10.46174,10.05588,9.50426,8.79476,7.92034,6.88067,5.68268,4.34099,2.87965,1.33615,-0.23402,-1.7577,-3.15282,-4.34466,-5.28105,-5.93893,-6.32091,-6.44699,-6.34755,-6.06002,-5.62661,-5.09041,-4.49077,-3.85928,-3.21854,-2.58366,-1.96522,-1.3719,-0.8119,-0.29369,0.17357,0.58022,0.91679,1.1753,1.35126,1.44497,1.4608,1.4052,1.2843,1.10283,0.86491,0.57562,0.24233,-0.12389,-0.50738,-0.88972,-1.25439,-1.59311,-1.91235,-2.23533,-2.59783,-3.03651,-3.57189,LVFT_ANG,Mean
7,2.49231,2.53959,2.60864,2.66713,2.6698,2.58092,2.40404,2.19049,2.00997,1.90232,1.85971,1.85218,1.85466,1.85477,1.85066,1.84506,1.84016,1.83628,1.83334,1.83192,1.83247,1.83436,1.83646,1.83852,1.8419,1.84909,1.86242,1.88283,1.90902,1.93812,1.96682,1.99235,2.01324,2.02973,2.04359,2.0573,2.07331,2.09335,2.11792,2.14607,2.17592,2.20565,2.23462,2.26378,2.29589,2.33596,2.39137,2.47138,2.58568,2.74181,2.94167,3.17876,3.43733,3.69571,3.934,4.14417,4.33632,4.53381,4.75476,4.99241,5.21405,5.38005,5.4676,5.48267,5.45291,5.40561,5.34688,5.26011,5.12215,4.91988,4.65613,4.34624,4.01106,3.67079,3.34206,3.03745,2.76584,2.53375,2.34617,2.20615,2.11404,2.06814,2.06593,2.10396,2.17671,2.27645,2.39355,2.51557,2.62613,2.70674,2.74184,2.72429,2.65783,2.55616,2.44083,2.33761,2.27074,2.25488,2.2899,2.36247,2.4488,LVFT_ANG,Std
8,11.95585,11.8954,11.83485,11.77082,11.70005,11.62126,11.53729,11.45537,11.385,11.33431,11.30703,11.30158,11.31266,11.33428,11.36242,11.39627,11.43771,11.49007,11.55662,11.6395,11.73915,11.85417,11.98124,12.11506,12.24892,12.37587,12.49025,12.58882,12.67113,12.7391,12.7961,12.84574,12.8909,12.93304,12.9718,13.00514,13.02977,13.04161,13.03636,13.01035,12.9618,12.89182,12.80448,12.70592,12.60287,12.50134,12.40571,12.31829,12.23912,12.166,12.09482,12.02026,11.9367,11.83957,11.72653,11.59803,11.45712,11.30903,11.16095,11.02159,10.8999,10.80326,10.73603,10.6991,10.69049,10.70666,10.74394,10.79939,10.87069,10.95549,11.05092,11.15341,11.25888,11.36342,11.46387,11.5583,11.64635,11.72906,11.80838,11.88654,11.96512,12.04402,12.12087,12.19098,12.24787,12.2843,12.29361,12.27092,12.21404,12.12388,12.00458,11.86293,11.70764,11.54863,11.39579,11.25743,11.13894,11.04218,10.96558,10.90475,10.85347,R_PELVIS_ANG_curto,Mean
9,1.24631,1.18403,1.11995,1.06009,1.01128,0.98017,0.97124,0.98525,1.01943,1.06963,1.13235,1.20531,1.28661,1.37345,1.4618,1.5474,1.62751,1.70151,1.76998,1.83353,1.89223,1.94572,1.99354,2.03528,2.07049,2.09891,2.12041,2.13497,2.14256,2.14322,2.13724,2.12531,2.10842,2.0875,2.06305,2.03481,2.00175,1.96255,1.91669,1.8657,1.81366,1.76609,1.72749,1.69929,1.67943,1.66396,1.64902,1.63237,1.61375,1.5947,1.57798,1.56689,1.56411,1.5708,1.58651,1.60999,1.64025,1.67735,1.72213,1.77545,1.83722,1.90602,1.97931,2.05424,2.12829,2.19944,2.26591,2.32593,2.37766,2.4192,2.449,2.46634,2.47153,2.46594,2.4517,2.4315,2.40829,2.38483,2.36332,2.34527,2.33169,2.32329,2.32064,2.32413,2.33404,2.35025,2.37181,2.39661,2.4215,2.44331,2.45989,2.47049,2.47574,2.47721,2.47682,2.47622,2.47652,2.47844,2.48228,2.48775,2.49364,R_PELVIS_ANG_curto,Std
